Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,,14.0,2022,198
1.0,15:00,,,CLE 35,0.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,198
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Mixon left guard for 3 yards (tackle by Deion Jones),0.61,0.47,14.0,2022,198
1.0,14:23,2.0,7.0,CIN 28,0.0,0.0,Joe Burrow pass incomplete short left intended for Tyler Boyd (defended by Deion Jones),0.47,-0.23,14.0,2022,198
1.0,14:20,3.0,7.0,CIN 28,0.0,0.0,Joe Burrow pass incomplete intended for Samaje Perine,-0.23,-1.5,14.0,2022,198
1.0,14:16,4.0,7.0,CIN 28,0.0,0.0,"Drue Chrisman punts 51 yards, returned by Donovan Peoples-Jones for 3 yards (tackle by Daxton Hill)",-1.5,-0.54,14.0,2022,198
1.0,14:05,1.0,10.0,CLE 24,0.0,0.0,Deshaun Watson pass complete deep left to Amari Cooper for 18 yards,0.54,1.73,14.0,2022,198
1.0,13:33,1.0,10.0,CLE 42,0.0,0.0,Deshaun Watson pass complete short left to David Bell for 13 yards (tackle by Cam Taylor-Britt),1.73,2.59,14.0,2022,198
1.0,13:08,1.0,10.0,CIN 45,0.0,0.0,Nick Chubb left end for -2 yards (tackle by Germaine Pratt),2.59,1.77,14.0,2022,198
1.0,12:30,2.0,12.0,CIN 47,0.0,0.0,Nick Chubb left tackle for 13 yards (tackle by Vonn Bell),1.77,3.31,14.0,2022,198
1.0,11:51,1.0,10.0,CIN 34,0.0,0.0,Deshaun Watson pass complete short right to David Njoku for 3 yards (tackle by Sam Hubbard),3.31,3.18,14.0,2022,198
1.0,11:16,2.0,7.0,CIN 31,0.0,0.0,Deshaun Watson right end for 6 yards (tackle by Trey Hendrickson),3.18,3.27,14.0,2022,198
1.0,10:38,3.0,1.0,CIN 25,0.0,0.0,Kareem Hunt left guard for no gain (tackle by D.J. Reader and Jalen Davis),3.27,1.95,14.0,2022,198
1.0,9:58,4.0,1.0,CIN 25,0.0,0.0,Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones,1.95,-0.67,14.0,2022,198
1.0,9:50,1.0,10.0,CIN 26,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Grant Delpit),0.67,1.35,14.0,2022,198
1.0,9:16,2.0,1.0,CIN 35,0.0,0.0,"Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Denzel Ward) CIN challenged the pass completion ruling, and the play was upheld.",1.35,0.63,14.0,2022,198
1.0,9:11,3.0,1.0,CIN 35,0.0,0.0,Joe Burrow up the middle for 2 yards (tackle by Perrion Winfrey),0.63,1.4,14.0,2022,198
1.0,8:31,1.0,10.0,CIN 37,0.0,0.0,Joe Mixon left guard for 1 yard (tackle by Jadeveon Clowney),1.4,0.99,14.0,2022,198
1.0,7:53,2.0,9.0,CIN 38,0.0,0.0,Joe Burrow pass incomplete short middle intended for Trent Taylor,0.99,0.3,14.0,2022,198
1.0,7:48,,,,,,Timeout #2 by Cincinnati Bengals,,,14.0,2022,198
1.0,7:48,3.0,9.0,CIN 38,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Ronnie Harrison and Greg Newsome),0.3,-0.39,14.0,2022,198
1.0,7:13,4.0,2.0,CIN 45,0.0,0.0,"Drue Chrisman punts 44 yards, returned by Donovan Peoples-Jones for 8 yards (tackle by Akeem Davis-Gaither)",-0.39,-0.15,14.0,2022,198
1.0,7:02,1.0,10.0,CLE 19,0.0,0.0,David Njoku right end for -2 yards (tackle by Germaine Pratt and Logan Wilson),0.15,-0.72,14.0,2022,198
1.0,6:16,,,,,,Timeout #1 by Cleveland Browns,,,14.0,2022,198
1.0,6:16,2.0,12.0,CLE 17,0.0,0.0,Nick Chubb left tackle for 3 yards (tackle by Josh Tupou and Sam Hubbard),-0.72,-0.94,14.0,2022,198
1.0,5:34,3.0,9.0,CLE 20,0.0,0.0,Deshaun Watson sacked by Sam Hubbard for no gain,-0.94,-2.03,14.0,2022,198
1.0,4:54,4.0,9.0,CLE 20,0.0,0.0,"Corey Bojorquez punts 60 yards, returned by Trent Taylor for no gain (tackle by John Johnson and Charley Hughlett). Penalty on Stanley Morgan: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-2.03,0.38,14.0,2022,198
1.0,4:43,1.0,10.0,CIN 10,0.0,0.0,Joe Burrow pass incomplete deep left intended for Mitchell Wilcox,-0.38,-0.78,14.0,2022,198
1.0,4:38,2.0,10.0,CIN 10,0.0,0.0,Joe Mixon right guard for 7 yards (tackle by Deion Jones and Alex Wright),-0.78,-0.6,14.0,2022,198
1.0,4:17,,,,,,Timeout #2 by Cleveland Browns,,,14.0,2022,198
1.0,4:17,3.0,3.0,CIN 17,0.0,0.0,Joe Burrow scrambles right end for 3 yards (tackle by Deion Jones and Jeremiah Owusu-Koramoah),-0.6,0.28,14.0,2022,198
1.0,3:31,1.0,10.0,CIN 20,0.0,0.0,Samaje Perine left tackle for 2 yards (tackle by Jeremiah Owusu-Koramoah and Jordan Elliott),0.28,0.0,14.0,2022,198
1.0,2:52,2.0,8.0,CIN 22,0.0,0.0,Joe Burrow pass incomplete short middle,0.0,-0.69,14.0,2022,198
1.0,2:39,3.0,8.0,CIN 22,0.0,0.0,Joe Burrow pass complete short middle to Trayveon Williams for 6 yards (tackle by Deion Jones),-0.69,-1.5,14.0,2022,198
1.0,2:12,4.0,2.0,CIN 28,0.0,0.0,"Drue Chrisman punts 42 yards, fair catch by Donovan Peoples-Jones at CLE-30",-1.5,-0.94,14.0,2022,198
1.0,2:07,1.0,10.0,CLE 30,0.0,0.0,"Deshaun Watson left tackle for 5 yards (tackle by Logan Wilson). Penalty on Jack Conklin: Offensive Holding, 10 yards (accepted)",0.94,0.61,14.0,2022,198
1.0,1:35,1.0,15.0,CLE 25,0.0,0.0,Nick Chubb right guard for 2 yards (tackle by D.J. Reader),0.61,-0.01,14.0,2022,198
1.0,1:04,2.0,13.0,CLE 27,0.0,0.0,"Deshaun Watson scrambles for no gain. Penalty on Joel Bitonio: Offensive Holding, 10 yards (accepted) (no play)",-0.01,-1.5,14.0,2022,198
1.0,0:44,2.0,23.0,CLE 17,0.0,0.0,Deshaun Watson pass complete short middle to Donovan Peoples-Jones for 10 yards (tackle by Logan Wilson),-1.5,-0.69,14.0,2022,198
2.0,15:00,3.0,13.0,CLE 27,0.0,0.0,Deshaun Watson pass incomplete short right intended for Amari Cooper,-0.69,-1.57,14.0,2022,198
2.0,14:55,4.0,13.0,CLE 27,0.0,0.0,"Corey Bojorquez punts 55 yards, returned by Trent Taylor for 7 yards (tackle by D'Anthony Bell). Penalty on Tre Flowers: Offensive Holding, 10 yards (accepted)",-1.57,0.22,14.0,2022,198
2.0,14:46,1.0,10.0,CIN 15,0.0,0.0,Joe Mixon up the middle for 2 yards (tackle by Greg Newsome and Jordan Elliott),-0.22,-0.44,14.0,2022,198
2.0,14:06,2.0,8.0,CIN 17,0.0,0.0,"Joe Burrow pass incomplete short left intended for Trent Taylor (defended by Greg Newsome). Penalty on Martin Emerson: Defensive Holding, 5 yards (accepted) (no play)",-0.44,0.41,14.0,2022,198
2.0,13:58,1.0,10.0,CIN 22,0.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Alex Wright),0.41,-0.13,14.0,2022,198
2.0,13:54,2.0,10.0,CIN 22,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 5 yards (tackle by Denzel Ward),-0.13,-0.16,14.0,2022,198
2.0,13:27,3.0,5.0,CIN 27,0.0,0.0,"Joe Burrow pass complete short middle to Mitchell Wilcox for no gain. Penalty on La'el Collins: Offensive Holding, 10 yards (accepted) (no play)",-0.16,-1.68,14.0,2022,198
2.0,12:59,3.0,15.0,CIN 17,0.0,0.0,Joe Burrow pass incomplete short left intended for Samaje Perine,-1.68,-2.32,14.0,2022,198
2.0,12:54,4.0,15.0,CIN 17,0.0,0.0,"Drue Chrisman punts, fair catch by Donovan Peoples-Jones at CLE-36. Penalty on Tony Fields: Roughing the Kicker, 15 yards (accepted) (no play)",-2.32,1.07,14.0,2022,198
2.0,12:48,1.0,10.0,CIN 32,0.0,0.0,Samaje Perine right guard for no gain (tackle by Jeremiah Owusu-Koramoah and Jordan Elliott),1.07,0.53,14.0,2022,198
2.0,12:08,2.0,10.0,CIN 32,0.0,0.0,"Joe Burrow sacked by Jadeveon Clowney for no gain. Penalty on Isaiah Thomas: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.53,1.4,14.0,2022,198
2.0,11:53,1.0,10.0,CIN 37,0.0,0.0,"Joe Burrow pass incomplete intended for Ja'Marr Chase. Penalty on Denzel Ward: Defensive Pass Interference, 33 yards (accepted) (no play)",1.4,3.58,14.0,2022,198
2.0,11:46,1.0,10.0,CLE 30,0.0,0.0,Joe Mixon right guard for 3 yards (tackle by Perrion Winfrey),3.58,3.57,14.0,2022,198
2.0,11:06,2.0,6.0,CLE 26,0.0,0.0,Joe Burrow pass complete short middle to Joe Mixon for 4 yards (tackle by Deion Jones),3.57,3.27,14.0,2022,198
2.0,10:29,3.0,3.0,CLE 23,0.0,0.0,Joe Burrow scrambles up the middle for 8 yards (tackle by John Johnson and Perrion Winfrey),3.27,4.58,14.0,2022,198
2.0,9:46,1.0,10.0,CLE 15,0.0,6.0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 15 yards, touchdown",4.58,7.0,14.0,2022,198
2.0,9:43,,,CLE 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,14.0,2022,198
2.0,9:43,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 55 yards, returned by Jerome Ford for 19 yards (tackle by Markus Bailey and Trayveon Williams)",0.0,0.87,14.0,2022,198
2.0,9:37,1.0,10.0,CLE 29,0.0,7.0,Nick Chubb left tackle for 1 yard (tackle by Mike Hilton),0.87,0.46,14.0,2022,198
2.0,9:09,2.0,9.0,CLE 30,0.0,7.0,Deshaun Watson pass complete short middle to Nick Chubb for 12 yards (tackle by Eli Apple),0.46,1.73,14.0,2022,198
2.0,8:46,1.0,10.0,CLE 42,0.0,7.0,Nick Chubb left end for 2 yards (tackle by Logan Wilson and Jessie Bates),1.73,1.46,14.0,2022,198
2.0,8:07,2.0,8.0,CLE 44,0.0,7.0,Nick Chubb left tackle for no gain (tackle by B.J. Hill),1.46,0.76,14.0,2022,198
2.0,7:26,3.0,8.0,CLE 44,0.0,7.0,Deshaun Watson scrambles left end for 9 yards (tackle by Logan Wilson),0.76,2.46,14.0,2022,198
2.0,6:51,1.0,10.0,CIN 47,0.0,7.0,Deshaun Watson pass complete short left to Amari Cooper for 24 yards (tackle by Vonn Bell),2.46,4.04,14.0,2022,198
2.0,6:16,1.0,10.0,CIN 23,0.0,7.0,Nick Chubb right end for 7 yards (tackle by Logan Wilson),4.04,4.56,14.0,2022,198
2.0,5:47,2.0,3.0,CIN 16,0.0,7.0,Nick Chubb left end for 2 yards (tackle by Logan Wilson),4.56,4.28,14.0,2022,198
2.0,5:09,3.0,1.0,CIN 14,0.0,7.0,Kareem Hunt left guard for 2 yards (tackle by Mike Hilton),4.28,4.78,14.0,2022,198
2.0,4:25,1.0,10.0,CIN 12,0.0,7.0,Kareem Hunt right guard for 4 yards (tackle by Logan Wilson and Jessie Bates),4.78,4.83,14.0,2022,198
2.0,3:49,2.0,6.0,CIN 8,0.0,7.0,Kareem Hunt left tackle for no gain (tackle by D.J. Reader and Logan Wilson),4.83,3.93,14.0,2022,198
2.0,3:07,3.0,6.0,CIN 8,0.0,7.0,Deshaun Watson pass incomplete intended for Kareem Hunt (defended by D.J. Reader),3.93,2.96,14.0,2022,198
2.0,3:03,4.0,6.0,CIN 8,3.0,7.0,Cade York 26 yard field goal good,2.96,3.0,14.0,2022,198
2.0,2:59,,,CLE 35,3.0,7.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,198
2.0,2:59,1.0,10.0,CIN 25,3.0,7.0,Joe Mixon up the middle for 5 yards (tackle by Jeremiah Owusu-Koramoah),0.61,0.74,14.0,2022,198
2.0,2:27,2.0,5.0,CIN 30,3.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for 17 yards (tackle by Greg Newsome),0.74,2.06,14.0,2022,198
2.0,2:00,1.0,10.0,CIN 47,3.0,7.0,Joe Burrow pass incomplete short right intended for Trent Taylor,2.06,1.52,14.0,2022,198
