Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Jets to receive the opening kickoff.",,,4.0,2024,54
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,54
1.0,15:00,1.0,10.0,NYJ 30,0.0,0.0,Aaron Rodgers sacked by Justin Strnad for -8 yards,0.94,-0.69,4.0,2024,54
1.0,14:20,2.0,18.0,NYJ 22,0.0,0.0,Aaron Rodgers pass incomplete deep right intended for Tyler Conklin,-0.69,-1.35,4.0,2024,54
1.0,14:16,3.0,18.0,NYJ 22,0.0,0.0,"Aaron Rodgers pass complete short middle to Garrett Wilson for 7 yards. Garrett Wilson fumbles (forced by Brandon Jones), recovered by Riley Moss at NYJ-30",-1.35,-3.58,4.0,2024,54
1.0,14:08,1.0,10.0,NYJ 30,0.0,0.0,"Bo Nix pass complete short left to Javonte Williams for no gain (tackle by Quinnen Williams). Penalty on Troy Franklin: Offensive Pass Interference, 10 yards (accepted) (no play)",3.58,2.92,4.0,2024,54
1.0,13:44,1.0,20.0,NYJ 40,0.0,0.0,"Bo Nix pass incomplete short left intended for Courtland Sutton. Penalty on Ben Powers: Ineligible Downfield Pass, 5 yards (declined)",2.92,1.68,4.0,2024,54
1.0,13:44,2.0,20.0,NYJ 40,0.0,0.0,Bo Nix pass incomplete deep left intended for Courtland Sutton,1.68,1.02,4.0,2024,54
1.0,13:39,3.0,20.0,NYJ 40,0.0,0.0,Bo Nix pass complete short right to Troy Franklin for -4 yards (tackle by D.J. Reed),1.02,0.33,4.0,2024,54
1.0,12:58,4.0,24.0,NYJ 44,0.0,0.0,Riley Dixon punts 43 yards downed by Marvin Mims,0.33,0.38,4.0,2024,54
1.0,12:50,1.0,10.0,NYJ 1,0.0,0.0,"Breece Hall left guard for 1 yard (tackle by John Franklin-Myers and Nik Bonitto). Penalty on Tyron Smith: Offensive Holding, 10 yards (declined)",-0.38,-0.71,4.0,2024,54
1.0,12:29,2.0,9.0,NYJ 2,0.0,0.0,Breece Hall up the middle for no gain (tackle by D.J. Jones and Justin Strnad),-0.71,-1.3,4.0,2024,54
1.0,11:50,3.0,9.0,NYJ 2,0.0,0.0,"Penalty on John Simpson: False Start, 1 yard (accepted) (no play)",-1.3,-1.42,4.0,2024,54
1.0,11:33,3.0,10.0,NYJ 1,0.0,0.0,Penalty on Breece Hall: False Start (accepted) (no play),-1.42,-1.42,4.0,2024,54
1.0,11:13,3.0,10.0,NYJ 1,0.0,0.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by Ja'Quan McMillian),-1.42,-2.49,4.0,2024,54
1.0,11:11,4.0,10.0,NYJ 1,0.0,0.0,"Thomas Morstead punts 56 yards, returned by Marvin Mims for 5 yards (tackle by Marcelino McCrary-Ball)",-2.49,-2.13,4.0,2024,54
1.0,10:57,1.0,10.0,DEN 48,0.0,0.0,Tyler Badie right guard for no gain (tackle by Chazz Surratt),2.13,1.58,4.0,2024,54
1.0,10:21,2.0,10.0,DEN 48,0.0,0.0,Bo Nix pass complete short left to Tyler Badie for -1 yards (tackle by Jamien Sherwood),1.58,0.76,4.0,2024,54
1.0,9:41,3.0,11.0,DEN 47,0.0,0.0,Bo Nix pass incomplete short right intended for Greg Dulcich,0.76,-0.26,4.0,2024,54
1.0,9:37,4.0,11.0,DEN 47,0.0,0.0,"Riley Dixon punts 33 yards, fair catch by Xavier Gipson at NYJ-20",-0.26,-0.28,4.0,2024,54
1.0,9:29,1.0,10.0,NYJ 20,0.0,0.0,Breece Hall right end for no gain (tackle by Jonathon Cooper and Cody Barton),0.28,-0.27,4.0,2024,54
1.0,8:47,2.0,10.0,NYJ 20,0.0,0.0,Breece Hall right tackle for -2 yards (tackle by Justin Strnad),-0.27,-1.33,4.0,2024,54
1.0,8:08,3.0,12.0,NYJ 18,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Riley Moss),-1.33,-2.24,4.0,2024,54
1.0,8:00,4.0,12.0,NYJ 18,0.0,0.0,"Thomas Morstead punts 48 yards, fair catch by Marvin Mims at DEN-34",-2.24,-1.2,4.0,2024,54
1.0,7:52,1.0,10.0,DEN 34,0.0,0.0,Jaleel McLaughlin left end for 5 yards (tackle by Quincy Williams),1.2,1.33,4.0,2024,54
1.0,7:15,2.0,5.0,DEN 39,0.0,0.0,Javonte Williams up the middle for 2 yards (tackle by Bruce Hector and Jamien Sherwood),1.33,0.89,4.0,2024,54
1.0,6:31,3.0,3.0,DEN 41,0.0,0.0,Bo Nix pass incomplete deep middle intended for Josh Reynolds,0.89,-0.65,4.0,2024,54
1.0,6:25,4.0,3.0,DEN 41,0.0,0.0,"Riley Dixon punts 44 yards, returned by Xavier Gipson for 8 yards (tackle by P.J. Locke)",-0.65,-0.48,4.0,2024,54
1.0,6:14,1.0,10.0,NYJ 23,0.0,0.0,Aaron Rodgers pass complete short left to Jeremy Ruckert for 9 yards (tackle by Riley Moss),0.48,1.15,4.0,2024,54
1.0,5:38,2.0,1.0,NYJ 32,0.0,0.0,Breece Hall right tackle for -2 yards (tackle by Jonah Elliss),1.15,0.17,4.0,2024,54
1.0,4:59,3.0,3.0,NYJ 30,0.0,0.0,"Penalty on Tyron Smith: False Start, 5 yards (accepted) (no play)",0.17,-0.49,4.0,2024,54
1.0,4:41,3.0,8.0,NYJ 25,0.0,0.0,Aaron Rodgers scrambles left guard for 1 yard (tackle by Zach Allen),-0.49,-1.63,4.0,2024,54
1.0,4:00,4.0,7.0,NYJ 26,0.0,0.0,"Thomas Morstead punts 42 yards, fair catch by Marvin Mims at DEN-32. Penalty on Irvin Charles: Kick Catch Interference, 15 yards (accepted)",-1.63,-2.06,4.0,2024,54
1.0,3:53,1.0,10.0,DEN 47,0.0,0.0,"Tyler Badie right end for no gain (tackle by Quincy Williams). Penalty on Alex Palczewski: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,4.0,2024,54
1.0,3:38,1.0,20.0,DEN 37,0.0,0.0,Bo Nix pass complete short right to Jaleel McLaughlin for no gain (tackle by Sauce Gardner),1.4,0.17,4.0,2024,54
1.0,2:58,2.0,20.0,DEN 37,0.0,0.0,Bo Nix scrambles left guard for 7 yards (tackle by Jamien Sherwood),0.17,0.43,4.0,2024,54
1.0,2:14,3.0,13.0,DEN 44,0.0,0.0,"Bo Nix pass complete short right to Tyler Badie for -3 yards. Tyler Badie fumbles (forced by Quincy Williams), recovered by Michael Carter at DEN-41 and returned for 7 yards (tackle by Luke Wattenberg)",0.43,-3.31,4.0,2024,54
1.0,2:07,1.0,10.0,DEN 34,0.0,0.0,Braelon Allen right tackle for 9 yards (tackle by Dondrea Tillman and Riley Moss),3.31,3.99,4.0,2024,54
1.0,1:28,2.0,1.0,DEN 25,0.0,0.0,Aaron Rodgers pass incomplete deep right intended for Breece Hall,3.99,3.27,4.0,2024,54
1.0,1:19,3.0,1.0,DEN 25,0.0,0.0,"Braelon Allen right end for 2 yards (tackle by Riley Moss). Penalty on Allen Lazard: Offensive Holding, 10 yards (accepted) (no play)",3.27,1.95,4.0,2024,54
1.0,1:01,3.0,11.0,DEN 35,0.0,0.0,"Aaron Rodgers pass incomplete deep right intended for Allen Lazard. Penalty on Riley Moss: Defensive Pass Interference, 34 yards (accepted) (no play)",1.95,6.97,4.0,2024,54
1.0,0:53,1.0,1.0,DEN 1,0.0,0.0,Breece Hall right guard for no gain (tackle by Kristian Welch and John Franklin-Myers),6.97,5.91,4.0,2024,54
1.0,0:11,2.0,1.0,DEN 1,0.0,0.0,Breece Hall left tackle for no gain (tackle by Kristian Welch and Cody Barton),5.91,5.17,4.0,2024,54
2.0,15:00,3.0,1.0,DEN 1,0.0,0.0,Aaron Rodgers pass incomplete short right,5.17,3.55,4.0,2024,54
2.0,14:54,4.0,1.0,DEN 1,0.0,0.0,"Penalty on John Simpson: False Start, 4 yards (accepted) (no play)",3.55,3.01,4.0,2024,54
2.0,14:54,4.0,5.0,DEN 5,0.0,3.0,Greg Zuerlein 23 yard field goal good,3.01,3.0,4.0,2024,54
2.0,14:51,,,NYJ 35,0.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,54
2.0,14:51,1.0,10.0,DEN 30,0.0,3.0,Javonte Williams up the middle for 3 yards (tackle by Javon Kinlaw),0.94,0.8,4.0,2024,54
2.0,14:12,2.0,7.0,DEN 33,0.0,3.0,Bo Nix pass complete short right to Javonte Williams for -1 yards (tackle by Ashtyn Davis),0.8,-0.03,4.0,2024,54
2.0,13:31,3.0,8.0,DEN 32,0.0,3.0,Bo Nix pass incomplete deep right intended for Courtland Sutton,-0.03,-1.24,4.0,2024,54
2.0,13:27,4.0,8.0,DEN 32,0.0,3.0,"Riley Dixon punts 54 yards, returned by Xavier Gipson for 10 yards (tackle by Mitchell Fraboni)",-1.24,-0.54,4.0,2024,54
2.0,13:15,1.0,10.0,NYJ 24,0.0,3.0,Braelon Allen up the middle for 6 yards (tackle by P.J. Locke and D.J. Jones),0.54,0.81,4.0,2024,54
2.0,12:33,2.0,4.0,NYJ 30,0.0,3.0,Braelon Allen up the middle for 7 yards (tackle by P.J. Locke and Cody Barton),0.81,1.4,4.0,2024,54
2.0,11:56,1.0,10.0,NYJ 37,0.0,3.0,Braelon Allen right guard for 5 yards (tackle by Cody Barton),1.4,1.53,4.0,2024,54
2.0,11:21,2.0,5.0,NYJ 42,0.0,3.0,Braelon Allen up the middle for -1 yards (tackle by Zach Allen),1.53,0.7,4.0,2024,54
