Unnamed: 0,MIN,GNB,week,year,game_id
First Downs,22,24,4.0,2024,55
Rush-Yds-TDs,34-120-1,19-86-0,4.0,2024,55
Cmp-Att-Yd-TD-INT,20-28-275-3-1,32-54-389-4-3,4.0,2024,55
Sacked-Yards,2-21,1-10,4.0,2024,55
Net Pass Yards,254,379,4.0,2024,55
Total Yards,374,465,4.0,2024,55
Fumbles-Lost,2-2,1-1,4.0,2024,55
Turnovers,3,4,4.0,2024,55
Penalties-Yards,7-55,8-68,4.0,2024,55
Third Down Conv.,4-11,4-12,4.0,2024,55
Fourth Down Conv.,0-1,0-2,4.0,2024,55
Time of Possession,32:15,27:45,4.0,2024,55
