Unnamed: 0,TEN,MIA,week,year,game_id
First Downs,16,13,4.0,2024,63
Rush-Yds-TDs,40-142-2,30-106-1,4.0,2024,63
Cmp-Att-Yd-TD-INT,12-21-110-0-1,14-22-96-0-0,4.0,2024,63
Sacked-Yards,1-8,2-18,4.0,2024,63
Net Pass Yards,102,78,4.0,2024,63
Total Yards,244,184,4.0,2024,63
Fumbles-Lost,0-0,1-1,4.0,2024,63
Turnovers,1,1,4.0,2024,63
Penalties-Yards,8-69,10-98,4.0,2024,63
Third Down Conv.,2-12,2-12,4.0,2024,63
Fourth Down Conv.,1-1,1-3,4.0,2024,63
Time of Possession,34:52,25:08,4.0,2024,63
