Unnamed: 0,PIT,IND,week,year,game_id
First Downs,23,22,4.0,2024,53
Rush-Yds-TDs,30-122-2,32-133-1,4.0,2024,53
Cmp-Att-Yd-TD-INT,22-34-312-1-0,19-30-239-2-0,4.0,2024,53
Sacked-Yards,4-30,2-14,4.0,2024,53
Net Pass Yards,282,225,4.0,2024,53
Total Yards,404,358,4.0,2024,53
Fumbles-Lost,3-2,1-0,4.0,2024,53
Turnovers,2,0,4.0,2024,53
Penalties-Yards,6-53,4-38,4.0,2024,53
Third Down Conv.,6-13,8-15,4.0,2024,53
Fourth Down Conv.,0-2,0-0,4.0,2024,53
Time of Possession,31:07,28:53,4.0,2024,53
