Quarter,Time,Down,ToGo,Location,CLE,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Browns to receive the opening kickoff.",,,4.0,2024,60
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 64 yards, returned by D'Onta Foreman for 29 yards (tackle by Ameer Abdullah)",0.0,0.94,4.0,2024,60
1.0,14:53,1.0,10.0,CLE 30,0.0,0.0,Jerome Ford right guard for 6 yards (tackle by John Jenkins and Luke Masterson),0.94,1.2,4.0,2024,60
1.0,14:15,2.0,4.0,CLE 36,0.0,0.0,Deshaun Watson pass complete short right to Jerry Jeudy for 6 yards (tackle by Nate Hobbs),1.2,1.73,4.0,2024,60
1.0,13:45,1.0,10.0,CLE 42,0.0,0.0,Jerome Ford up the middle for no gain (tackle by Tre'von Moehrig),1.73,1.19,4.0,2024,60
1.0,13:12,2.0,10.0,CLE 42,0.0,0.0,Deshaun Watson pass complete short left to Jerome Ford for 5 yards (tackle by Adam Butler),1.19,1.16,4.0,2024,60
1.0,12:31,3.0,5.0,CLE 47,0.0,0.0,"Penalty on Dawand Jones: False Start, 5 yards (accepted) (no play)",1.16,0.5,4.0,2024,60
1.0,12:04,3.0,10.0,CLE 42,0.0,0.0,"Deshaun Watson pass complete short left to Elijah Moore for 11 yards (tackle by Isaiah Pola-Mao). Penalty on Adam Butler: Roughing the Passer, 15 yards (accepted)",0.5,3.45,4.0,2024,60
1.0,11:37,1.0,10.0,LVR 32,0.0,0.0,Deshaun Watson pass complete short right to James Proche for 3 yards (tackle by Robert Spillane),3.45,3.31,4.0,2024,60
1.0,10:50,2.0,7.0,LVR 29,0.0,0.0,Deshaun Watson pass complete short right to D'Onta Foreman for 5 yards (tackle by Nate Hobbs and Isaiah Pola-Mao),3.31,3.27,4.0,2024,60
1.0,10:10,3.0,2.0,LVR 24,0.0,0.0,Deshaun Watson pass complete short left to Amari Cooper for 2 yards (tackle by K'Lavon Chaisson),3.27,4.11,4.0,2024,60
1.0,9:31,1.0,10.0,LVR 22,0.0,0.0,Jerome Ford up the middle for 3 yards (tackle by Robert Spillane),4.11,3.97,4.0,2024,60
1.0,8:49,2.0,7.0,LVR 19,0.0,0.0,Deshaun Watson scrambles left end for 7 yards (tackle by Isaiah Pola-Mao),3.97,4.78,4.0,2024,60
1.0,8:01,1.0,10.0,LVR 12,0.0,0.0,Deshaun Watson pass complete short left to Blake Whiteheart for 7 yards (tackle by Luke Masterson),4.78,5.41,4.0,2024,60
1.0,7:30,2.0,3.0,LVR 5,0.0,0.0,D'Onta Foreman right guard for no gain (tackle by Janarius Robinson and Charles Snowden),5.41,4.61,4.0,2024,60
1.0,6:56,3.0,3.0,LVR 5,0.0,0.0,Jerome Ford right guard for 4 yards (tackle by K'Lavon Chaisson),4.61,6.97,4.0,2024,60
1.0,6:15,1.0,1.0,LVR 1,0.0,0.0,D'Onta Foreman up the middle for no gain (tackle by Robert Spillane),6.97,5.91,4.0,2024,60
1.0,5:41,2.0,1.0,LVR 1,6.0,0.0,"Deshaun Watson pass complete short left to Blake Whiteheart for 1 yard, touchdown",5.91,7.0,4.0,2024,60
1.0,5:38,,,LVR 15,7.0,0.0,Dustin Hopkins kicks extra point good,0.0,0.0,4.0,2024,60
1.0,5:38,,,CLE 35,7.0,0.0,"Dustin Hopkins kicks off 67 yards, returned by Tyreik McAllister for 28 yards (tackle by Khaleke Hudson and Sam Kamara). Penalty on Tommy Eichenberg: Offensive Holding, 10 yards (accepted)",0.0,-0.14,4.0,2024,60
1.0,5:31,1.0,10.0,LVR 16,7.0,0.0,Gardner Minshew pass incomplete deep right intended for Brock Bowers,-0.14,-0.66,4.0,2024,60
1.0,5:24,2.0,10.0,LVR 16,7.0,0.0,"Gardner Minshew pass complete short right to Brock Bowers for no gain (tackle by Denzel Ward and Jordan Hicks). Penalty on Delmar Glaze: Offensive Holding, 8 yards (accepted) (no play)",-0.66,-1.36,4.0,2024,60
1.0,5:01,2.0,18.0,LVR 8,7.0,0.0,Zamir White left tackle for 2 yards (tackle by Dalvin Tomlinson and Jordan Hicks),-1.36,-2.12,4.0,2024,60
1.0,4:21,3.0,16.0,LVR 10,7.0,0.0,Gardner Minshew pass incomplete deep middle intended for DJ Turner,-2.12,-2.49,4.0,2024,60
1.0,4:15,4.0,16.0,LVR 10,7.0,0.0,"AJ Cole punts, fair catch by James Proche at CLE-35. Penalty on Luke Masterson: Ineligible Downfield Kick, 5 yards (accepted) (no play)",-2.49,-2.49,4.0,2024,60
1.0,4:07,4.0,21.0,LVR 5,7.0,0.0,"AJ Cole punts 66 yards, returned by James Proche for 17 yards (tackle by Tommy Eichenberg)",-2.49,-1.99,4.0,2024,60
1.0,3:55,1.0,10.0,CLE 46,7.0,0.0,Deshaun Watson scrambles up the middle for 5 yards (tackle by Tommy Eichenberg),1.99,2.13,4.0,2024,60
1.0,3:35,2.0,5.0,LVR 49,7.0,0.0,Jerome Ford right guard for 5 yards (tackle by Robert Spillane),2.13,2.65,4.0,2024,60
1.0,2:49,1.0,10.0,LVR 44,7.0,0.0,Jerome Ford left guard for -3 yards (tackle by Adam Butler and Darnay Holmes),2.65,1.71,4.0,2024,60
1.0,2:11,2.0,13.0,LVR 47,7.0,0.0,Deshaun Watson pass complete short left to Jerome Ford for 4 yards (tackle by K'Lavon Chaisson and Jakorian Bennett),1.71,1.55,4.0,2024,60
1.0,1:32,3.0,9.0,LVR 43,7.0,0.0,Deshaun Watson scrambles right tackle for 6 yards (tackle by Isaiah Pola-Mao and Amari Burney),1.55,0.79,4.0,2024,60
1.0,0:40,,,,,,Timeout #1 by Cleveland Browns,,,4.0,2024,60
1.0,0:40,4.0,3.0,LVR 37,10.0,0.0,Dustin Hopkins 56 yard field goal good,0.79,3.0,4.0,2024,60
1.0,0:35,,,CLE 35,10.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,60
1.0,0:35,1.0,10.0,LVR 30,10.0,0.0,Brock Bowers right end for 12 yards (tackle by Jeremiah Owusu-Koramoah and Rodney McLeod),0.94,1.73,4.0,2024,60
1.0,0:10,1.0,10.0,LVR 42,10.0,0.0,Zamir White up the middle for 1 yard (tackle by Grant Delpit),1.73,1.32,4.0,2024,60
2.0,15:00,2.0,9.0,LVR 43,10.0,0.0,Zamir White up the middle for 3 yards (tackle by Grant Delpit and Jeremiah Owusu-Koramoah),1.32,1.03,4.0,2024,60
2.0,14:21,3.0,6.0,LVR 46,10.0,0.0,Gardner Minshew pass complete short left to Tre Tucker for 14 yards (tackle by Martin Emerson),1.03,2.92,4.0,2024,60
2.0,13:52,1.0,10.0,CLE 40,10.0,0.0,Zamir White right end for no gain (tackle by Ronnie Hickman),2.92,2.37,4.0,2024,60
2.0,13:10,2.0,10.0,CLE 40,10.0,0.0,Gardner Minshew pass complete short right to Tre Tucker for 14 yards (tackle by Jeremiah Owusu-Koramoah),2.37,3.84,4.0,2024,60
2.0,12:29,1.0,10.0,CLE 26,10.0,0.0,Zamir White left guard for 8 yards (tackle by Martin Emerson and Shelby Harris),3.84,4.45,4.0,2024,60
2.0,11:50,2.0,2.0,CLE 18,10.0,0.0,Tyreik McAllister right end for 10 yards (tackle by Devin Bush),4.45,5.37,4.0,2024,60
2.0,11:12,1.0,8.0,CLE 8,10.0,0.0,Zamir White up the middle for 1 yard (tackle by Rodney McLeod and Isaiah McGuire),5.37,4.76,4.0,2024,60
2.0,10:33,2.0,7.0,CLE 7,10.0,0.0,Zamir White right guard for 4 yards (tackle by Jeremiah Owusu-Koramoah),4.76,4.72,4.0,2024,60
2.0,9:55,3.0,3.0,CLE 3,10.0,6.0,"Tre Tucker left end for 3 yards, touchdown",4.72,7.0,4.0,2024,60
2.0,9:50,,,CLE 15,10.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,4.0,2024,60
2.0,9:50,,,LVR 35,10.0,7.0,"Daniel Carlson kicks off 65 yards, returned by D'Onta Foreman for 27 yards (tackle by Alex Bachman)",0.0,0.74,4.0,2024,60
2.0,9:43,1.0,10.0,CLE 27,10.0,7.0,Deshaun Watson pass incomplete short left intended for Jerry Jeudy,0.74,0.2,4.0,2024,60
2.0,9:39,2.0,10.0,CLE 27,10.0,7.0,Deshaun Watson pass complete short right to Jerome Ford for -2 yards (tackle by Robert Spillane),0.2,-0.76,4.0,2024,60
2.0,8:55,3.0,12.0,CLE 25,10.0,7.0,Deshaun Watson pass complete short middle to Jerome Ford for 4 yards (tackle by Robert Spillane),-0.76,-1.44,4.0,2024,60
2.0,8:11,4.0,8.0,CLE 29,10.0,7.0,"Corey Bojorquez punts 60 yards, returned by Tyreik McAllister for 10 yards (tackle by Isaiah McGuire)",-1.44,-0.34,4.0,2024,60
2.0,7:58,1.0,10.0,LVR 21,10.0,7.0,Zamir White right guard for 2 yards (tackle by Devin Bush and Za'Darius Smith),0.34,0.07,4.0,2024,60
2.0,7:12,2.0,8.0,LVR 23,10.0,7.0,Zamir White right guard for 5 yards (tackle by Za'Darius Smith),0.07,0.04,4.0,2024,60
2.0,6:33,3.0,3.0,LVR 28,10.0,7.0,Gardner Minshew pass complete short left to Jakobi Meyers for 5 yards (tackle by Martin Emerson),0.04,1.14,4.0,2024,60
2.0,5:56,1.0,10.0,LVR 33,10.0,7.0,Gardner Minshew pass complete short left to Tre Tucker for 9 yards (tackle by Martin Emerson),1.14,1.81,4.0,2024,60
2.0,5:35,2.0,1.0,LVR 42,10.0,7.0,Alexander Mattison up the middle for 24 yards (tackle by Denzel Ward),1.81,3.31,4.0,2024,60
2.0,4:53,1.0,10.0,CLE 34,10.0,7.0,"Alexander Mattison left tackle for no gain (tackle by Rodney McLeod and Quinton Jefferson). Penalty on Jackson Powers-Johnson: Offensive Holding, 10 yards (accepted) (no play)",3.31,2.65,4.0,2024,60
2.0,4:24,1.0,20.0,CLE 44,10.0,7.0,Gardner Minshew pass complete short left to Tre Tucker for 4 yards (tackle by Cameron Mitchell),2.65,1.96,4.0,2024,60
2.0,3:45,2.0,16.0,CLE 40,10.0,7.0,Gardner Minshew pass complete short right to Brock Bowers for 6 yards (tackle by Grant Delpit),1.96,2.08,4.0,2024,60
2.0,3:02,3.0,10.0,CLE 34,10.0,7.0,Gardner Minshew pass incomplete short right intended for Zamir White,2.08,1.06,4.0,2024,60
2.0,2:56,4.0,10.0,CLE 34,10.0,10.0,Daniel Carlson 52 yard field goal good,1.06,3.0,4.0,2024,60
2.0,2:52,,,LVR 35,10.0,10.0,"Daniel Carlson kicks off 64 yards, recovered by Gary Brightwell at CLE-5 (tackle by Ameer Abdullah)",0.0,-0.06,4.0,2024,60
2.0,2:45,1.0,10.0,CLE 17,10.0,10.0,Jerome Ford left tackle for 1 yard (tackle by Adam Butler and K'Lavon Chaisson),-0.06,-0.42,4.0,2024,60
2.0,2:11,2.0,9.0,CLE 18,10.0,10.0,Deshaun Watson pass complete short middle to Jerry Jeudy for 17 yards (tackle by Tre'von Moehrig),-0.42,1.27,4.0,2024,60
2.0,2:00,1.0,10.0,CLE 35,10.0,10.0,Deshaun Watson pass complete short right to Jerry Jeudy for 5 yards (tackle by Robert Spillane),1.27,1.4,4.0,2024,60
2.0,1:54,2.0,5.0,CLE 40,10.0,10.0,Deshaun Watson pass complete deep right to Jerry Jeudy for 19 yards (tackle by Luke Masterson),1.4,2.85,4.0,2024,60
