Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Falcons to receive the opening kickoff.",,,4.0,2024,50
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,50
1.0,15:00,1.0,10.0,ATL 30,0.0,0.0,Bijan Robinson left guard for 2 yards (tackle by Cameron Jordan and Willie Gay),0.94,0.66,4.0,2024,50
1.0,14:27,2.0,8.0,ATL 32,0.0,0.0,Kirk Cousins pass complete short left to Bijan Robinson for 11 yards (tackle by Willie Gay and Marshon Lattimore),0.66,1.8,4.0,2024,50
1.0,14:07,1.0,10.0,ATL 43,0.0,0.0,Kirk Cousins pass incomplete deep right intended for Drake London (defended by Alontae Taylor),1.8,1.25,4.0,2024,50
1.0,14:00,2.0,10.0,ATL 43,0.0,0.0,Kirk Cousins pass incomplete short left intended for Kyle Pitts,1.25,0.56,4.0,2024,50
1.0,13:57,3.0,10.0,ATL 43,0.0,0.0,Kirk Cousins pass complete short right to Drake London for 13 yards (tackle by Paulson Adebo),0.56,2.65,4.0,2024,50
1.0,13:32,1.0,10.0,NOR 44,0.0,0.0,Bijan Robinson right end for no gain (tackle by Carl Granderson),2.65,2.11,4.0,2024,50
1.0,12:53,2.0,10.0,NOR 44,0.0,0.0,"Kirk Cousins pass complete short middle to Ray-Ray McCloud for no gain (tackle by Tyrann Mathieu). Penalty on Matthew Bergeron: Offensive Facemask, 15 yards (accepted) (no play)",2.11,0.08,4.0,2024,50
1.0,12:31,2.0,25.0,ATL 41,0.0,0.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 5 yards (tackle by Pete Werner),0.08,0.1,4.0,2024,50
1.0,12:01,3.0,20.0,ATL 46,0.0,0.0,Kirk Cousins pass complete short left to Bijan Robinson for 8 yards (tackle by Marshon Lattimore),0.1,0.2,4.0,2024,50
1.0,11:25,4.0,12.0,NOR 46,0.0,6.0,"Bradley Pinion punts 46 yards, recovered by KhaDarel Hodge in end zone, touchdown",0.2,7.0,4.0,2024,50
1.0,11:13,,,NOR 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,4.0,2024,50
1.0,11:13,,,ATL 35,0.0,7.0,"Younghoe Koo kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,50
1.0,11:13,1.0,10.0,NOR 30,0.0,7.0,Derek Carr pass complete short middle to Chris Olave for 18 yards (tackle by AJ Terrell),0.94,2.13,4.0,2024,50
1.0,10:45,1.0,10.0,NOR 48,0.0,7.0,Alvin Kamara left tackle for 5 yards (tackle by Troy Andersen and David Onyemata),2.13,2.26,4.0,2024,50
1.0,10:19,2.0,5.0,ATL 47,0.0,7.0,Derek Carr pass complete short left to Chris Olave for 3 yards (tackle by Mike Hughes),2.26,1.95,4.0,2024,50
1.0,9:40,3.0,2.0,ATL 44,0.0,7.0,Taysom Hill right end for 5 yards (tackle by Troy Andersen),1.95,2.98,4.0,2024,50
1.0,9:01,1.0,10.0,ATL 39,0.0,7.0,Derek Carr pass complete short left to Alvin Kamara for 3 yards (tackle by James Smith-Williams and Zach Harrison),2.98,2.85,4.0,2024,50
1.0,8:24,2.0,7.0,ATL 36,0.0,7.0,"Alvin Kamara right tackle for 13 yards (tackle by Troy Andersen). Penalty on Kentavius Street: Defensive Holding, 5 yards (accepted)",2.85,4.37,4.0,2024,50
1.0,7:52,1.0,10.0,ATL 18,0.0,7.0,Taysom Hill right tackle for 3 yards (tackle by Zach Harrison and Troy Andersen),4.37,4.25,4.0,2024,50
1.0,7:20,2.0,7.0,ATL 15,0.0,7.0,Rashid Shaheed right end for 13 yards (tackle by Jessie Bates),4.25,6.74,4.0,2024,50
1.0,6:43,,,,,,Timeout #1 by New Orleans Saints,,,4.0,2024,50
1.0,6:43,1.0,2.0,ATL 2,6.0,7.0,"Taysom Hill right tackle for 2 yards, touchdown",6.74,7.0,4.0,2024,50
1.0,6:39,,,ATL 15,7.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,4.0,2024,50
1.0,6:39,,,NOR 35,7.0,7.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.28,4.0,2024,50
1.0,6:39,1.0,10.0,ATL 20,7.0,7.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 3 yards (tackle by Marshon Lattimore),0.28,0.14,4.0,2024,50
1.0,6:00,2.0,7.0,ATL 23,7.0,7.0,Kirk Cousins pass incomplete short right intended for Drake London (defended by Alontae Taylor),0.14,-0.56,4.0,2024,50
1.0,5:54,3.0,7.0,ATL 23,7.0,7.0,"Kirk Cousins pass complete short right to Ray-Ray McCloud for 14 yards (tackle by Paulson Adebo). Penalty on Paulson Adebo: Defensive Pass Interference, 15 yards (declined)",-0.56,1.4,4.0,2024,50
1.0,5:36,1.0,10.0,ATL 37,7.0,7.0,Tyler Allgeier right tackle for 7 yards (tackle by Pete Werner),1.4,1.8,4.0,2024,50
1.0,4:53,2.0,3.0,ATL 44,7.0,7.0,Kirk Cousins pass short middle intended for Ray-Ray McCloud is intercepted by Paulson Adebo at NO-46 and returned for 1 yard (tackle by Tyler Allgeier),1.8,-2.06,4.0,2024,50
1.0,4:43,1.0,10.0,NOR 47,7.0,7.0,Derek Carr pass complete short left to Chris Olave for 9 yards (tackle by Mike Hughes),2.06,2.73,4.0,2024,50
1.0,4:21,2.0,1.0,ATL 44,7.0,7.0,Alvin Kamara left tackle for 8 yards (tackle by Kaden Elliss),2.73,3.18,4.0,2024,50
1.0,3:57,1.0,10.0,ATL 36,7.0,7.0,Derek Carr pass complete short left to Rashid Shaheed for 6 yards (tackle by Mike Hughes),3.18,3.45,4.0,2024,50
1.0,3:13,2.0,4.0,ATL 30,7.0,7.0,Taysom Hill right tackle for 2 yards (tackle by Troy Andersen and James Smith-Williams),3.45,3.01,4.0,2024,50
1.0,2:33,3.0,2.0,ATL 28,7.0,7.0,Alvin Kamara right end for 1 yard (tackle by Kaden Elliss),3.01,1.82,4.0,2024,50
1.0,1:51,4.0,1.0,ATL 27,7.0,7.0,Taysom Hill left guard for 7 yards (tackle by Kaden Elliss),1.82,4.24,4.0,2024,50
