Unnamed: 0,SEA,DET,week,year,game_id
First Downs,38,21,4.0,2024,64
Rush-Yds-TDs,19-133-3,28-116-3,4.0,2024,64
Cmp-Att-Yd-TD-INT,38-56-395-1-1,19-19-299-3-0,4.0,2024,64
Sacked-Yards,3-12,3-26,4.0,2024,64
Net Pass Yards,383,273,4.0,2024,64
Total Yards,516,389,4.0,2024,64
Fumbles-Lost,1-1,0-0,4.0,2024,64
Turnovers,2,0,4.0,2024,64
Penalties-Yards,8-70,12-101,4.0,2024,64
Third Down Conv.,5-10,3-6,4.0,2024,64
Fourth Down Conv.,1-2,0-0,4.0,2024,64
Time of Possession,34:04,25:56,4.0,2024,64
