Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Dak Prescott,DAL,0,0,0,0,0,4.0,2024,49
Rico Dowdle,DAL,1,1,15,1,15,4.0,2024,49
Ezekiel Elliott,DAL,1,1,5,0,5,4.0,2024,49
CeeDee Lamb,DAL,8,7,98,1,55,4.0,2024,49
Hunter Luepke,DAL,2,2,14,0,11,4.0,2024,49
Jake Ferguson,DAL,7,7,49,0,9,4.0,2024,49
Jalen Tolbert,DAL,3,3,24,0,15,4.0,2024,49
Brandin Cooks,DAL,4,1,16,0,16,4.0,2024,49
Daniel Jones,NYG,0,0,0,0,0,4.0,2024,49
Devin Singletary,NYG,1,1,14,0,14,4.0,2024,49
Tyrone Tracy Jr.,NYG,1,1,19,0,19,4.0,2024,49
Eric Gray,NYG,0,0,0,0,0,4.0,2024,49
Wan'Dale Robinson,NYG,14,11,71,0,11,4.0,2024,49
Darius Slayton,NYG,5,3,56,0,28,4.0,2024,49
Theo Johnson,NYG,1,1,6,0,6,4.0,2024,49
Jalin Hyatt,NYG,1,0,0,0,0,4.0,2024,49
Malik Nabers,NYG,15,12,115,0,39,4.0,2024,49
