Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,4.0,2024,58
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 65 yards, returned by DeeJay Dallas for 39 yards. DeeJay Dallas fumbles (forced by Jeremy Chinn) (tackle by Quan Martin, recovered by Emari Demercado at ARI-45",0.0,1.93,4.0,2024,58
1.0,14:51,1.0,10.0,ARI 45,0.0,0.0,Kyler Murray pass complete short left to Marvin Harrison for 9 yards (tackle by Benjamin St-Juste),1.93,2.6,4.0,2024,58
1.0,14:15,2.0,1.0,WAS 46,0.0,0.0,James Conner up the middle for 6 yards (tackle by Jeremy Chinn),2.6,2.92,4.0,2024,58
1.0,13:35,1.0,10.0,WAS 40,0.0,0.0,Kyler Murray scrambles left end for 3 yards (tackle by Jeremy Chinn),2.92,2.78,4.0,2024,58
1.0,12:57,2.0,7.0,WAS 37,0.0,0.0,James Conner left tackle for 10 yards (tackle by Jer'Zhan Newton),2.78,3.78,4.0,2024,58
1.0,12:14,1.0,10.0,WAS 27,0.0,0.0,James Conner left end for 16 yards (tackle by Bobby Wagner),3.78,4.84,4.0,2024,58
1.0,11:31,1.0,10.0,WAS 11,0.0,0.0,James Conner right tackle for -1 yards (tackle by Bobby Wagner),4.84,3.98,4.0,2024,58
1.0,10:47,2.0,11.0,WAS 12,0.0,0.0,Kyler Murray pass complete short middle to Greg Dortch for 10 yards (tackle by Bobby Wagner and Benjamin St-Juste),3.98,5.12,4.0,2024,58
1.0,10:26,3.0,1.0,WAS 2,0.0,0.0,James Conner up the middle for no gain (tackle by Noah Igbinoghene and Bobby Wagner),5.12,3.25,4.0,2024,58
1.0,9:57,4.0,1.0,WAS 2,0.0,6.0,"Kyler Murray pass complete short left to Marvin Harrison for 2 yards, touchdown",3.25,7.0,4.0,2024,58
1.0,9:54,,,WAS 15,0.0,7.0,Matt Prater kicks extra point good,0.0,0.0,4.0,2024,58
1.0,9:54,,,ARI 35,0.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,58
1.0,9:54,1.0,10.0,WAS 30,0.0,7.0,Brian Robinson up the middle for 4 yards (tackle by Budda Baker),0.94,0.93,4.0,2024,58
1.0,9:26,2.0,6.0,WAS 34,0.0,7.0,Jayden Daniels scrambles right end for 2 yards (tackle by Budda Baker),0.93,0.5,4.0,2024,58
1.0,8:41,3.0,4.0,WAS 36,0.0,7.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 16 yards (tackle by Mack Wilson),0.5,2.39,4.0,2024,58
1.0,8:08,1.0,10.0,ARI 48,0.0,7.0,Brian Robinson left tackle for 2 yards (tackle by Roy Lopez and Bilal Nichols),2.39,2.12,4.0,2024,58
1.0,7:34,2.0,8.0,ARI 46,0.0,7.0,Jayden Daniels pass complete short right to Noah Brown for 6 yards (tackle by Kyzir White),2.12,2.21,4.0,2024,58
1.0,6:53,3.0,2.0,ARI 40,0.0,7.0,Brian Robinson left end for 17 yards (tackle by Budda Baker and Garrett Williams),2.21,4.04,4.0,2024,58
1.0,6:13,1.0,10.0,ARI 23,0.0,7.0,Brian Robinson up the middle for 9 yards (tackle by Dennis Gardeck),4.04,4.95,4.0,2024,58
1.0,5:50,2.0,1.0,ARI 14,0.0,7.0,Jayden Daniels left end for 8 yards (tackle by Budda Baker),4.95,5.83,4.0,2024,58
1.0,5:17,1.0,6.0,ARI 6,6.0,7.0,"Brian Robinson up the middle for 6 yards, touchdown",5.83,7.0,4.0,2024,58
1.0,5:13,,,ARI 15,7.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,4.0,2024,58
1.0,5:13,,,WAS 35,7.0,7.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,58
1.0,5:13,1.0,10.0,ARI 30,7.0,7.0,James Conner left end for 5 yards (tackle by Frankie Luvu),0.94,1.07,4.0,2024,58
1.0,4:37,2.0,5.0,ARI 35,7.0,7.0,James Conner right tackle for 12 yards (tackle by Jonathan Allen and Jeremy Chinn),1.07,2.06,4.0,2024,58
1.0,3:57,1.0,10.0,ARI 47,7.0,7.0,"Kyler Murray pass complete short right to Marvin Harrison for 10 yards (tackle by Benjamin St-Juste). Penalty on Daron Payne: Defensive Offside, 5 yards (declined)",2.06,2.72,4.0,2024,58
1.0,3:35,1.0,10.0,WAS 43,7.0,7.0,Kyler Murray pass incomplete short left intended for Marvin Harrison,2.72,2.18,4.0,2024,58
1.0,3:31,2.0,10.0,WAS 43,7.0,7.0,James Conner up the middle for 1 yard (tackle by Frankie Luvu),2.18,1.62,4.0,2024,58
1.0,2:53,3.0,9.0,WAS 42,7.0,7.0,Kyler Murray pass incomplete short right intended for Michael Wilson,1.62,0.46,4.0,2024,58
1.0,2:48,4.0,9.0,WAS 42,7.0,7.0,Blake Gillikin punts 35 yards downed by Owen Pappoe,0.46,0.38,4.0,2024,58
1.0,2:39,1.0,10.0,WAS 7,7.0,7.0,Brian Robinson up the middle for 1 yard (tackle by Dante Stills),-0.38,-0.71,4.0,2024,58
1.0,2:08,2.0,9.0,WAS 8,7.0,7.0,Jayden Daniels pass complete short left to Terry McLaurin for 5 yards (tackle by Jalen Thompson),-0.71,-0.72,4.0,2024,58
