Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Bills,-25.0,-6.92,-10.8,1.23,-3.98,-19.69,-12.67,-8.37,4.12,2.37,-2.82,5.64,1.89,-1.22,-1.12,4.0,2024,62
Ravens,25.0,19.69,12.67,8.37,-4.12,6.92,10.8,-1.23,3.98,-2.37,-5.64,2.82,1.22,-1.89,1.12,4.0,2024,62
