Unnamed: 0,DEN,NYJ,week,year,game_id
First Downs,12,16,4.0,2024,54
Rush-Yds-TDs,31-126-0,23-64-0,4.0,2024,54
Cmp-Att-Yd-TD-INT,12-25-60-1-0,24-42-225-0-0,4.0,2024,54
Sacked-Yards,0-0,5-41,4.0,2024,54
Net Pass Yards,60,184,4.0,2024,54
Total Yards,186,248,4.0,2024,54
Fumbles-Lost,1-1,1-1,4.0,2024,54
Turnovers,1,1,4.0,2024,54
Penalties-Yards,5-74,13-90,4.0,2024,54
Third Down Conv.,3-14,4-17,4.0,2024,54
Fourth Down Conv.,0-0,0-1,4.0,2024,54
Time of Possession,28:16,31:44,4.0,2024,54
