Unnamed: 0,CIN,CAR,week,year,game_id
First Downs,24,24,4.0,2024,51
Rush-Yds-TDs,31-141-2,29-155-1,4.0,2024,51
Cmp-Att-Yd-TD-INT,22-31-232-2-1,25-41-220-2-1,4.0,2024,51
Sacked-Yards,0-0,0-0,4.0,2024,51
Net Pass Yards,232,220,4.0,2024,51
Total Yards,373,375,4.0,2024,51
Fumbles-Lost,0-0,0-0,4.0,2024,51
Turnovers,1,1,4.0,2024,51
Penalties-Yards,5-39,6-37,4.0,2024,51
Third Down Conv.,7-13,7-14,4.0,2024,51
Fourth Down Conv.,0-0,1-3,4.0,2024,51
Time of Possession,28:58,31:02,4.0,2024,51
