Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Titans to receive the opening kickoff.",,,4.0,2024,63
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 58 yards, returned by Treylon Burks for 21 yards (tackle by Duke Riley)",0.0,0.81,4.0,2024,63
1.0,14:54,1.0,10.0,TEN 28,0.0,0.0,"Penalty on JC Latham: False Start, 5 yards (accepted) (no play)",0.81,0.48,4.0,2024,63
1.0,14:54,1.0,15.0,TEN 23,0.0,0.0,Will Levis pass complete short right to Tyler Boyd for 4 yards (tackle by Zach Sieler),0.48,0.13,4.0,2024,63
1.0,14:17,2.0,11.0,TEN 27,0.0,0.0,Tony Pollard up the middle for 3 yards (tackle by Zach Sieler and Jordyn Brooks),0.13,-0.16,4.0,2024,63
1.0,13:30,3.0,8.0,TEN 30,0.0,0.0,"Will Levis pass incomplete short left intended for Chigoziem Okonkwo. Penalty on Jaelan Phillips: Roughing the Passer, 15 yards (accepted) (no play)",-0.16,1.93,4.0,2024,63
1.0,13:25,1.0,10.0,TEN 45,0.0,0.0,Tony Pollard left end for -2 yards (tackle by Jordyn Brooks and Emmanuel Ogbah),1.93,1.11,4.0,2024,63
1.0,12:40,2.0,12.0,TEN 43,0.0,0.0,"Penalty on Peter Skoronski: False Start, 5 yards (accepted) (no play)",1.11,0.44,4.0,2024,63
1.0,12:16,2.0,17.0,TEN 38,0.0,0.0,Will Levis pass complete deep left to DeAndre Hopkins for 16 yards (tackle by Anthony Walker),0.44,1.88,4.0,2024,63
1.0,11:28,3.0,1.0,MIA 46,0.0,0.0,Will Levis left guard for 2 yards (tackle by Jordyn Brooks),1.88,2.65,4.0,2024,63
1.0,10:48,1.0,10.0,MIA 44,0.0,0.0,Tony Pollard up the middle for 1 yard (tackle by Benito Jones and Anthony Walker),2.65,2.25,4.0,2024,63
1.0,10:08,2.0,9.0,MIA 43,0.0,0.0,Will Levis pass short left intended for DeAndre Hopkins is intercepted by Emmanuel Ogbah at MIA-37 and returned for no gain (tackle by DeAndre Hopkins),2.25,-1.4,4.0,2024,63
1.0,10:05,1.0,10.0,MIA 37,0.0,0.0,Tyler Huntley pass complete short middle to Jaylen Waddle for 14 yards (tackle by Amani Hooker),1.4,2.32,4.0,2024,63
1.0,9:22,1.0,10.0,TEN 49,0.0,0.0,Tyreek Hill right end for 16 yards (tackle by Quandre Diggs),2.32,3.38,4.0,2024,63
