Quarter,Time,Down,ToGo,Location,CIN,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Panthers to receive the opening kickoff.",,,4.0,2024,51
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,51
1.0,15:00,1.0,10.0,CAR 30,0.0,0.0,Chuba Hubbard left guard for 6 yards (tackle by Daxton Hill and Vonn Bell),0.94,1.2,4.0,2024,51
1.0,14:27,2.0,4.0,CAR 36,0.0,0.0,Chuba Hubbard right guard for no gain (tackle by Logan Wilson),1.2,0.5,4.0,2024,51
1.0,13:40,3.0,4.0,CAR 36,0.0,0.0,Andy Dalton pass complete deep left to Diontae Johnson for 39 yards (tackle by Geno Stone),0.5,3.91,4.0,2024,51
1.0,13:06,1.0,10.0,CIN 25,0.0,0.0,Chuba Hubbard up the middle for no gain (tackle by Sam Hubbard and Joseph Ossai),3.91,3.36,4.0,2024,51
1.0,12:31,2.0,10.0,CIN 25,0.0,0.0,Andy Dalton pass complete short left to Xavier Legette for 12 yards,3.36,4.71,4.0,2024,51
1.0,12:21,1.0,10.0,CIN 13,0.0,0.0,Andy Dalton pass complete short right to Diontae Johnson for 3 yards (tackle by Logan Wilson),4.71,4.58,4.0,2024,51
1.0,11:36,2.0,7.0,CIN 10,0.0,0.0,Andy Dalton pass complete short right to Ja'Tavion Sanders for 5 yards (tackle by Mike Hilton and Joseph Ossai),4.58,4.78,4.0,2024,51
1.0,10:53,3.0,2.0,CIN 5,0.0,0.0,Chuba Hubbard up the middle for 3 yards (tackle by Mike Hilton and Zachary Carter),4.78,6.74,4.0,2024,51
1.0,10:25,1.0,2.0,CIN 2,0.0,0.0,Chuba Hubbard right tackle for 1 yard (tackle by Geno Stone and Logan Wilson),6.74,5.91,4.0,2024,51
1.0,9:48,2.0,1.0,CIN 1,0.0,0.0,Andy Dalton pass incomplete short right intended for Diontae Johnson (defended by Daxton Hill),5.91,5.17,4.0,2024,51
1.0,9:41,3.0,1.0,CIN 1,0.0,0.0,Chuba Hubbard right tackle for no gain (tackle by Zachary Carter and Logan Wilson),5.17,3.55,4.0,2024,51
1.0,9:12,4.0,1.0,CIN 1,0.0,0.0,Chuba Hubbard left guard for no gain (tackle by Kris Jenkins),3.55,0.38,4.0,2024,51
1.0,9:08,1.0,10.0,CIN 1,0.0,0.0,Zack Moss up the middle for 3 yards (tackle by Nick Thurman),-0.38,-0.56,4.0,2024,51
1.0,8:25,2.0,7.0,CIN 4,0.0,0.0,Joe Burrow pass complete short middle to Erick All for 3 yards (tackle by Shaq Thompson),-0.56,-0.72,4.0,2024,51
1.0,7:42,3.0,4.0,CIN 7,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Xavier Woods and Josey Jewell),-0.72,-0.22,4.0,2024,51
1.0,7:00,1.0,10.0,CIN 15,0.0,0.0,Zack Moss left end for 3 yards (tackle by Josey Jewell),-0.22,-0.28,4.0,2024,51
1.0,6:18,2.0,7.0,CIN 18,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Xavier Woods),-0.28,0.87,4.0,2024,51
1.0,5:36,1.0,10.0,CIN 29,0.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,0.87,0.33,4.0,2024,51
1.0,5:30,2.0,10.0,CIN 29,0.0,0.0,Joe Burrow pass complete short middle to Tee Higgins for 7 yards (tackle by Troy Hill),0.33,0.56,4.0,2024,51
1.0,4:49,3.0,3.0,CIN 36,0.0,0.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by A'Shawn Robinson),0.56,-0.98,4.0,2024,51
1.0,4:45,4.0,3.0,CIN 36,0.0,0.0,"Ryan Rehkow punts 57 yards, returned by Raheem Blackshear for 13 yards (tackle by DJ Turner and Tycen Anderson)",-0.98,-0.28,4.0,2024,51
1.0,4:33,1.0,10.0,CAR 20,0.0,0.0,Andy Dalton pass complete short left to Xavier Legette for 1 yard (tackle by Cam Taylor-Britt),0.28,-0.13,4.0,2024,51
1.0,4:01,2.0,9.0,CAR 21,0.0,0.0,Andy Dalton pass incomplete short right intended for Diontae Johnson,-0.13,-0.82,4.0,2024,51
1.0,3:56,3.0,9.0,CAR 21,0.0,0.0,Andy Dalton pass complete short right to Xavier Legette for 11 yards (tackle by Cam Taylor-Britt),-0.82,1.07,4.0,2024,51
1.0,3:11,1.0,10.0,CAR 32,0.0,0.0,Andy Dalton pass incomplete deep left intended for Diontae Johnson (defended by Cam Taylor-Britt),1.07,0.53,4.0,2024,51
1.0,3:04,2.0,10.0,CAR 32,0.0,0.0,Chuba Hubbard up the middle for 2 yards (tackle by Logan Wilson),0.53,0.1,4.0,2024,51
1.0,2:22,3.0,8.0,CAR 34,0.0,0.0,Andy Dalton pass short middle (defended by Trey Hendrickson) intended for Diontae Johnson is intercepted by Vonn Bell at CAR-48 and returned for 32 yards (tackle by Miles Sanders),0.1,-4.51,4.0,2024,51
1.0,2:09,1.0,10.0,CAR 16,0.0,0.0,Chase Brown left end for no gain (tackle by Shaq Thompson),4.51,3.9,4.0,2024,51
1.0,1:36,2.0,10.0,CAR 16,0.0,0.0,Joe Burrow pass complete short middle to Tee Higgins for 12 yards (tackle by Josey Jewell and Nick Scott),3.9,6.28,4.0,2024,51
