Unnamed: 0,DAL,NYG,week,year,game_id
First Downs,14,16,4.0,2024,49
Rush-Yds-TDs,23-80-0,24-26-0,4.0,2024,49
Cmp-Att-Yd-TD-INT,22-27-221-2-0,29-40-281-0-1,4.0,2024,49
Sacked-Yards,1-8,1-4,4.0,2024,49
Net Pass Yards,213,277,4.0,2024,49
Total Yards,293,303,4.0,2024,49
Fumbles-Lost,1-0,1-0,4.0,2024,49
Turnovers,0,1,4.0,2024,49
Penalties-Yards,11-89,4-35,4.0,2024,49
Third Down Conv.,3-10,5-16,4.0,2024,49
Fourth Down Conv.,1-1,3-4,4.0,2024,49
Time of Possession,24:23,35:37,4.0,2024,49
