Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Rico Dowdle,DAL,11,46,0,3.0,24,2.2,22,2.0,0,,4.0,2024,49
Ezekiel Elliott,DAL,5,19,0,,12,2.4,7,1.4,0,,4.0,2024,49
CeeDee Lamb,DAL,3,8,0,0.0,0,0.0,8,2.7,0,,4.0,2024,49
Hunter Luepke,DAL,2,8,0,2.0,0,0.0,8,4.0,0,,4.0,2024,49
Dak Prescott,DAL,2,-1,0,0.0,-1,-0.5,0,0.0,0,,4.0,2024,49
Devin Singletary,NYG,14,24,0,3.0,8,0.6,16,1.1,1,14.0,4.0,2024,49
Daniel Jones,NYG,4,3,0,1.0,1,0.3,2,0.5,0,,4.0,2024,49
Tyrone Tracy Jr.,NYG,4,2,0,0.0,2,0.5,0,0.0,0,,4.0,2024,49
Eric Gray,NYG,1,1,0,,1,1.0,0,0.0,0,,4.0,2024,49
Malik Nabers,NYG,1,-4,0,0.0,-4,-4.0,0,0.0,0,,4.0,2024,49
