Unnamed: 0,PHI,TAM,week,year,game_id
First Downs,16,29,4.0,2024,57
Rush-Yds-TDs,20-113-1,25-111-2,4.0,2024,57
Cmp-Att-Yd-TD-INT,18-30-158-1-0,30-47-347-2-0,4.0,2024,57
Sacked-Yards,6-44,2-13,4.0,2024,57
Net Pass Yards,114,334,4.0,2024,57
Total Yards,227,445,4.0,2024,57
Fumbles-Lost,3-2,1-0,4.0,2024,57
Turnovers,2,0,4.0,2024,57
Penalties-Yards,5-41,3-20,4.0,2024,57
Third Down Conv.,6-13,6-13,4.0,2024,57
Fourth Down Conv.,1-2,1-1,4.0,2024,57
Time of Possession,23:43,36:17,4.0,2024,57
