Unnamed: 0,CLE,LVR,week,year,game_id
First Downs,16,17,4.0,2024,60
Rush-Yds-TDs,22-92-0,29-152-2,4.0,2024,60
Cmp-Att-Yd-TD-INT,24-32-176-1-1,14-24-130-0-0,4.0,2024,60
Sacked-Yards,3-27,2-14,4.0,2024,60
Net Pass Yards,149,116,4.0,2024,60
Total Yards,241,268,4.0,2024,60
Fumbles-Lost,1-0,1-1,4.0,2024,60
Turnovers,1,1,4.0,2024,60
Penalties-Yards,5-38,6-49,4.0,2024,60
Third Down Conv.,3-10,4-12,4.0,2024,60
Fourth Down Conv.,0-1,0-0,4.0,2024,60
Time of Possession,30:42,29:18,4.0,2024,60
