Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,,4.0,2024,55
1.0,15:00,,,GNB 35,0.0,0.0,"Brayden Narveson kicks off 64 yards, returned by Myles Gaskin for 26 yards (tackle by Malik Heath and Ty'Ron Hopper)",0.0,0.74,4.0,2024,55
1.0,14:54,1.0,10.0,MIN 27,0.0,0.0,Aaron Jones left end for 5 yards (tackle by Keisean Nixon),0.74,0.87,4.0,2024,55
1.0,14:19,2.0,5.0,MIN 32,0.0,0.0,Sam Darnold pass complete short left to Aaron Jones for 12 yards (tackle by Javon Bullard and Isaiah McDuffie),0.87,1.86,4.0,2024,55
1.0,13:42,1.0,10.0,MIN 44,0.0,0.0,Aaron Jones left end for 1 yard (tackle by Devonte Wyatt and Kenny Clark),1.86,1.45,4.0,2024,55
1.0,12:53,2.0,9.0,MIN 45,0.0,0.0,Sam Darnold pass incomplete short left intended for Justin Jefferson (defended by Isaiah McDuffie),1.45,0.76,4.0,2024,55
1.0,12:43,3.0,9.0,MIN 45,0.0,0.0,"Penalty on Sam Darnold: Delay of Game, 5 yards (accepted) (no play)",0.76,0.1,4.0,2024,55
1.0,12:43,3.0,14.0,MIN 40,0.0,0.0,Sam Darnold pass complete deep right to Jalen Nailor for 31 yards (tackle by Xavier McKinney and Eric Stokes),0.1,3.64,4.0,2024,55
1.0,11:59,1.0,10.0,GNB 29,6.0,0.0,"Sam Darnold pass complete deep right to Jordan Addison for 29 yards, touchdown. Penalty on Kingsley Enagbare: Defensive Offside, 5 yards (declined)",3.64,7.0,4.0,2024,55
1.0,11:53,,,GNB 15,7.0,0.0,Will Reichard kicks extra point good,0.0,0.0,4.0,2024,55
1.0,11:53,,,MIN 35,7.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,55
