Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,4.0,2024,61
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,61
1.0,15:00,1.0,10.0,KAN 30,0.0,0.0,Patrick Mahomes pass complete short right to Carson Steele for no gain (tackle by Poona Ford),0.94,0.39,4.0,2024,61
1.0,14:20,2.0,10.0,KAN 30,0.0,0.0,Patrick Mahomes pass complete short right to Noah Gray for 2 yards (tackle by Daiyan Henley),0.39,-0.03,4.0,2024,61
1.0,13:35,3.0,8.0,KAN 32,0.0,0.0,Patrick Mahomes pass complete deep right to Travis Kelce for 38 yards (tackle by AJ Finley),-0.03,3.58,4.0,2024,61
1.0,12:59,1.0,10.0,LAC 30,0.0,0.0,"Carson Steele up the middle for 3 yards. Carson Steele fumbles (forced by Tuli Tuipulotu), recovered by Elijah Molden at LAC-26",3.58,-0.67,4.0,2024,61
1.0,12:52,1.0,10.0,LAC 26,0.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Trent McDuffie and Drue Tranquill),0.67,0.81,4.0,2024,61
1.0,12:07,2.0,5.0,LAC 31,0.0,0.0,Quentin Johnston left end for 4 yards (tackle by Bryan Cook),0.81,0.63,4.0,2024,61
1.0,11:15,3.0,1.0,LAC 35,0.0,0.0,Gus Edwards up the middle for 5 yards (tackle by Nick Bolton and Bryan Cook),0.63,1.6,4.0,2024,61
1.0,10:36,,,,,,Timeout #1 by Los Angeles Chargers,,,4.0,2024,61
1.0,10:36,1.0,10.0,LAC 40,0.0,0.0,J.K. Dobbins up the middle for 12 yards (tackle by Nick Bolton),1.6,2.39,4.0,2024,61
1.0,9:55,1.0,10.0,KAN 48,0.0,0.0,J.K. Dobbins left guard for no gain (tackle by Malik Herring and Drue Tranquill),2.39,1.85,4.0,2024,61
1.0,9:16,2.0,10.0,KAN 48,0.0,0.0,Justin Herbert pass complete short left to Will Dissly for 22 yards (tackle by Bryan Cook),1.85,3.84,4.0,2024,61
1.0,8:33,1.0,10.0,KAN 26,0.0,0.0,J.K. Dobbins right guard for 2 yards (tackle by Mike Pennel),3.84,3.57,4.0,2024,61
1.0,7:47,2.0,8.0,KAN 24,0.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 15 yards (tackle by Jaylen Watson),3.57,5.14,4.0,2024,61
1.0,7:00,1.0,9.0,KAN 9,0.0,0.0,Gus Edwards left tackle for 2 yards (tackle by Drue Tranquill and Nazeeh Johnson),5.14,4.76,4.0,2024,61
