Unnamed: 0,NOR,ATL,week,year,game_id
First Downs,25,14,4.0,2024,50
Rush-Yds-TDs,33-131-3,15-88-0,4.0,2024,50
Cmp-Att-Yd-TD-INT,28-36-239-0-1,21-35-238-0-1,4.0,2024,50
Sacked-Yards,1-4,1-11,4.0,2024,50
Net Pass Yards,235,227,4.0,2024,50
Total Yards,366,315,4.0,2024,50
Fumbles-Lost,1-1,1-0,4.0,2024,50
Turnovers,2,1,4.0,2024,50
Penalties-Yards,6-60,9-76,4.0,2024,50
Third Down Conv.,7-13,4-11,4.0,2024,50
Fourth Down Conv.,1-2,0-0,4.0,2024,50
Time of Possession,35:42,24:18,4.0,2024,50
