Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA,week,year,game_id
2.0,13:40,1.0,10.0,SEA 44,0.0,14.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Carlton Davis),1.86,1.32,4.0,2024,64
2.0,13:34,2.0,10.0,SEA 44,0.0,14.0,Geno Smith pass complete short left to Pharaoh Brown for 3 yards (tackle by Alex Anzalone and Josh Paschal),1.32,1.03,4.0,2024,64
2.0,12:50,3.0,7.0,SEA 47,0.0,14.0,"Geno Smith scrambles right end for no gain (tackle by Alex Anzalone). Penalty on Carlton Davis: Defensive Holding, 5 yards (accepted) (no play)",1.03,2.39,4.0,2024,64
2.0,12:24,1.0,10.0,DET 48,0.0,14.0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Terrion Arnold),2.39,2.66,4.0,2024,64
2.0,12:05,2.0,4.0,DET 42,0.0,14.0,"Geno Smith pass complete short left to Kenneth Walker for 10 yards (tackle by Kerby Joseph). Penalty on James Houston: Defensive Offside, 5 yards (declined)",2.66,3.45,4.0,2024,64
2.0,11:33,1.0,10.0,DET 32,0.0,14.0,Kenneth Walker right end for 2 yards (tackle by Carlton Davis and Kerby Joseph),3.45,3.17,4.0,2024,64
2.0,10:51,2.0,8.0,DET 30,0.0,14.0,"Geno Smith pass complete deep right to D.K. Metcalf for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Geno Smith pass complete deep right to D.K. Metcalf for 29 yards (tackle by Brandon Joseph)",3.17,6.97,4.0,2024,64
2.0,10:21,1.0,1.0,DET 1,0.0,14.0,Kenneth Walker up the middle for no gain (tackle by Alim McNeill and Levi Onwuzurike) (no play),6.97,6.97,4.0,2024,64
2.0,10:12,1.0,1.0,DET 1,6.0,14.0,"Kenneth Walker up the middle for 1 yard, touchdown",6.97,7.0,4.0,2024,64
2.0,10:08,,,DET 15,7.0,14.0,Jason Myers kicks extra point good,0.0,0.0,4.0,2024,64
2.0,10:08,,,SEA 35,7.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
2.0,10:08,1.0,10.0,DET 30,7.0,14.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 8 yards (tackle by Tyrel Dodson),0.94,1.47,4.0,2024,64
2.0,9:44,2.0,2.0,DET 38,7.0,14.0,"Jared Goff pass complete short right to Sam LaPorta for 9 yards (tackle by Tyrice Knight). Penalty on Trevis Gipson: Face Mask (15 Yards), 15 yards (accepted)",1.47,3.05,4.0,2024,64
2.0,9:14,1.0,10.0,SEA 38,7.0,14.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Jarran Reed and Tyrice Knight),3.05,2.78,4.0,2024,64
2.0,8:41,2.0,8.0,SEA 36,7.0,14.0,Jahmyr Gibbs left end for 10 yards (tackle by Julian Love),2.78,3.84,4.0,2024,64
2.0,8:03,1.0,10.0,SEA 26,7.0,14.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Devon Witherspoon),3.84,3.7,4.0,2024,64
2.0,7:23,2.0,7.0,SEA 23,7.0,14.0,Jahmyr Gibbs up the middle for 4 yards (tackle by Tyrice Knight),3.7,3.57,4.0,2024,64
2.0,6:47,3.0,3.0,SEA 19,7.0,14.0,Jared Goff pass complete short right to Sam LaPorta for 13 yards (tackle by Tyrice Knight),3.57,5.83,4.0,2024,64
2.0,6:09,1.0,6.0,SEA 6,7.0,14.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 5 yards (tackle by Tyrel Dodson and Myles Adams),5.83,5.91,4.0,2024,64
2.0,5:33,2.0,1.0,SEA 1,7.0,14.0,Penalty on SEA: Defensive Too Many Men on Field (accepted) (no play),5.91,5.91,4.0,2024,64
2.0,5:16,2.0,1.0,SEA 1,7.0,20.0,"Jahmyr Gibbs right tackle for 1 yard, touchdown",5.91,7.0,4.0,2024,64
2.0,5:11,,,SEA 15,7.0,21.0,Jake Bates kicks extra point good,0.0,0.0,4.0,2024,64
2.0,5:11,,,DET 35,7.0,21.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
2.0,5:11,1.0,10.0,SEA 30,7.0,21.0,Geno Smith pass complete short left to Zach Charbonnet for 4 yards (tackle by Alex Anzalone),0.94,0.93,4.0,2024,64
2.0,4:24,2.0,6.0,SEA 34,7.0,21.0,Geno Smith pass complete short right to Tyler Lockett for 8 yards (tackle by Jack Campbell),0.93,1.73,4.0,2024,64
2.0,4:00,1.0,10.0,SEA 42,7.0,21.0,Geno Smith sacked by Malcolm Rodriguez for -6 yards,1.73,0.38,4.0,2024,64
2.0,3:16,,,,,,Timeout #1 by Seattle Seahawks,,,4.0,2024,64
2.0,3:16,2.0,16.0,SEA 36,7.0,21.0,Geno Smith pass incomplete short right,0.38,-0.29,4.0,2024,64
2.0,3:12,3.0,16.0,SEA 36,7.0,21.0,"Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards, lateral to Zach Charbonnet for 16 yards (tackle by Brandon Joseph)",-0.29,2.59,4.0,2024,64
2.0,2:34,1.0,10.0,DET 45,7.0,21.0,Geno Smith pass complete short right to Zach Charbonnet for 2 yards (tackle by Terrion Arnold),2.59,2.31,4.0,2024,64
2.0,2:00,2.0,8.0,DET 43,7.0,21.0,"Geno Smith pass incomplete intended for Noah Fant. Penalty on Pharaoh Brown: Offensive Holding, 10 yards (accepted) (no play)",2.31,0.96,4.0,2024,64
2.0,1:55,2.0,18.0,SEA 47,7.0,21.0,Geno Smith pass complete short middle to Zach Charbonnet for 8 yards (tackle by Jalen Reeves-Maybin),0.96,1.36,4.0,2024,64
2.0,1:14,3.0,10.0,DET 45,7.0,21.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf,1.36,0.27,4.0,2024,64
2.0,1:09,4.0,10.0,DET 45,7.0,21.0,"Michael Dickson punts 36 yards, returned by Kalif Raymond for 6 yards (tackle by Kenny McIntosh)",0.27,0.22,4.0,2024,64
2.0,1:01,1.0,10.0,DET 15,7.0,21.0,"Jared Goff pass complete to Jahmyr Gibbs for no gain. Penalty on Taylor Decker: Offensive Holding, 10 yards (declined) . Penalty on Penei Sewell: Offensive Holding, 7 yards (accepted) (no play)",-0.22,-0.65,4.0,2024,64
2.0,0:55,1.0,17.0,DET 8,7.0,21.0,Jared Goff pass complete short right to Kalif Raymond for 9 yards (tackle by Myles Adams and Tyrel Dodson),-0.65,-0.44,4.0,2024,64
2.0,0:36,2.0,8.0,DET 17,7.0,21.0,Jared Goff sacked by Derick Hall for -8 yards,-0.44,-2.12,4.0,2024,64
2.0,0:27,,,,,,Timeout #2 by Seattle Seahawks,,,4.0,2024,64
2.0,0:27,3.0,16.0,DET 9,7.0,21.0,Jahmyr Gibbs up the middle for 5 yards (tackle by Dre'Mont Jones and Tyrel Dodson),-2.12,-2.47,4.0,2024,64
2.0,0:22,,,,,,Timeout #3 by Seattle Seahawks,,,4.0,2024,64
2.0,0:22,4.0,11.0,DET 14,7.0,21.0,"Jack Fox punts 48 yards, returned by Dee Williams for 1 yard (tackle by Ben Niemann)",-2.47,-1.53,4.0,2024,64
2.0,0:14,1.0,10.0,SEA 39,7.0,21.0,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Amik Robertson),1.53,0.99,4.0,2024,64
2.0,0:11,,,,,,Timeout #1 by Detroit Lions,,,4.0,2024,64
2.0,0:11,2.0,10.0,SEA 39,7.0,21.0,Geno Smith right end for 12 yards (tackle by Jalen Reeves-Maybin),0.99,2.32,4.0,2024,64
2.0,0:05,1.0,10.0,DET 49,7.0,21.0,Geno Smith pass complete short right to D.K. Metcalf for 5 yards,2.32,2.46,4.0,2024,64
2.0,0:02,2.0,5.0,DET 44,7.0,21.0,"Jason Myers 62 yard field goal no good, returned by Khalil Dorsey for no gain (tackle by McClendon Curtis). Penalty on McClendon Curtis: Face Mask (15 Yards) (declined)",2.46,2.32,4.0,2024,64
3.0,15:00,,,DET 35,7.0,21.0,"Jake Bates kicks off 68 yards, returned by Dee Williams for 28 yards (tackle by Malcolm Rodriguez)",0.0,0.61,4.0,2024,64
3.0,14:56,1.0,10.0,SEA 25,7.0,21.0,Kenneth Walker right end for 6 yards (tackle by Jack Campbell),0.61,0.87,4.0,2024,64
3.0,14:13,2.0,4.0,SEA 31,7.0,21.0,Kenneth Walker left tackle for -1 yards (tackle by Kerby Joseph),0.87,0.04,4.0,2024,64
3.0,13:29,3.0,5.0,SEA 30,7.0,21.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 4 yards (tackle by Amik Robertson),0.04,-1.11,4.0,2024,64
3.0,12:48,4.0,1.0,SEA 34,7.0,21.0,Geno Smith up the middle for 2 yards (tackle by Malcolm Rodriguez and Kerby Joseph),-1.11,1.33,4.0,2024,64
3.0,12:09,1.0,10.0,SEA 36,7.0,21.0,Kenneth Walker left tackle for 2 yards (tackle by Alim McNeill),1.33,1.06,4.0,2024,64
3.0,11:43,2.0,8.0,SEA 38,7.0,21.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Carlton Davis),1.06,0.37,4.0,2024,64
3.0,11:39,3.0,8.0,SEA 38,7.0,21.0,Geno Smith pass complete short right to D.K. Metcalf for 10 yards (tackle by Alex Anzalone),0.37,2.13,4.0,2024,64
3.0,10:59,1.0,10.0,SEA 48,7.0,21.0,Geno Smith pass complete short left to Kenneth Walker for 6 yards (tackle by Jack Campbell),2.13,2.39,4.0,2024,64
3.0,10:33,2.0,4.0,DET 46,7.0,21.0,Geno Smith pass complete short middle to Noah Fant for 16 yards (tackle by Brandon Joseph),2.39,3.58,4.0,2024,64
3.0,9:57,1.0,10.0,DET 30,7.0,21.0,"Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on Carlton Davis: Defensive Pass Interference, 21 yards (accepted) (no play)",3.58,5.14,4.0,2024,64
3.0,9:53,1.0,9.0,DET 9,13.0,21.0,"Geno Smith pass complete short right to AJ Barner for 9 yards, touchdown",5.14,7.0,4.0,2024,64
3.0,9:46,,,DET 15,14.0,21.0,Jason Myers kicks extra point good,0.0,0.0,4.0,2024,64
3.0,9:46,,,SEA 35,14.0,21.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
3.0,9:46,1.0,10.0,DET 30,14.0,21.0,Jared Goff pass complete short right to David Montgomery for 40 yards (tackle by Rayshawn Jenkins),0.94,3.58,4.0,2024,64
3.0,8:57,1.0,10.0,SEA 30,14.0,21.0,David Montgomery up the middle for no gain (tackle by Derick Hall and Rayshawn Jenkins),3.58,3.03,4.0,2024,64
3.0,8:25,2.0,10.0,SEA 30,14.0,21.0,Jared Goff pass complete short middle to Tim Patrick for 23 yards (tackle by Riq Woolen),3.03,5.6,4.0,2024,64
3.0,7:44,1.0,7.0,SEA 7,14.0,21.0,David Montgomery right end for no gain (tackle by Tyrice Knight),5.6,4.76,4.0,2024,64
3.0,7:03,2.0,7.0,SEA 7,14.0,27.0,"Amon-Ra St. Brown pass complete short left to Jared Goff for 7 yards, touchdown",4.76,7.0,4.0,2024,64
3.0,6:57,,,SEA 15,14.0,28.0,Jake Bates kicks extra point good,0.0,0.0,4.0,2024,64
3.0,6:57,,,DET 35,14.0,28.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.28,4.0,2024,64
3.0,6:57,1.0,10.0,SEA 20,14.0,28.0,Kenneth Walker right end for 28 yards (tackle by Brandon Joseph),0.28,2.13,4.0,2024,64
3.0,6:33,1.0,10.0,SEA 48,14.0,28.0,Geno Smith scrambles up the middle for 2 yards (tackle by Terrion Arnold),2.13,1.85,4.0,2024,64
3.0,5:50,2.0,8.0,DET 50,14.0,28.0,Geno Smith pass incomplete short right,1.85,1.16,4.0,2024,64
3.0,5:46,3.0,8.0,DET 50,14.0,28.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 11 yards (tackle by Carlton Davis),1.16,2.98,4.0,2024,64
3.0,5:08,1.0,10.0,DET 39,14.0,28.0,Kenneth Walker up the middle for -6 yards (tackle by Carlton Davis),2.98,1.63,4.0,2024,64
3.0,4:23,2.0,16.0,DET 45,14.0,28.0,Geno Smith pass complete short middle to Tyler Lockett for 29 yards (tackle by Kerby Joseph),1.63,4.51,4.0,2024,64
3.0,3:54,1.0,10.0,DET 16,14.0,28.0,"Geno Smith pass incomplete deep middle. Penalty on Terrion Arnold: Defensive Holding, 5 yards (accepted) (no play)",4.51,4.84,4.0,2024,64
3.0,3:48,1.0,10.0,DET 11,14.0,28.0,Geno Smith pass complete short right to Jake Bobo for 10 yards (tackle by Terrion Arnold),4.84,6.97,4.0,2024,64
3.0,3:09,1.0,1.0,DET 1,20.0,28.0,"Kenneth Walker left tackle for 1 yard, touchdown",6.97,7.0,4.0,2024,64
3.0,3:03,,,DET 2,20.0,28.0,"Two Point Attempt: Geno Smith pass incomplete. Penalty on Carlton Davis: Defensive Pass Interference, 1 yard (accepted) (no play)",1.0,1.0,4.0,2024,64
3.0,3:03,,,DET 1,20.0,28.0,Two Point Attempt: Geno Smith pass incomplete intended for intended for Jake Bobo,1.0,-1.0,4.0,2024,64
3.0,3:03,,,SEA 35,20.0,28.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
3.0,3:03,1.0,10.0,DET 30,20.0,34.0,"Jared Goff pass complete short right to Jameson Williams for 70 yards, touchdown",0.94,7.0,4.0,2024,64
3.0,2:52,,,SEA 15,20.0,34.0,"Penalty on Jameson Williams: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",0.0,0.0,4.0,2024,64
3.0,2:52,,,SEA 30,20.0,35.0,Jake Bates kicks extra point good,0.0,0.0,4.0,2024,64
3.0,2:52,,,DET 35,20.0,35.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
3.0,2:52,1.0,10.0,SEA 30,20.0,35.0,Geno Smith pass complete short left to Kenneth Walker for 7 yards (tackle by Levi Onwuzurike),0.94,1.34,4.0,2024,64
3.0,2:20,2.0,3.0,SEA 37,20.0,35.0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Malcolm Rodriguez),1.34,1.73,4.0,2024,64
3.0,1:37,1.0,10.0,SEA 42,20.0,35.0,Kenneth Walker left end for 23 yards (tackle by Kerby Joseph and Carlton Davis),1.73,3.25,4.0,2024,64
3.0,1:04,1.0,10.0,DET 35,20.0,35.0,Geno Smith sacked by D.J. Reader for -4 yards,3.25,2.16,4.0,2024,64
3.0,0:20,2.0,14.0,DET 39,20.0,35.0,Geno Smith pass complete short left to Laviska Shenault for 18 yards (tackle by Brandon Joseph),2.16,4.17,4.0,2024,64
4.0,15:00,1.0,10.0,DET 21,20.0,35.0,Geno Smith pass incomplete short middle intended for Kenneth Walker,4.17,3.63,4.0,2024,64
4.0,14:57,2.0,10.0,DET 21,26.0,35.0,"Kenneth Walker left end for 21 yards, touchdown",3.63,7.0,4.0,2024,64
4.0,14:48,,,DET 15,27.0,35.0,Jason Myers kicks extra point good,0.0,0.0,4.0,2024,64
4.0,14:48,,,SEA 35,27.0,35.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,64
4.0,14:48,1.0,10.0,DET 30,27.0,35.0,Jahmyr Gibbs left tackle for 7 yards (tackle by Tyrice Knight),0.94,1.34,4.0,2024,64
4.0,14:10,2.0,3.0,DET 37,27.0,35.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Jarran Reed),1.34,0.89,4.0,2024,64
4.0,13:32,3.0,1.0,DET 39,27.0,35.0,David Montgomery right end for -2 yards (tackle by Tyrel Dodson),0.89,-0.91,4.0,2024,64
4.0,12:55,4.0,3.0,DET 37,27.0,35.0,"Jack Fox punts 42 yards, fair catch by Dee Williams at SEA-21",-0.91,-0.34,4.0,2024,64
4.0,12:49,1.0,10.0,SEA 21,27.0,35.0,Geno Smith pass complete short right to Zach Charbonnet for 3 yards (tackle by Carlton Davis),0.34,0.21,4.0,2024,64
4.0,12:14,2.0,7.0,SEA 24,27.0,35.0,Geno Smith pass complete short right to AJ Barner for 18 yards (tackle by Terrion Arnold and Brandon Joseph),0.21,1.73,4.0,2024,64
