Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Patriots,-17.0,-24.17,-14.87,-8.97,-15.3,-11.48,-11.36,-0.6,3.91,16.28,1.9,6.58,3.26,0.74,3.8,4.0,2024,59
49ers,17.0,11.48,11.36,0.6,-3.91,24.17,14.87,8.97,15.3,-16.28,-6.58,-1.9,-0.74,-3.26,-3.8,4.0,2024,59
