Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,4.0,2024,56
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,56
1.0,15:00,1.0,10.0,JAX 30,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 6 yards (tackle by Calen Bullock and Derek Stingley),0.94,1.2,4.0,2024,56
1.0,14:19,2.0,4.0,JAX 36,0.0,0.0,Trevor Lawrence pass complete short left to Christian Kirk for 4 yards (tackle by Jalen Pitre),1.2,1.6,4.0,2024,56
1.0,13:47,1.0,10.0,JAX 40,0.0,0.0,Tank Bigsby left tackle for 5 yards (tackle by Tim Settle),1.6,1.73,4.0,2024,56
1.0,13:07,2.0,5.0,JAX 45,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.73,1.03,4.0,2024,56
1.0,13:01,3.0,5.0,JAX 45,0.0,0.0,Trevor Lawrence pass incomplete deep right intended for Christian Kirk,1.03,-0.39,4.0,2024,56
1.0,12:56,4.0,5.0,JAX 45,0.0,0.0,"Logan Cooke punts 53 yards, recovered by Daniel Thomas at HOU-2",-0.39,6.74,4.0,2024,56
1.0,12:48,1.0,2.0,HOU 2,6.0,0.0,"Trevor Lawrence pass complete short right to Brian Thomas for 2 yards, touchdown",6.74,7.0,4.0,2024,56
1.0,12:44,,,HOU 15,7.0,0.0,Cam Little kicks extra point good,0.0,0.0,4.0,2024,56
1.0,12:44,,,JAX 35,7.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,56
1.0,12:44,1.0,10.0,HOU 30,7.0,0.0,Cam Akers left tackle for 1 yard (tackle by Ronald Darby),0.94,0.53,4.0,2024,56
1.0,12:10,2.0,9.0,HOU 31,7.0,0.0,Cam Akers right guard for 5 yards (tackle by Montaric Brown),0.53,0.5,4.0,2024,56
1.0,11:32,3.0,4.0,HOU 36,7.0,0.0,C.J. Stroud pass complete short middle to Nico Collins for 18 yards (tackle by Daniel Thomas and Montaric Brown),0.5,2.52,4.0,2024,56
1.0,10:57,1.0,10.0,JAX 46,7.0,0.0,C.J. Stroud pass complete short right to Nico Collins for 12 yards (tackle by Antonio Johnson),2.52,3.31,4.0,2024,56
