Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Colts to receive the opening kickoff.",,,4.0,2024,53
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,53
1.0,15:00,1.0,10.0,IND 30,0.0,0.0,Anthony Richardson pass complete deep left to Michael Pittman for 32 yards (tackle by Minkah Fitzpatrick),0.94,3.05,4.0,2024,53
1.0,14:33,1.0,10.0,PIT 38,0.0,0.0,Jonathan Taylor left tackle for 14 yards (tackle by Payton Wilson and DeShon Elliott),3.05,3.97,4.0,2024,53
1.0,14:08,1.0,10.0,PIT 24,0.0,0.0,Jonathan Taylor up the middle for 4 yards (tackle by Cameron Heyward and T.J. Watt),3.97,3.97,4.0,2024,53
1.0,13:35,2.0,6.0,PIT 20,0.0,0.0,Anthony Richardson pass incomplete short left intended for Michael Pittman,3.97,3.27,4.0,2024,53
1.0,13:31,3.0,6.0,PIT 20,0.0,0.0,Anthony Richardson up the middle for 9 yards (tackle by Cameron Heyward),3.27,4.84,4.0,2024,53
1.0,12:55,1.0,10.0,PIT 11,0.0,0.0,Jonathan Taylor up the middle for 6 yards (tackle by DeShon Elliott and Minkah Fitzpatrick),4.84,5.28,4.0,2024,53
1.0,12:29,2.0,4.0,PIT 5,0.0,0.0,Jonathan Taylor right guard for 3 yards (tackle by Nick Herbig),5.28,5.12,4.0,2024,53
1.0,12:09,3.0,1.0,PIT 2,0.0,6.0,"Jonathan Taylor up the middle for 2 yards, touchdown",5.12,7.0,4.0,2024,53
1.0,12:01,,,PIT 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,4.0,2024,53
1.0,12:01,,,IND 35,0.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,53
1.0,12:01,1.0,10.0,PIT 30,0.0,7.0,Najee Harris right tackle for -2 yards (tackle by Grover Stewart and Tyquan Lewis),0.94,0.12,4.0,2024,53
1.0,11:35,2.0,12.0,PIT 28,0.0,7.0,Justin Fields scrambles left end for 3 yards (tackle by E.J. Speed),0.12,-0.16,4.0,2024,53
1.0,10:49,3.0,9.0,PIT 31,0.0,7.0,"Justin Fields sacked by Isaiah Land for no gain. Penalty on Isaiah Land: Roughing the Passer, 15 yards (accepted) (no play)",-0.16,1.99,4.0,2024,53
