Unnamed: 0,JAX,HOU,week,year,game_id
First Downs,17,26,4.0,2024,56
Rush-Yds-TDs,24-158-0,26-101-1,4.0,2024,56
Cmp-Att-Yd-TD-INT,18-33-169-2-0,27-40-345-2-0,4.0,2024,56
Sacked-Yards,1-14,2-11,4.0,2024,56
Net Pass Yards,155,334,4.0,2024,56
Total Yards,313,435,4.0,2024,56
Fumbles-Lost,1-0,1-1,4.0,2024,56
Turnovers,0,1,4.0,2024,56
Penalties-Yards,6-44,12-93,4.0,2024,56
Third Down Conv.,4-12,7-13,4.0,2024,56
Fourth Down Conv.,0-1,0-0,4.0,2024,56
Time of Possession,26:43,33:17,4.0,2024,56
