Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Patriots to receive the opening kickoff.",,,4.0,2024,59
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,59
1.0,15:00,1.0,10.0,NWE 30,0.0,0.0,Rhamondre Stevenson right guard for 1 yard (tackle by De'Vondre Campbell and Fred Warner),0.94,0.53,4.0,2024,59
1.0,14:23,2.0,9.0,NWE 31,0.0,0.0,Rhamondre Stevenson right guard for 3 yards (tackle by Malik Mustapha and Fred Warner),0.53,0.23,4.0,2024,59
1.0,13:42,3.0,6.0,NWE 34,0.0,0.0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Charvarius Ward),0.23,1.66,4.0,2024,59
1.0,13:06,1.0,10.0,NWE 41,0.0,0.0,Jacoby Brissett pass incomplete short right intended for K.J. Osborn (defended by Charvarius Ward),1.66,1.12,4.0,2024,59
1.0,13:03,2.0,10.0,NWE 41,0.0,0.0,Antonio Gibson up the middle for 3 yards (tackle by Fred Warner),1.12,0.83,4.0,2024,59
1.0,12:25,3.0,7.0,NWE 44,0.0,0.0,Jacoby Brissett pass complete short right to Demario Douglas for 8 yards,0.83,2.39,4.0,2024,59
1.0,11:50,1.0,10.0,SFO 48,0.0,0.0,Antonio Gibson left guard for -1 yards (tackle by Ji'Ayir Brown and Deommodore Lenoir),2.39,1.71,4.0,2024,59
1.0,11:07,2.0,11.0,SFO 49,0.0,0.0,Rhamondre Stevenson right tackle for 8 yards (tackle by Charvarius Ward),1.71,2.08,4.0,2024,59
1.0,10:24,3.0,3.0,SFO 41,0.0,0.0,Jacoby Brissett pass incomplete short left intended for K.J. Osborn (defended by Isaac Yiadom),2.08,0.53,4.0,2024,59
1.0,10:20,4.0,3.0,SFO 41,0.0,0.0,"Penalty on Jacoby Brissett: Delay of Game, 5 yards (accepted) (no play)",0.53,0.2,4.0,2024,59
1.0,10:20,4.0,8.0,SFO 46,0.0,0.0,Bryce Baringer punts 39 yards downed by Brenden Schooler,0.2,0.38,4.0,2024,59
1.0,10:11,1.0,10.0,SFO 7,0.0,0.0,Deebo Samuel left tackle for 6 yards (tackle by Kyle Dugger and Jahlani Tavai),-0.38,-0.34,4.0,2024,59
1.0,9:28,2.0,4.0,SFO 13,0.0,0.0,Jordan Mason right tackle for 1 yard (tackle by Josh Uche),-0.34,-0.6,4.0,2024,59
1.0,8:54,3.0,3.0,SFO 14,0.0,0.0,Brock Purdy scrambles left end for 7 yards (tackle by Josh Uche),-0.6,0.34,4.0,2024,59
1.0,8:21,1.0,10.0,SFO 21,0.0,0.0,Deebo Samuel right end for 8 yards (tackle by Jabrill Peppers),0.34,0.88,4.0,2024,59
1.0,7:40,2.0,2.0,SFO 29,0.0,0.0,Brock Purdy pass complete deep right to Brandon Aiyuk for 38 yards (tackle by Christian Gonzalez),0.88,3.38,4.0,2024,59
1.0,6:56,1.0,10.0,NWE 33,0.0,0.0,Jordan Mason right end for 6 yards (tackle by Eric Johnson),3.38,3.65,4.0,2024,59
1.0,6:12,2.0,4.0,NWE 27,0.0,0.0,Brock Purdy pass incomplete short middle intended for Chris Conley (defended by Jabrill Peppers),3.65,2.94,4.0,2024,59
1.0,6:08,,,,,,Timeout #1 by San Francisco 49ers,,,4.0,2024,59
1.0,6:08,3.0,4.0,NWE 27,0.0,0.0,Brock Purdy scrambles left end for 5 yards (tackle by Raekwon McMillan),2.94,4.11,4.0,2024,59
1.0,5:31,1.0,10.0,NWE 22,0.0,0.0,Jordan Mason right end for 1 yard (tackle by Raekwon McMillan),4.11,3.7,4.0,2024,59
1.0,4:47,2.0,9.0,NWE 21,0.0,0.0,Brock Purdy pass incomplete short left intended for Jauan Jennings,3.7,3.01,4.0,2024,59
1.0,4:43,3.0,9.0,NWE 21,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 15 yards (tackle by Jaylinn Hawkins),3.01,5.83,4.0,2024,59
1.0,3:53,1.0,6.0,NWE 6,0.0,0.0,Jordan Mason left guard for 1 yard (tackle by Jeremiah Pharms),5.83,5.15,4.0,2024,59
1.0,3:13,2.0,5.0,NWE 5,0.0,0.0,Brock Purdy pass complete short left to Deebo Samuel for 2 yards (tackle by Christian Gonzalez),5.15,4.72,4.0,2024,59
1.0,2:33,3.0,3.0,NWE 3,0.0,0.0,Brock Purdy pass incomplete short right intended for Jauan Jennings,4.72,3.04,4.0,2024,59
1.0,2:29,4.0,3.0,NWE 3,0.0,3.0,Jake Moody 22 yard field goal good,3.04,3.0,4.0,2024,59
1.0,2:26,,,SFO 35,0.0,3.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,59
1.0,2:26,1.0,10.0,NWE 30,0.0,3.0,"Rhamondre Stevenson up the middle for no gain. Rhamondre Stevenson fumbles (forced by Sam Okuayinonu), recovered by Maliek Collins at NE-30",0.94,-3.58,4.0,2024,59
1.0,2:15,1.0,10.0,NWE 30,0.0,3.0,Jordan Mason right tackle for 16 yards (tackle by Christian Gonzalez),3.58,4.65,4.0,2024,59
1.0,1:37,1.0,10.0,NWE 14,0.0,3.0,Jordan Mason left guard for 5 yards (tackle by Daniel Ekuale),4.65,4.9,4.0,2024,59
1.0,0:57,2.0,5.0,NWE 9,0.0,3.0,Jordan Mason left guard for 1 yard (tackle by Kyle Dugger and Deatrich Wise),4.9,4.28,4.0,2024,59
1.0,0:19,3.0,4.0,NWE 8,0.0,3.0,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by Marco Wilson),4.28,2.98,4.0,2024,59
1.0,0:08,4.0,4.0,NWE 8,0.0,6.0,Jake Moody 26 yard field goal good,2.98,3.0,4.0,2024,59
1.0,0:06,,,SFO 35,0.0,6.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,59
1.0,0:06,1.0,10.0,NWE 30,0.0,6.0,Jacoby Brissett pass complete short right to Ja'Lynn Polk for no gain (tackle by Deommodore Lenoir),0.94,0.39,4.0,2024,59
2.0,15:00,2.0,10.0,NWE 30,0.0,6.0,Antonio Gibson right end for 5 yards (tackle by Fred Warner),0.39,0.37,4.0,2024,59
2.0,14:15,3.0,5.0,NWE 35,0.0,12.0,"Jacoby Brissett pass short middle intended for Tyquan Thornton is intercepted by Fred Warner at NE-45 and returned for 45 yards, touchdown",0.37,-7.0,4.0,2024,59
2.0,14:01,,,NWE 15,0.0,13.0,Jake Moody kicks extra point good,0.0,0.0,4.0,2024,59
2.0,14:01,,,SFO 35,0.0,13.0,"Jake Moody kicks off 65 yards, returned by Jamycal Hasty for 30 yards (tackle by Jaylen Mahoney)",0.0,0.94,4.0,2024,59
2.0,13:56,1.0,10.0,NWE 30,0.0,13.0,Rhamondre Stevenson right guard for 4 yards (tackle by Leonard Floyd and De'Vondre Campbell),0.94,0.93,4.0,2024,59
2.0,13:19,2.0,6.0,NWE 34,0.0,13.0,Jacoby Brissett pass complete short right to Austin Hooper for 8 yards (tackle by De'Vondre Campbell),0.93,1.73,4.0,2024,59
2.0,12:43,1.0,10.0,NWE 42,0.0,13.0,Jacoby Brissett sacked by Kevin Givens for -4 yards,1.73,0.65,4.0,2024,59
2.0,12:16,2.0,14.0,NWE 38,0.0,13.0,Jacoby Brissett pass complete short right to Kayshon Boutte for 11 yards (tackle by Fred Warner),0.65,1.42,4.0,2024,59
2.0,11:39,3.0,3.0,NWE 49,0.0,13.0,Jacoby Brissett pass complete short middle to Hunter Henry for 8 yards (tackle by Ji'Ayir Brown),1.42,2.72,4.0,2024,59
2.0,11:00,1.0,10.0,SFO 43,0.0,13.0,Jamycal Hasty left guard for 9 yards (tackle by Malik Mustapha),2.72,3.39,4.0,2024,59
2.0,10:23,2.0,1.0,SFO 34,0.0,13.0,Jamycal Hasty up the middle for no gain (tackle by Leonard Floyd),3.39,2.68,4.0,2024,59
2.0,10:01,3.0,1.0,SFO 34,0.0,13.0,"Jacoby Brissett up the middle for no gain (tackle by Jordan Elliott). Penalty on Fred Warner: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",2.68,3.64,4.0,2024,59
2.0,9:47,1.0,10.0,SFO 29,0.0,13.0,Jacoby Brissett pass incomplete short left intended for Ja'Lynn Polk (defended by Deommodore Lenoir),3.64,3.1,4.0,2024,59
2.0,9:42,2.0,10.0,SFO 29,0.0,13.0,Jacoby Brissett sacked by Kevin Givens for no gain,3.1,2.41,4.0,2024,59
2.0,8:56,3.0,10.0,SFO 29,0.0,13.0,Jacoby Brissett pass complete short right to Ja'Lynn Polk for 9 yards (tackle by Charvarius Ward),2.41,2.27,4.0,2024,59
2.0,8:11,,,,,,Timeout #1 by New England Patriots,,,4.0,2024,59
2.0,8:11,4.0,1.0,SFO 20,0.0,13.0,Rhamondre Stevenson up the middle for no gain (tackle by Ji'Ayir Brown and Fred Warner),2.27,-0.28,4.0,2024,59
2.0,8:07,1.0,10.0,SFO 20,0.0,13.0,Brock Purdy pass complete short middle to George Kittle for 11 yards (tackle by Raekwon McMillan and Jabrill Peppers),0.28,1.0,4.0,2024,59
2.0,7:29,1.0,10.0,SFO 31,0.0,13.0,Brock Purdy sacked by Deatrich Wise for -5 yards,1.0,-0.22,4.0,2024,59
2.0,6:39,2.0,15.0,SFO 26,0.0,13.0,Brock Purdy pass complete deep left to Jauan Jennings for 32 yards (tackle by Christian Gonzalez),-0.22,2.79,4.0,2024,59
2.0,5:57,1.0,10.0,NWE 42,0.0,13.0,Jordan Mason left guard for 4 yards (tackle by Raekwon McMillan),2.79,2.78,4.0,2024,59
