Unnamed: 0,LAR,CHI,week,year,game_id
First Downs,21,17,4.0,2024,52
Rush-Yds-TDs,26-119-1,28-131-2,4.0,2024,52
Cmp-Att-Yd-TD-INT,20-29-224-0-1,17-23-157-1-0,4.0,2024,52
Sacked-Yards,3-21,3-24,4.0,2024,52
Net Pass Yards,203,133,4.0,2024,52
Total Yards,322,264,4.0,2024,52
Fumbles-Lost,1-1,1-0,4.0,2024,52
Turnovers,2,0,4.0,2024,52
Penalties-Yards,6-44,10-84,4.0,2024,52
Third Down Conv.,5-11,3-9,4.0,2024,52
Fourth Down Conv.,0-0,0-0,4.0,2024,52
Time of Possession,31:02,28:58,4.0,2024,52
