Unnamed: 0,KAN,LAC,week,year,game_id
First Downs,16,12,4.0,2024,61
Rush-Yds-TDs,26-101-1,24-55-0,4.0,2024,61
Cmp-Att-Yd-TD-INT,19-29-245-1-1,16-27-179-1-0,4.0,2024,61
Sacked-Yards,3-17,2-10,4.0,2024,61
Net Pass Yards,228,169,4.0,2024,61
Total Yards,329,224,4.0,2024,61
Fumbles-Lost,1-1,2-0,4.0,2024,61
Turnovers,2,0,4.0,2024,61
Penalties-Yards,5-40,9-51,4.0,2024,61
Third Down Conv.,9-16,4-13,4.0,2024,61
Fourth Down Conv.,0-0,0-1,4.0,2024,61
Time of Possession,29:08,30:52,4.0,2024,61
