Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,4.0,2024,57
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 58 yards, returned by Trey Palmer for 14 yards (tackle by Avonte Maddox)",0.0,0.34,4.0,2024,57
1.0,14:58,1.0,10.0,TAM 21,0.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 8 yards (tackle by Reed Blankenship),0.34,0.88,4.0,2024,57
1.0,14:22,2.0,2.0,TAM 29,0.0,0.0,Rachaad White left tackle for 17 yards (tackle by Milton Williams and Reed Blankenship),0.88,1.99,4.0,2024,57
1.0,13:39,1.0,10.0,TAM 46,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for 3 yards (tackle by Reed Blankenship),1.99,1.86,4.0,2024,57
1.0,12:55,2.0,7.0,TAM 49,0.0,0.0,Baker Mayfield pass complete short left to Bucky Irving for 6 yards (tackle by Reed Blankenship),1.86,1.95,4.0,2024,57
1.0,12:18,3.0,1.0,PHI 45,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Avonte Maddox),1.95,3.05,4.0,2024,57
1.0,11:40,1.0,10.0,PHI 38,0.0,0.0,Baker Mayfield pass incomplete short left intended for Rachaad White,3.05,2.51,4.0,2024,57
1.0,11:38,2.0,10.0,PHI 38,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for 8 yards (tackle by Quinyon Mitchell),2.51,2.87,4.0,2024,57
1.0,11:04,3.0,2.0,PHI 30,0.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 22 yards (tackle by Quinyon Mitchell),2.87,5.37,4.0,2024,57
1.0,10:30,1.0,8.0,PHI 8,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 6 yards (tackle by Nolan Smith),5.37,5.72,4.0,2024,57
1.0,9:48,2.0,2.0,PHI 2,0.0,6.0,"Baker Mayfield pass complete short left to Mike Evans for 2 yards, touchdown",5.72,7.0,4.0,2024,57
1.0,9:44,,,PHI 15,0.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,4.0,2024,57
1.0,9:44,,,TAM 35,0.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,57
1.0,9:44,1.0,10.0,PHI 30,0.0,7.0,Jalen Hurts pass incomplete deep right intended for Saquon Barkley,0.94,0.39,4.0,2024,57
1.0,9:36,2.0,10.0,PHI 30,0.0,7.0,Saquon Barkley left guard for no gain (tackle by Lavonte David),0.39,-0.3,4.0,2024,57
1.0,8:54,3.0,10.0,PHI 30,0.0,7.0,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Lavonte David and Zyon McCollum),-0.3,-0.91,4.0,2024,57
1.0,8:11,4.0,3.0,PHI 37,0.0,7.0,"Penalty on Tristin McCollum: False Start, 5 yards (accepted) (no play)",-0.91,-1.24,4.0,2024,57
1.0,8:00,4.0,8.0,PHI 32,0.0,7.0,"Braden Mann punts 48 yards, fair catch by Trey Palmer at TB-20",-1.24,-0.28,4.0,2024,57
1.0,7:49,1.0,10.0,TAM 20,0.0,7.0,Baker Mayfield pass complete short middle to Cade Otton for 16 yards (tackle by Nakobe Dean),0.28,1.33,4.0,2024,57
1.0,7:10,1.0,10.0,TAM 36,0.0,7.0,Baker Mayfield pass complete short right to Chris Godwin for 28 yards (tackle by C.J. Gardner-Johnson),1.33,3.18,4.0,2024,57
1.0,6:26,1.0,10.0,PHI 36,0.0,7.0,Baker Mayfield pass complete short right to Mike Evans for 17 yards (tackle by Darius Slay),3.18,4.31,4.0,2024,57
1.0,5:51,1.0,10.0,PHI 19,0.0,7.0,Bucky Irving right guard for 4 yards (tackle by Bryce Huff),4.31,4.35,4.0,2024,57
1.0,5:08,2.0,6.0,PHI 15,0.0,13.0,"Baker Mayfield pass complete short middle to Trey Palmer for 15 yards, touchdown",4.35,7.0,4.0,2024,57
1.0,5:03,,,PHI 15,0.0,14.0,Chase McLaughlin kicks extra point good,0.0,0.0,4.0,2024,57
1.0,5:03,,,TAM 35,0.0,14.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,57
1.0,5:03,1.0,10.0,PHI 30,0.0,14.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert,0.94,0.39,4.0,2024,57
1.0,4:59,2.0,10.0,PHI 30,0.0,14.0,Saquon Barkley left guard for 3 yards (tackle by Joe Tryon-Shoyinka and Christian Izien),0.39,0.1,4.0,2024,57
1.0,4:19,3.0,7.0,PHI 33,0.0,14.0,Jalen Hurts sacked by Vita Vea for -10 yards,0.1,-1.83,4.0,2024,57
1.0,3:40,4.0,17.0,PHI 23,0.0,14.0,"Braden Mann punts 55 yards, returned by Trey Palmer for 5 yards (tackle by Ben VanSumeren and Grant Calcaterra)",-1.83,-0.74,4.0,2024,57
1.0,3:25,1.0,10.0,TAM 27,0.0,14.0,"Penalty on Moro Ojomo: Encroachment, 5 yards (accepted) (no play)",0.74,1.47,4.0,2024,57
1.0,3:25,1.0,5.0,TAM 32,0.0,14.0,Rachaad White right end for 13 yards (tackle by Darius Slay),1.47,1.93,4.0,2024,57
1.0,2:49,1.0,10.0,TAM 45,0.0,14.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Nakobe Dean and Zack Baun),1.93,2.19,4.0,2024,57
1.0,2:05,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,4.0,2024,57
1.0,2:05,2.0,4.0,PHI 49,0.0,14.0,Baker Mayfield sacked by Brandon Graham for -11 yards,2.19,0.04,4.0,2024,57
1.0,1:24,3.0,15.0,TAM 40,0.0,14.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Reed Blankenship),0.04,-0.72,4.0,2024,57
1.0,1:16,4.0,15.0,TAM 40,0.0,14.0,"Trenton Gill punts 42 yards, recovered by J.J. Russell at PHI-22",-0.72,4.11,4.0,2024,57
