Unnamed: 0,BUF,BAL,week,year,game_id
First Downs,12,22,4.0,2024,62
Rush-Yds-TDs,23-81-1,34-271-2,4.0,2024,62
Cmp-Att-Yd-TD-INT,17-31-182-0-0,14-19-157-2-0,4.0,2024,62
Sacked-Yards,3-27,1-1,4.0,2024,62
Net Pass Yards,155,156,4.0,2024,62
Total Yards,236,427,4.0,2024,62
Fumbles-Lost,2-1,2-1,4.0,2024,62
Turnovers,1,1,4.0,2024,62
Penalties-Yards,4-38,8-79,4.0,2024,62
Third Down Conv.,3-13,5-9,4.0,2024,62
Fourth Down Conv.,1-1,0-0,4.0,2024,62
Time of Possession,28:57,31:03,4.0,2024,62
