Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,,4.0,2024,52
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.. Penalty on Tarvarius Moore: Illegal Formation, 5 yards (accepted)",0.0,0.61,4.0,2024,52
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,D'Andre Swift right end for 6 yards (tackle by Cobie Durant and Kamren Curl),0.61,0.87,4.0,2024,52
1.0,14:23,2.0,4.0,CHI 31,0.0,0.0,Caleb Williams pass complete short right to Keenan Allen for 5 yards (tackle by Cobie Durant),0.87,1.33,4.0,2024,52
1.0,13:41,1.0,10.0,CHI 36,0.0,0.0,D'Andre Swift right end for 2 yards (tackle by Christian Rozeboom),1.33,1.06,4.0,2024,52
1.0,13:03,2.0,8.0,CHI 38,0.0,0.0,D'Andre Swift right end for 4 yards (tackle by Kamren Curl and Kobie Turner),1.06,0.89,4.0,2024,52
1.0,12:18,3.0,4.0,CHI 42,0.0,0.0,Caleb Williams pass complete short left to Cole Kmet for 2 yards (tackle by Quentin Lake),0.89,-0.46,4.0,2024,52
1.0,11:35,4.0,2.0,CHI 44,0.0,0.0,Tory Taylor punts 51 yards downed by Jaylon Jones,-0.46,0.38,4.0,2024,52
1.0,11:24,1.0,10.0,LAR 5,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Colby Parkinson,-0.38,-0.78,4.0,2024,52
1.0,11:19,2.0,10.0,LAR 5,0.0,0.0,Kyren Williams left guard for 5 yards (tackle by DeMarcus Walker),-0.78,-0.84,4.0,2024,52
1.0,10:39,3.0,5.0,LAR 10,0.0,0.0,Matthew Stafford pass complete short middle to Colby Parkinson for 6 yards (tackle by Jaquan Brisker),-0.84,-0.14,4.0,2024,52
1.0,10:02,1.0,10.0,LAR 16,0.0,0.0,Kyren Williams left guard for 5 yards (tackle by T.J. Edwards),-0.14,0.15,4.0,2024,52
1.0,9:23,2.0,5.0,LAR 21,0.0,0.0,Matthew Stafford pass complete deep left to Demarcus Robinson for 19 yards (tackle by Jaylon Johnson),0.15,1.6,4.0,2024,52
1.0,8:45,1.0,10.0,LAR 40,0.0,0.0,Matthew Stafford pass complete short left to Kyren Williams for 2 yards (tackle by Austin Booker),1.6,1.32,4.0,2024,52
1.0,8:03,2.0,8.0,LAR 42,0.0,0.0,Matthew Stafford pass complete short middle to Jordan Whittington for 14 yards (tackle by Tyrique Stevenson and T.J. Edwards),1.32,2.65,4.0,2024,52
1.0,7:28,1.0,10.0,CHI 44,0.0,0.0,Kyren Williams right tackle for 5 yards (tackle by Darrell Taylor and Kevin Byard),2.65,2.78,4.0,2024,52
1.0,6:53,2.0,5.0,CHI 39,0.0,0.0,Matthew Stafford pass complete short right to Colby Parkinson for 9 yards (tackle by Austin Booker),2.78,3.58,4.0,2024,52
1.0,6:12,1.0,10.0,CHI 30,0.0,0.0,Matthew Stafford sacked by Gervon Dexter for -8 yards,3.58,1.95,4.0,2024,52
1.0,5:30,2.0,18.0,CHI 38,0.0,0.0,Kyren Williams right guard for 5 yards (tackle by T.J. Edwards and Tyrique Stevenson),1.95,1.95,4.0,2024,52
1.0,4:49,3.0,13.0,CHI 33,0.0,0.0,Kyren Williams right guard for 6 yards (tackle by DeMarcus Walker and T.J. Edwards),1.95,1.67,4.0,2024,52
1.0,4:06,4.0,7.0,CHI 27,3.0,0.0,Joshua Karty 46 yard field goal good,1.67,3.0,4.0,2024,52
1.0,4:01,,,LAR 35,3.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,52
