Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Jerome Ford,CLE,10,58,0,4,12,1.2,46,4.6,1,10.0,4.0,2024,60
Deshaun Watson,CLE,8,32,0,1,30,3.8,2,0.3,0,,4.0,2024,60
D'Onta Foreman,CLE,4,2,0,1,0,0.0,2,0.5,0,,4.0,2024,60
Zamir White,LVR,17,50,0,1,23,1.4,27,1.6,1,17.0,4.0,2024,60
Alexander Mattison,LVR,5,60,0,3,32,6.4,28,5.6,3,1.7,4.0,2024,60
Tyreik McAllister,LVR,2,11,0,1,9,4.5,2,1.0,0,,4.0,2024,60
Gardner Minshew II,LVR,2,-2,0,0,-2,-1.0,0,0.0,0,,4.0,2024,60
Brock Bowers,LVR,1,12,0,1,0,0.0,12,12.0,1,1.0,4.0,2024,60
Tre Tucker,LVR,1,3,1,1,3,3.0,0,0.0,0,,4.0,2024,60
DJ Turner,LVR,1,18,1,1,0,0.0,18,18.0,2,0.5,4.0,2024,60
