Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,4.0,2024,49
1.0,15:00,,,NYG 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,49
1.0,15:00,1.0,10.0,DAL 30,0.0,0.0,Rico Dowdle left guard for 6 yards (tackle by Bobby Okereke),0.94,1.2,4.0,2024,49
1.0,14:32,2.0,4.0,DAL 36,0.0,0.0,Rico Dowdle right tackle for -1 yards (tackle by Nick McCloud and Cordale Flott),1.2,0.37,4.0,2024,49
1.0,13:57,3.0,5.0,DAL 35,0.0,0.0,Dak Prescott pass incomplete short right,0.37,-1.04,4.0,2024,49
1.0,13:53,4.0,5.0,DAL 35,0.0,0.0,"Bryan Anger punts 50 yards, fair catch by Ihmir Smith-Marsette at NYG-15",-1.04,0.22,4.0,2024,49
1.0,13:46,1.0,10.0,NYG 15,0.0,0.0,Devin Singletary right tackle for 5 yards (tackle by Mazi Smith and Eric Kendricks),-0.22,0.08,4.0,2024,49
1.0,13:04,2.0,5.0,NYG 20,0.0,0.0,Tyrone Tracy up the middle for 1 yard (tackle by DeMarvion Overshown),0.08,-0.63,4.0,2024,49
1.0,12:21,3.0,4.0,NYG 21,0.0,0.0,Daniel Jones pass complete deep left to Malik Nabers for 39 yards (tackle by Malik Hooker),-0.63,2.92,4.0,2024,49
1.0,11:37,1.0,10.0,DAL 40,0.0,0.0,Devin Singletary left end for 3 yards (tackle by Andrew Booth),2.92,2.78,4.0,2024,49
1.0,10:49,2.0,7.0,DAL 37,0.0,0.0,"Daniel Jones left end for 4 yards (tackle by Donovan Wilson). Penalty on Daniel Bellinger: Offensive Facemask, 15 yards (accepted)",2.78,1.29,4.0,2024,49
