Unnamed: 0,NWE,SFO,week,year,game_id
First Downs,12,19,4.0,2024,59
Rush-Yds-TDs,24-73-0,32-148-1,4.0,2024,59
Cmp-Att-Yd-TD-INT,19-32-168-1-1,15-27-288-1-1,4.0,2024,59
Sacked-Yards,6-25,1-5,4.0,2024,59
Net Pass Yards,143,283,4.0,2024,59
Total Yards,216,431,4.0,2024,59
Fumbles-Lost,4-2,3-1,4.0,2024,59
Turnovers,3,2,4.0,2024,59
Penalties-Yards,3-20,6-43,4.0,2024,59
Third Down Conv.,5-16,7-13,4.0,2024,59
Fourth Down Conv.,1-3,0-0,4.0,2024,59
Time of Possession,28:25,31:35,4.0,2024,59
