Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Unnamed: 14_level_0
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
CeeDee Lamb,DAL,31,17,54.84%,131,8,29.8%,17,8,47.06%,31,4,33.3%,All CeeDee Lamb red zone receiving plays
Davante Adams,LVR,29,16,55.17%,74,6,40.8%,15,10,66.67%,38,5,42.9%,All Davante Adams red zone receiving plays
Calvin Ridley,JAX,26,9,34.62%,60,5,41.3%,13,5,38.46%,20,4,43.3%,All Calvin Ridley red zone receiving plays
Tyreek Hill,MIA,24,15,62.50%,54,4,35.8%,16,8,50.00%,17,4,36.4%,All Tyreek Hill red zone receiving plays
Jake Ferguson,DAL,23,12,52.17%,94,5,22.1%,12,4,33.33%,12,3,23.5%,All Jake Ferguson red zone receiving plays
D.K. Metcalf,SEA,23,10,43.48%,79,6,35.4%,9,5,55.56%,28,5,37.5%,All D.K. Metcalf red zone receiving plays
Amon-Ra St. Brown,DET,23,16,69.57%,107,5,35.4%,12,7,58.33%,35,3,34.3%,All Amon-Ra St. Brown red zone receiving plays
Rashee Rice,KAN,22,16,72.73%,110,6,25.0%,11,8,72.73%,32,5,22.9%,All Rashee Rice red zone receiving plays
Ja'Marr Chase,CIN,19,12,63.16%,68,4,25.7%,10,5,50.00%,13,3,27.0%,All Ja'Marr Chase red zone receiving plays
Travis Kelce,KAN,19,13,68.42%,74,5,21.6%,10,6,60.00%,23,5,20.8%,All Travis Kelce red zone receiving plays
Michael Pittman,IND,19,14,73.68%,102,2,32.2%,4,2,50.00%,14,2,16.0%,All Michael Pittman red zone receiving plays
Romeo Doubs,GNB,18,9,50.00%,66,7,20.0%,9,6,66.67%,34,6,24.3%,All Romeo Doubs red zone receiving plays
Cooper Kupp,LAR,18,11,61.11%,68,4,24.7%,8,4,50.00%,11,3,19.5%,All Cooper Kupp red zone receiving plays
DeAndre Hopkins,TEN,17,7,41.18%,55,4,36.2%,10,4,40.00%,19,3,43.5%,All DeAndre Hopkins red zone receiving plays
David Njoku,CLE,17,8,47.06%,41,3,26.6%,10,3,30.00%,7,2,34.5%,All David Njoku red zone receiving plays
Deebo Samuel,SFO,17,11,64.71%,92,3,24.3%,3,2,66.67%,11,1,11.5%,All Deebo Samuel red zone receiving plays
Courtland Sutton,DEN,17,12,70.59%,101,8,26.2%,7,3,42.86%,18,3,20.0%,All Courtland Sutton red zone receiving plays
Garrett Wilson,NYJ,17,9,52.94%,42,2,34.7%,11,5,45.45%,18,2,35.5%,All Garrett Wilson red zone receiving plays
Chris Godwin,TAM,16,5,31.25%,33,1,27.1%,11,2,18.18%,10,1,37.9%,All Chris Godwin red zone receiving plays
Drake London,ATL,16,10,62.50%,61,2,29.6%,8,4,50.00%,13,1,28.6%,All Drake London red zone receiving plays
Christian McCaffrey,SFO,16,12,75.00%,61,5,22.9%,8,6,75.00%,32,4,30.8%,All Christian McCaffrey red zone receiving plays
Puka Nacua,LAR,16,9,56.25%,84,3,21.9%,8,4,50.00%,17,2,19.5%,All Puka Nacua red zone receiving plays
Jordan Addison,MIN,15,7,46.67%,39,3,19.0%,9,4,44.44%,20,3,19.1%,All Jordan Addison red zone receiving plays
A.J. Brown,PHI,15,9,60.00%,70,4,30.6%,7,3,42.86%,8,2,41.2%,All A.J. Brown red zone receiving plays
Nico Collins,HOU,15,9,60.00%,62,6,22.1%,9,5,55.56%,19,4,25.0%,All Nico Collins red zone receiving plays
Stefon Diggs,BUF,15,10,66.67%,90,6,24.2%,5,2,40.00%,7,1,18.5%,All Stefon Diggs red zone receiving plays
Cole Kmet,CHI,15,11,73.33%,67,5,26.8%,6,5,83.33%,25,4,23.1%,All Cole Kmet red zone receiving plays
Sam LaPorta,DET,15,11,73.33%,93,8,23.1%,10,7,70.00%,34,5,28.6%,All Sam LaPorta red zone receiving plays
Jakobi Meyers,LVR,15,11,73.33%,89,6,21.1%,9,6,66.67%,39,4,25.7%,All Jakobi Meyers red zone receiving plays
Curtis Samuel,WAS,15,7,46.67%,58,4,23.4%,7,3,42.86%,13,3,20.0%,All Curtis Samuel red zone receiving plays
Mark Andrews,BAL,14,10,71.43%,77,6,21.9%,7,5,71.43%,22,4,22.6%,All Mark Andrews red zone receiving plays
Mike Evans,TAM,14,5,35.71%,25,5,23.7%,8,4,50.00%,6,4,27.6%,All Mike Evans red zone receiving plays
Jayden Reed,GNB,14,9,64.29%,80,5,15.6%,8,4,50.00%,33,4,21.6%,All Jayden Reed red zone receiving plays
Adam Thielen,CAR,14,8,57.14%,57,4,38.9%,9,5,55.56%,27,3,40.9%,All Adam Thielen red zone receiving plays
Amari Cooper,CLE,13,5,38.46%,43,2,20.3%,5,2,40.00%,13,1,17.2%,All Amari Cooper red zone receiving plays
Zay Flowers,BAL,13,10,76.92%,30,3,20.3%,6,6,100.00%,25,3,19.4%,All Zay Flowers red zone receiving plays
Joe Mixon,CIN,13,11,84.62%,65,3,17.6%,6,5,83.33%,27,3,16.2%,All Joe Mixon red zone receiving plays
Elijah Moore,CLE,13,7,53.85%,40,2,20.3%,6,2,33.33%,18,2,20.7%,All Elijah Moore red zone receiving plays
Dalton Schultz,HOU,13,6,46.15%,60,4,19.1%,5,3,60.00%,16,3,13.9%,All Dalton Schultz red zone receiving plays
Adam Trautman,DEN,13,6,46.15%,44,3,20.0%,9,5,55.56%,29,3,25.7%,All Adam Trautman red zone receiving plays
Christian Watson,GNB,13,6,46.15%,57,5,14.4%,7,2,28.57%,10,2,18.9%,All Christian Watson red zone receiving plays
Keenan Allen,LAC,12,7,58.33%,46,5,16.4%,11,6,54.55%,34,4,25.0%,All Keenan Allen red zone receiving plays
Brandin Cooks,DAL,12,7,58.33%,48,6,11.5%,9,6,66.67%,40,6,17.6%,All Brandin Cooks red zone receiving plays
George Kittle,SFO,12,8,66.67%,59,3,17.1%,4,3,75.00%,18,2,15.4%,All George Kittle red zone receiving plays
Tyler Lockett,SEA,12,6,50.00%,49,4,18.5%,5,3,60.00%,14,3,20.8%,All Tyler Lockett red zone receiving plays
Tony Pollard,DAL,12,11,91.67%,41,0,11.5%,2,1,50.00%,3,0,3.9%,All Tony Pollard red zone receiving plays
Kyren Williams,LAR,12,5,41.67%,22,3,16.4%,4,4,100.00%,7,2,9.8%,All Kyren Williams red zone receiving plays
Odell Beckham,BAL,11,5,45.45%,30,1,17.2%,7,2,28.57%,15,1,22.6%,All Odell Beckham red zone receiving plays
Gabriel Davis,BUF,11,6,54.55%,64,5,17.7%,5,3,60.00%,13,3,18.5%,All Gabriel Davis red zone receiving plays
Jahan Dotson,WAS,11,5,45.45%,32,2,17.2%,7,2,28.57%,18,2,20.0%,All Jahan Dotson red zone receiving plays
Justin Jefferson,MIN,11,4,36.36%,25,1,13.9%,7,1,14.29%,4,1,14.9%,All Justin Jefferson red zone receiving plays
Alexander Mattison,MIN,11,5,45.45%,26,3,13.9%,6,3,50.00%,15,3,12.8%,All Alexander Mattison red zone receiving plays
Trey McBride,ARI,11,7,63.64%,50,3,19.0%,7,3,42.86%,16,2,26.9%,All Trey McBride red zone receiving plays
D.J. Moore,CHI,11,7,63.64%,39,3,19.6%,7,4,57.14%,16,2,26.9%,All D.J. Moore red zone receiving plays
Chris Olave,NOR,11,7,63.64%,53,4,16.9%,6,3,50.00%,20,3,18.2%,All Chris Olave red zone receiving plays
Gerald Everett,LAC,10,8,80.00%,35,3,13.7%,7,5,71.43%,22,3,15.9%,All Gerald Everett red zone receiving plays
Dallas Goedert,PHI,10,6,60.00%,46,3,20.4%,3,2,66.67%,15,2,17.6%,All Dallas Goedert red zone receiving plays
T.J. Hockenson,MIN,10,7,70.00%,46,4,12.7%,7,4,57.14%,14,3,14.9%,All T.J. Hockenson red zone receiving plays
Jerry Jeudy,DEN,10,7,70.00%,35,1,15.4%,5,2,40.00%,-5,0,14.3%,All Jerry Jeudy red zone receiving plays
Diontae Johnson,PIT,10,5,50.00%,23,3,23.8%,4,3,75.00%,9,3,22.2%,All Diontae Johnson red zone receiving plays
Aaron Jones,GNB,10,7,70.00%,11,0,11.1%,2,1,50.00%,5,0,5.4%,All Aaron Jones red zone receiving plays
Zay Jones,JAX,10,5,50.00%,41,2,15.9%,5,2,40.00%,12,1,16.7%,All Zay Jones red zone receiving plays
K.J. Osborn,MIN,10,3,30.00%,20,2,12.7%,6,3,50.00%,20,2,12.8%,All K.J. Osborn red zone receiving plays
Cade Otton,TAM,10,7,70.00%,51,4,16.9%,3,2,66.67%,7,2,10.3%,All Cade Otton red zone receiving plays
Donald Parham,LAC,10,6,60.00%,35,4,13.7%,7,4,57.14%,10,3,15.9%,All Donald Parham red zone receiving plays
Josh Reynolds,DET,10,4,40.00%,25,4,15.4%,6,3,50.00%,13,3,17.1%,All Josh Reynolds red zone receiving plays
Bijan Robinson,ATL,10,6,60.00%,37,2,18.5%,6,2,33.33%,9,1,21.4%,All Bijan Robinson red zone receiving plays
Jaxon Smith-Njigba,SEA,10,4,40.00%,37,2,15.4%,5,1,20.00%,9,1,20.8%,All Jaxon Smith-Njigba red zone receiving plays
Robert Woods,HOU,10,3,30.00%,23,1,14.7%,4,1,25.00%,6,1,11.1%,All Robert Woods red zone receiving plays
