Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Denver Broncos,17,132,99,1091,10,167.9,270.9,217.4,9.9,15.9,12.8
Los Angeles Rams,17,118,82,987,8,146.7,231.7,187.7,8.6,13.6,11.0
Tampa Bay Buccaneers,17,153,102,1077,7,146.24,253.2,197.2,8.6,14.9,11.6
Cincinnati Bengals,17,135,107,1080,6,142.0,256.0,195.5,8.4,15.1,11.5
Jacksonville Jaguars,17,117,74,922,6,136.0,213.0,173.0,8.0,12.5,10.2
Atlanta Falcons,17,139,100,1042,4,134.3,238.3,184.3,7.9,14.0,10.8
Miami Dolphins,17,125,91,904,7,132.6,225.6,180.1,7.8,13.3,10.6
New Orleans Saints,17,116,79,833,8,131.3,216.3,170.8,7.7,12.7,10.0
Houston Texans,17,145,107,1024,5,130.76,239.8,184.3,7.7,14.1,10.8
Green Bay Packers,17,106,71,859,7,129.9,200.9,165.4,7.6,11.8,9.7
Detroit Lions,17,122,83,940,6,129.6,212.6,171.1,7.6,12.5,10.1
Indianapolis Colts,17,131,91,905,3,128.76,219.8,174.3,7.6,12.9,10.3
New York Jets,17,121,80,825,8,128.5,212.5,168.5,7.6,12.5,9.9
Pittsburgh Steelers,17,121,86,864,7,124.4,214.4,169.4,7.3,12.6,10.0
Seattle Seahawks,17,119,86,941,5,124.2,210.2,167.2,7.3,12.4,9.8
Arizona Cardinals,17,97,67,756,8,123.6,193.6,157.1,7.3,11.4,9.2
Philadelphia Eagles,17,118,89,880,6,122.2,212.2,166.7,7.2,12.5,9.8
Chicago Bears,17,133,97,810,6,118.4,218.4,165.9,7.0,12.8,9.8
Los Angeles Chargers,17,116,85,882,5,114.2,204.2,156.7,6.7,12.0,9.2
Minnesota Vikings,17,113,88,771,5,107.9,198.9,151.9,6.3,11.7,8.9
Dallas Cowboys,17,95,64,710,6,107.2,171.2,139.2,6.3,10.1,8.2
Washington Commanders,17,106,75,743,5,104.3,179.3,141.8,6.1,10.5,8.3
Carolina Panthers,17,92,66,721,4,104.02,170.0,137.0,6.1,10.0,8.1
New York Giants,17,110,73,792,4,101.2,175.2,137.7,6.0,10.3,8.1
Las Vegas Raiders,17,119,90,839,3,99.9,190.9,144.9,5.9,11.2,8.5
Baltimore Ravens,17,113,81,804,3,98.8,182.8,139.3,5.8,10.8,8.2
San Francisco 49ers,17,125,88,827,3,98.7,190.7,142.7,5.8,11.2,8.4
Kansas City Chiefs,17,118,82,759,4,97.9,180.9,138.9,5.8,10.6,8.2
Buffalo Bills,17,114,83,757,3,93.7,177.7,135.2,5.5,10.5,8.0
Tennessee Titans,17,99,75,744,3,93.1,168.0,130.5,5.5,9.9,7.7
Cleveland Browns,17,86,64,559,6,92.5,155.9,123.9,5.4,9.2,7.3
New England Patriots,17,106,72,695,2,86.0,157.5,121.5,5.1,9.3,7.1
