Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Ameer Abdullah,30.0,RB,17,0.0,203.0,69,Nebraska,6/13/1993,8,2.0,Las Vegas Raiders,Detroit Lions,2.0,54.0,2015.0
Davante Adams,31.0,WR,17,17.0,215.0,73,Fresno St.,12/24/1992,9,10.0,Las Vegas Raiders,Green Bay Packers,2.0,53.0,2014.0
Jakorian Bennett,23.0,CB,14,4.0,200.0,70,"Hutchinson (KS),Maryland",8/23/2000,0,2.0,Las Vegas Raiders,Las Vegas Raiders,4.0,104.0,2023.0
Jacob Bobenmoyer,26.0,LS,17,0.0,235.0,72,Northern Colorado,5/28/1997,3,1.0,Las Vegas Raiders,,,,
Brandon Bolden,33.0,RB,17,0.0,220.0,71,Mississippi,1/26/1990,11,0.0,Las Vegas Raiders,,,,
Curtis Bolton,28.0,LB,13,0.0,228.0,72,Oklahoma,12/18/1995,2,1.0,Las Vegas Raiders,,,,
Amari Burney,23.0,LB,7,1.0,228.0,74,Florida,6/12/2000,0,1.0,Las Vegas Raiders,Las Vegas Raiders,6.0,203.0,2023.0
Adam Butler,29.0,DT,17,0.0,301.0,76,Vanderbilt,4/12/1994,6,2.0,Las Vegas Raiders,,,,
Matthew Butler,24.0,DT,2,0.0,305.0,75,Tennessee,6/10/1999,1,0.0,Las Vegas Raiders,Las Vegas Raiders,5.0,175.0,2022.0
Daniel Carlson,28.0,K,17,0.0,215.0,77,Auburn,1/23/1995,5,3.0,Las Vegas Raiders,Minnesota Vikings,5.0,167.0,2018.0
DeAndre Carter,30.0,WR,17,1.0,190.0,68,Sacramento St.,4/10/1993,5,0.0,Las Vegas Raiders,,,,
AJ Cole III,28.0,P,17,0.0,220.0,76,North Carolina St.,11/27/1995,4,3.0,Las Vegas Raiders,,,,
