Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Tyson Alualu,36.0,DL,2,1.0,304.0,75,California,5/12/1987,13,0.0,Detroit Lions,Jacksonville Jaguars,1.0,10.0,2010.0
Alex Anzalone,29.0,LB,16,16.0,234.0,75,Florida,9/22/1994,6,6.0,Detroit Lions,New Orleans Saints,3.0,76.0,2017.0
Kayode Awosika,25.0,G,15,3.0,322.0,75,Buffalo,10/27/1998,2,2.0,Detroit Lions,,,,
Michael Badgley,28.0,K,4,0.0,188.0,70,Miami (FL),7/28/1995,5,1.0,Detroit Lions,,,,
Derrick Barnes,24.0,LB,16,13.0,240.0,72,Purdue,5/29/1999,2,5.0,Detroit Lions,Detroit Lions,4.0,113.0,2021.0
Quinton Bohanna,24.0,DT,3,2.0,355.0,76,Kentucky,3/16/1999,2,1.0,Detroit Lions,Dallas Cowboys,6.0,192.0,2021.0
Brian Branch,22.0,DB,15,9.0,203.0,72,Alabama,10/22/2001,0,4.0,Detroit Lions,Detroit Lions,2.0,45.0,2023.0
Teddy Bridgewater,31.0,QB,1,0.0,210.0,74,Louisville,11/10/1992,9,0.0,Detroit Lions,Minnesota Vikings,1.0,32.0,2014.0
Isaiah Buggs,27.0,DT,10,3.0,335.0,75,"Mississippi Gulf Coast CC,Alabama",8/24/1996,4,2.0,Detroit Lions,Pittsburgh Steelers,6.0,192.0,2019.0
Jason Cabinda,27.0,FB,4,0.0,235.0,73,Penn St.,3/17/1996,5,0.0,Detroit Lions,,,,
Jack Campbell,23.0,LB,17,12.0,246.0,77,Iowa,8/22/2000,0,5.0,Detroit Lions,Detroit Lions,1.0,18.0,2023.0
John Cominsky,28.0,DL,16,11.0,285.0,77,Charleston (WV),11/22/1995,4,4.0,Detroit Lions,Atlanta Falcons,4.0,135.0,2019.0
Scott Daly,29.0,LS,8,0.0,245.0,74,Notre Dame,2/7/1994,2,1.0,Detroit Lions,,,,
Darrell Daniels,29.0,TE,3,0.0,256.0,75,Washington,11/22/1994,6,0.0,Detroit Lions,,,,
Taylor Decker,30.0,T,15,15.0,324.0,79,Ohio St.,8/23/1993,7,8.0,Detroit Lions,Detroit Lions,1.0,16.0,2016.0
Khalil Dorsey,25.0,CB,13,2.0,188.0,68,Northern Arizona,3/31/1998,3,1.0,Detroit Lions,,,,
Dylan Drummond,23.0,WR,1,0.0,190.0,72,Eastern Michigan,1/17/2000,0,0.0,Detroit Lions,,,,
Anthony Firkser,28.0,TE,2,0.0,241.0,74,Harvard,2/19/1995,5,0.0,Detroit Lions,,,,
Jack Fox,27.0,P,17,0.0,218.0,74,Rice,9/1/1996,3,1.0,Detroit Lions,,,,
Connor Galvin,23.0,OL,1,0.0,300.0,79,Baylor,3/11/2000,0,0.0,Detroit Lions,,,,
C.J. Gardner-Johnson,26.0,DB,3,2.0,208.0,71,Florida,12/20/1997,4,1.0,Detroit Lions,New Orleans Saints,4.0,105.0,2019.0
Jahmyr Gibbs,21.0,RB,15,3.0,202.0,69,"Georgia Tech,Alabama",3/20/2002,0,10.0,Detroit Lions,Detroit Lions,1.0,12.0,2023.0
Steven Gilmore,24.0,CB,3,0.0,174.0,72,Marshall,9/17/1999,0,0.0,Detroit Lions,,,,
Graham Glasgow,31.0,OL,17,15.0,315.0,78,Michigan,7/19/1992,7,7.0,Detroit Lions,Detroit Lions,3.0,95.0,2016.0
Jared Goff,29.0,QB,17,17.0,217.0,76,California,10/14/1994,7,16.0,Detroit Lions,Los Angeles Rams,1.0,1.0,2016.0
Antoine Green,24.0,WR,9,0.0,199.0,74,North Carolina,11/15/1999,0,0.0,Detroit Lions,Detroit Lions,7.0,219.0,2023.0
Charles Harris,28.0,DL,13,3.0,250.0,75,Missouri,3/6/1995,6,2.0,Detroit Lions,Miami Dolphins,1.0,22.0,2017.0
Will Harris,28.0,CB,17,2.0,207.0,73,Boston Col.,12/19/1995,4,2.0,Detroit Lions,Detroit Lions,3.0,81.0,2019.0
James Houston,25.0,LB,2,1.0,241.0,73,"Florida,Jackson St.",11/16/1998,1,0.0,Detroit Lions,Detroit Lions,6.0,217.0,2022.0
Aidan Hutchinson,23.0,DL,17,17.0,268.0,79,Michigan,8/9/2000,1,10.0,Detroit Lions,Detroit Lions,1.0,2.0,2022.0
Mohamed Ibrahim,25.0,RB,1,0.0,210.0,70,Minnesota,9/8/1998,0,0.0,Detroit Lions,,,,
Bruce Irvin,36.0,LB,2,0.0,250.0,75,"Butler (KS),West Virginia",11/1/1987,11,0.0,Detroit Lions,Seattle Seahawks,1.0,15.0,2012.0
Jonah Jackson,26.0,LG,12,12.0,319.0,75,"Rutgers,Ohio St.",2/5/1997,3,5.0,Detroit Lions,Detroit Lions,3.0,75.0,2020.0
