Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Matt Ammendola,27.0,K,5,0.0,195.0,69,Oklahoma St.,12/11/1996,2,0.0,Houston Texans,,,,
Adrian Amos,30.0,S,5,0.0,214.0,72,Penn St.,4/29/1993,8,1.0,Houston Texans,Chicago Bears,5.0,142.0,2015.0
Will Anderson,22.0,DE,15,13.0,243.0,76,Alabama,9/2/2001,0,10.0,Houston Texans,Houston Texans,1.0,3.0,2023.0
Grayland Arnold,26.0,S,8,0.0,190.0,70,Baylor,9/4/1997,3,0.0,Houston Texans,,,,
Alex Austin,22.0,CB,3,0.0,191.0,73,Oregon St.,5/22/2001,0,0.0,Houston Texans,Buffalo Bills,7.0,252.0,2023.0
Derek Barnett,27.0,DE,6,4.0,259.0,75,Tennessee,6/25/1996,6,2.0,Houston Texans,Philadelphia Eagles,1.0,14.0,2017.0
Andrew Beck,27.0,FB,15,12.0,255.0,75,Texas,5/15/1996,4,1.0,Houston Texans,,,,
Mike Boone,28.0,S,9,0.0,206.0,70,Cincinnati,6/30/1995,5,0.0,Houston Texans,,,,
Kris Boyd,27.0,CB,2,0.0,201.0,71,Texas,9/12/1996,4,0.0,Houston Texans,Minnesota Vikings,7.0,217.0,2019.0
Nick Broeker,23.0,G,3,0.0,305.0,77,Mississippi,10/7/2000,0,0.0,Houston Texans,Buffalo Bills,7.0,230.0,2023.0
Noah Brown,27.0,WR,10,7.0,225.0,74,Ohio St.,1/6/1996,6,5.0,Houston Texans,Dallas Cowboys,7.0,239.0,2017.0
Blake Cashman,27.0,MLB,14,13.0,235.0,73,Minnesota,5/10/1996,4,7.0,Houston Texans,New York Jets,5.0,157.0,2019.0
Geron Christian,27.0,T,1,0.0,302.0,77,Louisville,9/10/1996,5,0.0,Houston Texans,Washington Redskins,3.0,74.0,2018.0
Maliek Collins,28.0,DT,16,16.0,310.0,74,Nebraska,4/8/1995,7,8.0,Houston Texans,Dallas Cowboys,3.0,67.0,2016.0
Nico Collins,24.0,WR,15,10.0,222.0,76,Michigan,3/19/1999,2,11.0,Houston Texans,Houston Texans,3.0,89.0,2021.0
Khalil Davis,27.0,DT,15,1.0,315.0,74,Nebraska,8/22/1996,3,2.0,Houston Texans,Tampa Bay Buccaneers,6.0,194.0,2020.0
Austin Deculus,24.0,T,7,1.0,321.0,77,LSU,3/12/1999,1,1.0,Houston Texans,Houston Texans,6.0,205.0,2022.0
Michael Deiter,27.0,OL,16,10.0,310.0,78,Wisconsin,9/3/1996,4,4.0,Houston Texans,Miami Dolphins,3.0,78.0,2019.0
Tank Dell,24.0,WR,11,8.0,165.0,70,"Alabama A&M,Independence (KS),Houston",10/29/1999,0,6.0,Houston Texans,Houston Texans,3.0,69.0,2023.0
Michael Dogbe,27.0,DE,1,0.0,295.0,75,Temple,5/5/1996,4,0.0,Houston Texans,Arizona Cardinals,7.0,249.0,2019.0
Dieter Eiselen,27.0,G,10,0.0,300.0,76,Yale,6/10/1996,3,1.0,Houston Texans,,,,
Ka'imi Fairbairn,29.0,K,12,0.0,183.0,72,UCLA,1/29/1994,6,3.0,Houston Texans,,,,
George Fant,31.0,T,16,13.0,316.0,77,Western Kentucky,7/19/1992,7,7.0,Houston Texans,,,,
Kendrick Green,25.0,OL,4,3.0,315.0,76,Illinois,12/22/1998,2,1.0,Houston Texans,Pittsburgh Steelers,3.0,87.0,2021.0
Jonathan Greenard,26.0,RDE,15,15.0,259.0,75,"Louisville,Florida",5/25/1997,3,8.0,Houston Texans,Houston Texans,3.0,90.0,2020.0
Shaquill Griffin,28.0,RCB,10,6.0,198.0,72,Central Florida,7/20/1995,6,3.0,Houston Texans,Seattle Seahawks,3.0,90.0,2017.0
Jake Hansen,25.0,LB,14,0.0,230.0,73,Illinois,6/19/1998,1,1.0,Houston Texans,,,,
Christian Harris,22.0,LB,16,12.0,232.0,74,Alabama,1/16/2001,1,6.0,Houston Texans,Houston Texans,3.0,75.0,2022.0
Charlie Heck,27.0,T,6,4.0,311.0,80,North Carolina,11/20/1996,3,2.0,Houston Texans,Houston Texans,4.0,126.0,2020.0
