Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Nick Allegretti,27,G,17,1.0,320.0,76,Illinois,4/21/1996,4,1.0,Kansas City Chiefs,Kansas City Chiefs,7.0,216.0,2019.0
Felix Anudike-Uzomah,21,DE,17,0.0,255.0,76,Kansas St.,1/24/2002,0,1.0,Kansas City Chiefs,Kansas City Chiefs,1.0,31.0,2023.0
Blake Bell,32,TE,17,3.0,252.0,78,Oklahoma,8/7/1991,8,0.0,Kansas City Chiefs,San Francisco 49ers,4.0,117.0,2015.0
Nick Bolton,23,LB,8,8.0,237.0,71,Missouri,3/10/2000,2,4.0,Kansas City Chiefs,Kansas City Chiefs,2.0,58.0,2021.0
Ekow Boye-Doe,24,CB,6,0.0,177.0,72,Kansas St.,11/4/1999,0,0.0,Kansas City Chiefs,,,,
Deon Bush,30,DB,6,0.0,200.0,72,Miami (FL),8/14/1993,7,0.0,Kansas City Chiefs,Chicago Bears,4.0,124.0,2016.0
Matt Bushman,28,TE,1,0.0,245.0,77,BYU,11/3/1995,2,0.0,Kansas City Chiefs,,,,
Harrison Butker,28,K,17,0.0,205.0,76,Georgia Tech,7/14/1995,6,5.0,Kansas City Chiefs,Carolina Panthers,7.0,233.0,2017.0
Mike Caliendo,26,OL,8,0.0,301.0,76,Western Michigan,10/21/1997,1,1.0,Kansas City Chiefs,,,,
Leo Chenal,23,LB,17,10.0,250.0,75,Wisconsin,10/26/2000,1,5.0,Kansas City Chiefs,Kansas City Chiefs,3.0,103.0,2022.0
Cole Christiansen,26,LB,5,0.0,230.0,73,Army,7/30/1997,3,0.0,Kansas City Chiefs,,,,
Keondre Coburn,23,NT,1,0.0,322.0,74,Texas,5/23/2000,0,0.0,Kansas City Chiefs,Kansas City Chiefs,6.0,194.0,2023.0
Jack Cochrane,24,LB,17,1.0,236.0,75,South Dakota,2/9/1999,1,2.0,Kansas City Chiefs,,,,
Chamarri Conner,23,DB,17,7.0,202.0,72,Virginia Tech,7/11/2000,0,3.0,Kansas City Chiefs,Kansas City Chiefs,4.0,119.0,2023.0
Bryan Cook,24,S,12,12.0,206.0,73,"Howard,Cincinnati",9/7/1999,1,5.0,Kansas City Chiefs,Kansas City Chiefs,2.0,62.0,2022.0
Michael Danna,26,DE,16,16.0,257.0,74,"Central Michigan,Michigan",12/1/1997,3,8.0,Kansas City Chiefs,Kansas City Chiefs,5.0,177.0,2020.0
Matt Dickerson,28,DT,12,0.0,300.0,77,UCLA,11/9/1995,5,1.0,Kansas City Chiefs,,,,
Mike Edwards,27,S,17,5.0,205.0,70,"Kentucky,Hawaii",5/18/1996,4,3.0,Kansas City Chiefs,Tampa Bay Buccaneers,3.0,99.0,2019.0
Clyde Edwards-Helaire,24,RB,15,3.0,207.0,67,LSU,4/11/1999,3,3.0,Kansas City Chiefs,Kansas City Chiefs,1.0,32.0,2020.0
Neil Farrell,25,DL,3,0.0,325.0,76,LSU,9/9/1998,1,0.0,Kansas City Chiefs,Las Vegas Raiders,4.0,126.0,2022.0
Blaine Gabbert,34,QB,2,1.0,233.0,76,Missouri,10/15/1989,12,1.0,Kansas City Chiefs,Jacksonville Jaguars,1.0,10.0,2011.0
Willie Gay Jr.,25,LB,16,15.0,246.0,73,Mississippi St.,2/15/1998,3,8.0,Kansas City Chiefs,Kansas City Chiefs,2.0,63.0,2020.0
Noah Gray,24,TE,17,10.0,240.0,75,Duke,4/30/1999,2,3.0,Kansas City Chiefs,Kansas City Chiefs,5.0,162.0,2021.0
Mecole Hardman,25,WR,6,2.0,187.0,70,Georgia,3/12/1998,4,1.0,Kansas City Chiefs,Kansas City Chiefs,2.0,56.0,2019.0
Darius Harris,27,LB,5,0.0,238.0,74,Middle Tenn. St.,1/17/1996,3,0.0,Kansas City Chiefs,,,,
Malik Herring,26,DE,7,1.0,275.0,75,Georgia,11/9/1997,1,1.0,Kansas City Chiefs,,,,
Creed Humphrey,24,C,17,17.0,302.0,76,Oklahoma,6/28/1999,2,9.0,Kansas City Chiefs,Kansas City Chiefs,2.0,63.0,2021.0
Richie James,28,WR,9,1.0,185.0,69,Middle Tenn. St.,9/5/1995,5,1.0,Kansas City Chiefs,San Francisco 49ers,7.0,240.0,2018.0
Cam Jones,24,LB,17,1.0,227.0,74,Indiana,10/21/1999,0,2.0,Kansas City Chiefs,,,,
Chris Jones,29,DT,16,16.0,310.0,78,Mississippi St.,7/3/1994,7,18.0,Kansas City Chiefs,Kansas City Chiefs,2.0,37.0,2016.0
Nic Jones,22,CB,9,0.0,189.0,72,Ball St.,10/15/2001,0,1.0,Kansas City Chiefs,Kansas City Chiefs,7.0,250.0,2023.0
George Karlaftis III,22,DE,16,16.0,263.0,76,Purdue,4/3/2001,1,8.0,Kansas City Chiefs,Kansas City Chiefs,1.0,30.0,2022.0
Travis Kelce,34,TE,15,15.0,250.0,77,Cincinnati,10/5/1989,10,8.0,Kansas City Chiefs,Kansas City Chiefs,3.0,63.0,2013.0
