Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Nate Adkins,24.0,TE,10,1.0,252.0,75,"East Tennessee St.,South Carolina",7/9/1999,0,0.0,Denver Broncos,,,,
Zach Allen,26.0,DE,17,17.0,285.0,77,Boston Col.,8/20/1997,4,6.0,Denver Broncos,Arizona Cardinals,3.0,65.0,2019.0
Quinn Bailey,28.0,T,17,1.0,323.0,78,Arizona St.,10/18/1995,4,2.0,Denver Broncos,,,,
Michael Bandy,26.0,WR,1,0.0,190.0,70,San Diego,12/5/1997,2,0.0,Denver Broncos,,,,
Essang Bassey,25.0,DB,4,1.0,190.0,70,Wake Forest,8/12/1998,3,0.0,Denver Broncos,,,,
Garett Bolles,31.0,T,17,17.0,300.0,77,"Snow College (UT),Utah",5/27/1992,6,8.0,Denver Broncos,Denver Broncos,1.0,20.0,2017.0
Nik Bonitto,24.0,OLB,15,4.0,240.0,75,Oklahoma,9/26/1999,1,3.0,Denver Broncos,Denver Broncos,2.0,64.0,2022.0
Baron Browning,24.0,OLB,10,9.0,255.0,75,Ohio St.,2/19/1999,2,4.0,Denver Broncos,Denver Broncos,3.0,105.0,2021.0
Michael Burton,31.0,FB,17,3.0,247.0,72,Rutgers,2/1/1992,8,0.0,Denver Broncos,Detroit Lions,5.0,168.0,2015.0
Frank Clark,30.0,DE,2,0.0,272.0,75,Michigan,6/14/1993,8,0.0,Denver Broncos,Seattle Seahawks,2.0,63.0,2015.0
Jonathon Cooper,25.0,OLB,17,17.0,257.0,76,Ohio St.,1/8/1998,2,8.0,Denver Broncos,Denver Broncos,7.0,239.0,2021.0
Lloyd Cushenberry III,26.0,C,17,17.0,315.0,76,LSU,11/22/1997,3,7.0,Denver Broncos,Denver Broncos,3.0,83.0,2020.0
Riley Dixon,30.0,P,17,0.0,221.0,76,Syracuse,8/24/1993,7,2.0,Denver Broncos,Denver Broncos,7.0,228.0,2016.0
Phillip Dorsett,30.0,WR,2,1.0,185.0,70,Miami (FL),1/5/1993,8,0.0,Denver Broncos,Indianapolis Colts,1.0,29.0,2015.0
Greg Dulcich,23.0,TE,2,1.0,245.0,76,UCLA,3/26/2000,1,0.0,Denver Broncos,Denver Broncos,3.0,80.0,2022.0
Cameron Fleming,31.0,T,6,1.0,320.0,77,Stanford,9/3/1992,9,1.0,Denver Broncos,New England Patriots,4.0,140.0,2014.0
