Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Jaire Alexander,26.0,CB,7,7.0,196.0,70,Louisville,2/9/1997,5,2.0,Green Bay Packers,Green Bay Packers,1.0,18.0,2018.0
Zayne Anderson,26.0,S,10,0.0,206.0,74,BYU,1/3/1997,2,0.0,Green Bay Packers,,,,
David Bakhtiari,32.0,T,1,1.0,310.0,76,Colorado,9/30/1991,10,1.0,Green Bay Packers,Green Bay Packers,4.0,109.0,2013.0
Corey Ballentine,27.0,CB,14,6.0,196.0,71,Washburn,4/13/1996,4,2.0,Green Bay Packers,New York Giants,6.0,180.0,2019.0
Keshawn Banks,24.0,LB,0,0.0,251.0,75,San Diego St.,12/21/1999,0,0.0,Green Bay Packers,,,,
Karl Brooks,23.0,DL,17,0.0,296.0,75,Bowling Green,5/8/2000,0,2.0,Green Bay Packers,Green Bay Packers,6.0,179.0,2023.0
De'Vondre Campbell,30.0,LILB,11,11.0,232.0,76,Minnesota,7/1/1993,7,5.0,Green Bay Packers,Atlanta Falcons,4.0,115.0,2016.0
Anders Carlson,25.0,K,17,0.0,219.0,77,Auburn,6/16/1998,0,1.0,Green Bay Packers,Green Bay Packers,6.0,207.0,2023.0
Kenny Clark,28.0,DL,17,17.0,314.0,75,UCLA,10/4/1995,7,10.0,Green Bay Packers,Green Bay Packers,1.0,27.0,2016.0
Sean Clifford,25.0,QB,2,0.0,218.0,74,Penn St.,7/14/1998,0,0.0,Green Bay Packers,Green Bay Packers,5.0,149.0,2023.0
Brenton Cox,23.0,LB,4,0.0,250.0,76,"Georgia,Florida",1/30/2000,0,0.0,Green Bay Packers,,,,
Josiah Deguara,26.0,TE,15,4.0,240.0,74,Cincinnati,2/14/1997,3,1.0,Green Bay Packers,Green Bay Packers,3.0,94.0,2020.0
AJ Dillon,25.0,RB,15,6.0,247.0,72,Boston Col.,5/2/1998,3,6.0,Green Bay Packers,Green Bay Packers,2.0,62.0,2020.0
Romeo Doubs,23.0,WR,17,16.0,204.0,74,Nevada,4/13/2000,1,7.0,Green Bay Packers,Green Bay Packers,4.0,132.0,2022.0
Rasul Douglas,28.0,RCB,7,7.0,209.0,74,"Nassau CC,West Virginia",8/29/1995,6,2.0,Green Bay Packers,Philadelphia Eagles,3.0,99.0,2017.0
Kenyan Drake,29.0,RB,1,0.0,216.0,73,Alabama,1/26/1994,7,0.0,Green Bay Packers,Miami Dolphins,3.0,73.0,2016.0
Kingsley Enagbare,23.0,LB,17,4.0,258.0,76,South Carolina,1/18/2000,1,3.0,Green Bay Packers,Green Bay Packers,5.0,179.0,2022.0
Rudy Ford,29.0,S,13,9.0,200.0,72,Auburn,11/1/1994,6,3.0,Green Bay Packers,Arizona Cardinals,6.0,208.0,2017.0
