Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Amare Barno,24.0,OLB,15,1.0,245.0,78,"Butler (KS),Virginia Tech",4/26/1999,1,1.0,Carolina Panthers,Carolina Panthers,6.0,189.0,2022.0
Vonn Bell,29.0,FS,13,13.0,205.0,71,Ohio St.,12/12/1994,7,4.0,Carolina Panthers,New Orleans Saints,2.0,61.0,2016.0
Raheem Blackshear,24.0,RB,12,0.0,190.0,69,"Rutgers,Virginia Tech",6/5/1999,1,1.0,Carolina Panthers,,,,
Dicaprio Bootle,26.0,CB,8,2.0,195.0,70,Nebraska,9/17/1997,2,1.0,Carolina Panthers,,,,
Bradley Bozeman,29.0,C,17,17.0,325.0,77,Alabama,11/24/1994,5,5.0,Carolina Panthers,Baltimore Ravens,6.0,215.0,2018.0
Derrick Brown,25.0,DT,17,17.0,320.0,77,Auburn,4/15/1998,3,10.0,Carolina Panthers,Carolina Panthers,1.0,7.0,2020.0
Brian Burns,25.0,LOLB,16,16.0,250.0,77,Florida St.,4/23/1998,4,8.0,Carolina Panthers,Carolina Panthers,1.0,16.0,2019.0
DJ Chark,27.0,WR,15,11.0,198.0,75,LSU,9/23/1996,5,4.0,Carolina Panthers,Jacksonville Jaguars,2.0,61.0,2018.0
Claudin Cherelus,25.0,LB,6,0.0,230.0,74,"Massachusetts,Alcorn St.",12/29/1998,0,0.0,Carolina Panthers,,,,
Jeremy Chinn,25.0,S,12,8.0,220.0,75,Southern Illinois,2/26/1998,3,3.0,Carolina Panthers,Carolina Panthers,2.0,64.0,2020.0
Brady Christensen,27.0,G,1,1.0,300.0,78,BYU,9/27/1996,2,0.0,Carolina Panthers,Carolina Panthers,3.0,70.0,2021.0
Alex Cook,24.0,S,10,2.0,204.0,72,Washington,5/21/1999,0,1.0,Carolina Panthers,,,,
Austin Corbett,28.0,G,4,4.0,305.0,76,Nevada,9/5/1995,5,1.0,Carolina Panthers,Cleveland Browns,2.0,33.0,2018.0
Andy Dalton,36.0,QB,3,1.0,220.0,74,TCU,10/29/1987,12,1.0,Carolina Panthers,Cincinnati Bengals,2.0,35.0,2011.0
Tae Davis,27.0,LB,8,0.0,222.0,72,Chattanooga,8/14/1996,5,1.0,Carolina Panthers,,,,
J.D. DiRenzo,25.0,G,3,0.0,315.0,78,"Sacred Heart,Rutgers",7/27/1998,0,0.0,Carolina Panthers,,,,
Ikem Ekwonu,23.0,T,17,17.0,320.0,76,North Carolina St.,10/31/2000,1,6.0,Carolina Panthers,Carolina Panthers,1.0,6.0,2022.0
Matthias Farley,31.0,S,5,1.0,209.0,71,Notre Dame,7/15/1992,7,1.0,Carolina Panthers,,,,
Sam Franklin,27.0,S,17,4.0,210.0,75,Temple,2/2/1996,3,2.0,Carolina Panthers,,,,
Shaquill Griffin,28.0,CB,3,1.0,198.0,72,Central Florida,7/20/1995,6,0.0,Carolina Panthers,Seattle Seahawks,3.0,90.0,2017.0
Yetur Gross-Matos,25.0,DE,12,6.0,265.0,77,Penn St.,2/26/1998,3,3.0,Carolina Panthers,Carolina Panthers,2.0,38.0,2020.0
Kamu Grugier-Hill,29.0,LB,17,5.0,230.0,74,Eastern Illinois,5/16/1994,7,3.0,Carolina Panthers,New England Patriots,6.0,208.0,2016.0
Marquis Haynes,30.0,OLB,7,1.0,235.0,74,Mississippi,12/16/1993,5,1.0,Carolina Panthers,Carolina Panthers,4.0,136.0,2018.0
Johnny Hekker,33.0,P,17,0.0,225.0,77,Oregon St.,2/8/1990,11,2.0,Carolina Panthers,,,,
C.J. Henderson,25.0,CB,12,7.0,205.0,73,Florida,9/30/1998,3,2.0,Carolina Panthers,Jacksonville Jaguars,1.0,9.0,2020.0
Troy Hill,32.0,CB,16,3.0,182.0,70,Oregon,8/29/1991,8,2.0,Carolina Panthers,,,,
Jaycee Horn,24.0,CB,6,6.0,200.0,73,South Carolina,11/26/1999,2,2.0,Carolina Panthers,Carolina Panthers,1.0,8.0,2021.0
Justin Houston,34.0,ROLB,7,7.0,270.0,75,Georgia,1/21/1989,12,3.0,Carolina Panthers,Kansas City Chiefs,3.0,70.0,2011.0
Chuba Hubbard,24.0,RB,17,12.0,210.0,73,Oklahoma St.,6/11/1999,2,6.0,Carolina Panthers,Carolina Panthers,4.0,126.0,2021.0
Hayden Hurst,30.0,TE,9,8.0,245.0,76,South Carolina,8/24/1993,5,1.0,Carolina Panthers,Baltimore Ravens,1.0,25.0,2018.0
Donte Jackson,28.0,CB,16,16.0,180.0,70,LSU,11/8/1995,5,5.0,Carolina Panthers,Carolina Panthers,2.0,55.0,2018.0
Gabe Jackson,32.0,G,5,2.0,335.0,75,Mississippi St.,7/12/1991,9,1.0,Carolina Panthers,Oakland Raiders,3.0,81.0,2014.0
Lamar Jackson,25.0,CB,1,0.0,212.0,74,Nebraska,4/13/1998,3,0.0,Carolina Panthers,,,,
D'Shawn Jamison,24.0,CB,15,1.0,186.0,69,Texas,6/4/1999,0,1.0,Carolina Panthers,,,,
J.J. Jansen,37.0,LS,17,0.0,235.0,74,Notre Dame,1/20/1986,14,1.0,Carolina Panthers,,,,
Nash Jensen,24.0,RG,11,5.0,328.0,76,North Dakota St.,5/7/1999,0,2.0,Carolina Panthers,,,,
DJ Johnson,25.0,OLB,13,3.0,260.0,76,"Miami (FL),Oregon",10/21/1998,0,2.0,Carolina Panthers,Carolina Panthers,3.0,80.0,2023.0
Deion Jones,29.0,LB,13,3.0,222.0,73,LSU,11/4/1994,7,2.0,Carolina Panthers,Atlanta Falcons,2.0,52.0,2016.0
Ricky Lee,24.0,T,6,0.0,289.0,77,"North Carolina Central,North Carolina A&T",11/16/1999,0,0.0,Carolina Panthers,,,,
Eku Leota,24.0,OLB,8,0.0,257.0,76,"Northwestern,Auburn",5/11/1999,0,1.0,Carolina Panthers,,,,
David Long,25.0,CB,3,1.0,196.0,71,Michigan,2/6/1998,4,0.0,Carolina Panthers,Los Angeles Rams,3.0,79.0,2019.0
Frankie Luvu,27.0,LILB,17,17.0,236.0,75,Washington St.,9/19/1996,5,7.0,Carolina Panthers,,,,
Terrace Marshall Jr.,23.0,WR,9,4.0,200.0,74,LSU,6/9/2000,2,1.0,Carolina Panthers,Carolina Panthers,2.0,59.0,2021.0
Jordan Matthews,31.0,TE,1,0.0,212.0,75,Vanderbilt,7/16/1992,9,0.0,Carolina Panthers,Philadelphia Eagles,2.0,42.0,2014.0
Cade Mays,24.0,G,16,5.0,325.0,78,"Georgia,Tennessee",4/26/1999,1,2.0,Carolina Panthers,Carolina Panthers,6.0,199.0,2022.0
Justin McCray,31.0,G,4,2.0,320.0,75,Central Florida,5/31/1992,6,1.0,Carolina Panthers,,,,
Jonathan Mingo,22.0,WR,15,14.0,220.0,74,Mississippi,4/20/2001,0,3.0,Carolina Panthers,Carolina Panthers,2.0,39.0,2023.0
