Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Azeez Al-Shaair,26.0,LILB,17,17.0,228.0,74,Florida Atlantic,8/4/1997,4,8.0,Tennessee Titans,,,,
Denico Autry,33.0,LDE,17,14.0,285.0,77,"East Mississippi CC,Mississippi St.",7/15/1990,9,8.0,Tennessee Titans,,,,
Tre Avery,26.0,CB,15,2.0,185.0,71,"Toledo,Rutgers",2/26/1997,1,1.0,Tennessee Titans,,,,
Ross Blacklock,25.0,DT,3,0.0,290.0,75,TCU,7/9/1998,3,0.0,Tennessee Titans,Houston Texans,2.0,40.0,2020.0
Quinton Bohanna,24.0,DL,3,1.0,355.0,76,Kentucky,3/16/1999,2,1.0,Tennessee Titans,Dallas Cowboys,6.0,192.0,2021.0
Aaron Brewer,26.0,C,17,17.0,295.0,73,Texas St.,10/28/1997,3,6.0,Tennessee Titans,,,,
Mike Brown,24.0,S,9,1.0,218.0,73,Miami (OH),4/7/1999,1,1.0,Tennessee Titans,,,,
Daniel Brunskill,29.0,OL,14,14.0,300.0,77,San Diego St.,1/27/1994,4,5.0,Tennessee Titans,,,,
Treylon Burks,23.0,WR,11,9.0,225.0,74,Arkansas,3/23/2000,1,2.0,Tennessee Titans,Tennessee Titans,1.0,18.0,2022.0
Kevin Byard,30.0,SS,6,6.0,218.0,71,Middle Tenn. St.,8/17/1993,7,2.0,Tennessee Titans,Tennessee Titans,3.0,64.0,2016.0
Chance Campbell,24.0,LB,4,0.0,232.0,74,"Maryland,Mississippi",10/8/1999,1,0.0,Tennessee Titans,Tennessee Titans,6.0,219.0,2022.0
Shyheim Carter,26.0,DB,3,0.0,194.0,70,Alabama,12/15/1997,1,0.0,Tennessee Titans,,,,
Julius Chestnut,23.0,RB,3,0.0,228.0,71,Sacred Heart,10/26/2000,1,0.0,Tennessee Titans,,,,
Keondre Coburn,23.0,DL,4,0.0,322.0,74,Texas,5/23/2000,0,0.0,Tennessee Titans,Kansas City Chiefs,6.0,194.0,2023.0
Morgan Cox,37.0,LS,17,0.0,233.0,76,Tennessee,4/26/1986,13,1.0,Tennessee Titans,,,,
Tae Crowder,26.0,LB,2,0.0,235.0,75,Georgia,3/12/1997,3,0.0,Tennessee Titans,New York Giants,7.0,255.0,2020.0
Dane Cruikshank,28.0,DB,2,0.0,209.0,73,Arizona,4/27/1995,5,0.0,Tennessee Titans,Tennessee Titans,5.0,152.0,2018.0
Marlon Davidson,25.0,DL,5,3.0,278.0,75,Auburn,5/11/1998,3,2.0,Tennessee Titans,Atlanta Falcons,2.0,47.0,2020.0
Andre Dillard,28.0,T,16,10.0,315.0,77,Washington St.,10/3/1995,4,5.0,Tennessee Titans,Philadelphia Eagles,1.0,22.0,2019.0
JoJo Domann,26.0,LB,5,0.0,230.0,73,Nebraska,7/28/1997,1,0.0,Tennessee Titans,,,,
Colton Dowell,24.0,WR,10,1.0,212.0,75,UT Martin,4/19/1999,0,0.0,Tennessee Titans,Tennessee Titans,7.0,228.0,2023.0
Jaelyn Duncan,23.0,OL,10,5.0,306.0,78,Maryland,7/8/2000,0,2.0,Tennessee Titans,Tennessee Titans,6.0,186.0,2023.0
Terrell Edmunds,26.0,S,9,1.0,217.0,73,Virginia Tech,1/20/1997,5,1.0,Tennessee Titans,Pittsburgh Steelers,1.0,28.0,2018.0
Nick Folk,39.0,K,17,0.0,222.0,73,Arizona,11/5/1984,16,5.0,Tennessee Titans,Dallas Cowboys,6.0,178.0,2007.0
Kristian Fulton,25.0,CB,12,11.0,197.0,71,LSU,9/3/1998,3,4.0,Tennessee Titans,Tennessee Titans,2.0,61.0,2020.0
Eric Garror,23.0,DB,12,4.0,174.0,68,Louisiana,3/31/2000,0,2.0,Tennessee Titans,,,,
Jack Gibbens,25.0,LB,14,13.0,242.0,75,"Abilene Christian,Minnesota",11/24/1998,1,6.0,Tennessee Titans,,,,
Luke Gifford,28.0,LB,11,1.0,243.0,75,Nebraska,8/28/1995,4,1.0,Tennessee Titans,,,,
Trevis Gipson,26.0,OLB,8,0.0,263.0,76,Tulsa,6/13/1997,3,1.0,Tennessee Titans,Chicago Bears,5.0,155.0,2020.0
Tay Gowan,25.0,CB,1,0.0,185.0,74,"Butler (KS),Central Florida",1/7/1998,2,0.0,Tennessee Titans,Arizona Cardinals,6.0,223.0,2021.0
Derrick Henry,29.0,RB,17,17.0,252.0,74,Alabama,1/4/1994,7,9.0,Tennessee Titans,Tennessee Titans,2.0,45.0,2016.0
Amani Hooker,25.0,DB,13,13.0,210.0,71,Iowa,6/14/1998,4,5.0,Tennessee Titans,Tennessee Titans,4.0,116.0,2019.0
DeAndre Hopkins,31.0,WR,17,16.0,210.0,73,Clemson,6/6/1992,10,10.0,Tennessee Titans,Houston Texans,1.0,27.0,2013.0
Chris Hubbard,32.0,OL,9,9.0,295.0,76,Ala-Birmingham,4/23/1991,9,3.0,Tennessee Titans,,,,
Kearis Jackson,24.0,WR,2,0.0,196.0,71,Georgia,12/9/1999,0,0.0,Tennessee Titans,,,,
Matthew Jackson,25.0,S,10,0.0,209.0,73,Eastern Kentucky,11/9/1998,0,1.0,Tennessee Titans,,,,
Jaleel Johnson,29.0,DT,12,4.0,316.0,75,Iowa,7/12/1994,6,3.0,Tennessee Titans,Minnesota Vikings,4.0,109.0,2017.0
Joseph Jones,29.0,LB,4,0.0,231.0,72,Northwestern,2/21/1994,6,0.0,Tennessee Titans,,,,
Naquan Jones,25.0,DT,8,1.0,313.0,75,Michigan St.,2/5/1998,2,1.0,Tennessee Titans,,,,
Anthony Kendall,24.0,CB,16,0.0,188.0,70,Baldwin Wallace,12/17/1999,0,1.0,Tennessee Titans,,,,
