Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Josh Allen,27.0,QB,17,17.0,237.0,77,"Reedley,Wyoming",5/21/1996,5,18.0,Buffalo Bills,Buffalo Bills,1.0,7.0,2018.0
Kyle Allen,27.0,QB,7,0.0,210.0,75,"Texas A&M,Houston",3/8/1996,5,0.0,Buffalo Bills,,,,
Tyler Bass,26.0,K,17,0.0,183.0,70,Georgia Southern,2/14/1997,3,3.0,Buffalo Bills,Buffalo Bills,6.0,188.0,2020.0
Ryan Bates,26.0,G,17,0.0,306.0,76,Penn St.,2/14/1997,4,1.0,Buffalo Bills,,,,
Christian Benford,23.0,CB,15,14.0,205.0,73,Villanova,9/21/2000,1,5.0,Buffalo Bills,Buffalo Bills,6.0,185.0,2022.0
Terrel Bernard,24.0,LB,17,17.0,224.0,73,Baylor,5/7/1999,1,11.0,Buffalo Bills,Buffalo Bills,3.0,89.0,2022.0
Spencer Brown,25.0,T,17,17.0,311.0,78,Northern Iowa,2/28/1998,2,10.0,Buffalo Bills,Buffalo Bills,3.0,93.0,2021.0
James Cook,24.0,RB,17,13.0,190.0,71,Georgia,9/25/1999,1,13.0,Buffalo Bills,Buffalo Bills,2.0,63.0,2022.0
Gabriel Davis,24.0,WR,17,17.0,225.0,74,Central Florida,4/1/1999,3,7.0,Buffalo Bills,Buffalo Bills,4.0,128.0,2020.0
Dion Dawkins,29.0,T,17,17.0,320.0,77,Temple,4/26/1994,6,13.0,Buffalo Bills,Buffalo Bills,2.0,63.0,2017.0
Stefon Diggs,30.0,WR,17,17.0,191.0,72,Maryland,11/29/1993,8,12.0,Buffalo Bills,Minnesota Vikings,5.0,146.0,2015.0
Tyrel Dodson,25.0,LB,17,10.0,237.0,72,Texas A&M,6/25/1998,3,6.0,Buffalo Bills,,,,
Rasul Douglas,28.0,CB,9,8.0,209.0,74,"Nassau CC,West Virginia",8/29/1995,6,4.0,Buffalo Bills,Philadelphia Eagles,3.0,99.0,2017.0
David Edwards,26.0,G,17,0.0,308.0,78,Wisconsin,3/20/1997,4,1.0,Buffalo Bills,Los Angeles Rams,5.0,169.0,2019.0
Kaiir Elam,22.0,CB,3,2.0,191.0,73,Florida,5/5/2001,1,1.0,Buffalo Bills,Buffalo Bills,1.0,23.0,2022.0
A.J. Epenesa,25.0,DE,15,1.0,260.0,78,Iowa,9/15/1998,3,4.0,Buffalo Bills,Buffalo Bills,2.0,54.0,2020.0
Reid Ferguson,29.0,LS,17,0.0,235.0,74,LSU,3/24/1994,6,1.0,Buffalo Bills,,,,
Leonard Floyd,31.0,RDE,17,16.0,240.0,75,Georgia,9/8/1992,7,9.0,Buffalo Bills,Chicago Bears,1.0,9.0,2016.0
Poona Ford,28.0,DT,8,0.0,310.0,71,Texas,11/19/1995,5,1.0,Buffalo Bills,,,,
Leonard Fournette,28.0,RB,2,0.0,228.0,72,LSU,1/18/1995,6,0.0,Buffalo Bills,Jacksonville Jaguars,1.0,4.0,2017.0
Reggie Gilliam,26.0,FB,17,0.0,244.0,72,Toledo,8/20/1997,3,0.0,Buffalo Bills,,,,
