Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Brevin Allen,23.0,OLB,2,0.0,265.0,76,Campbell,9/22/2000,0,0.0,Los Angeles Chargers,,,,
Keenan Allen,31.0,WR,13,13.0,211.0,74,California,4/27/1992,10,11.0,Los Angeles Chargers,San Diego Chargers,3.0,76.0,2013.0
Stephen Anderson,30.0,TE,3,0.0,230.0,75,California,1/30/1993,7,0.0,Los Angeles Chargers,,,,
Essang Bassey,25.0,CB,11,1.0,190.0,70,Wake Forest,8/12/1998,3,1.0,Los Angeles Chargers,,,,
Joey Bosa,28.0,OLB,9,5.0,280.0,77,Ohio St.,7/11/1995,7,3.0,Los Angeles Chargers,San Diego Chargers,1.0,3.0,2016.0
Terrell Bynum,25.0,WR,1,0.0,188.0,72,"Washington,USC",8/3/1998,0,0.0,Los Angeles Chargers,,,,
Will Clapp,28.0,OL,14,11.0,314.0,77,LSU,12/10/1995,5,4.0,Los Angeles Chargers,New Orleans Saints,7.0,245.0,2018.0
Derius Davis,23.0,WR,17,2.0,165.0,68,TCU,9/11/2000,0,2.0,Los Angeles Chargers,Los Angeles Chargers,4.0,125.0,2023.0
Michael Davis,28.0,CB,17,13.0,196.0,74,BYU,1/6/1995,6,5.0,Los Angeles Chargers,,,,
Cameron Dicker,23.0,K,17,0.0,216.0,73,Texas,5/6/2000,1,5.0,Los Angeles Chargers,,,,
Keelan Doss,27.0,WR,5,0.0,215.0,75,UC Davis,3/21/1996,4,0.0,Los Angeles Chargers,,,,
Elijah Dotson,24.0,RB,4,0.0,202.0,69,"Sacramento St.,Northern Colorado",1/19/1999,0,0.0,Los Angeles Chargers,,,,
Austin Ekeler,28.0,RB,14,14.0,200.0,69,Western St. (CO),5/17/1995,6,7.0,Los Angeles Chargers,,,,
Alex Erickson,31.0,WR,8,3.0,195.0,72,Wisconsin,11/6/1992,7,2.0,Los Angeles Chargers,,,,
Gerald Everett,29.0,TE,15,12.0,252.0,75,South Alabama,6/25/1994,6,3.0,Los Angeles Chargers,Los Angeles Rams,2.0,44.0,2017.0
Andrew Farmer,23.0,OLB,8,0.0,,76,Lane,4/19/2000,0,1.0,Los Angeles Chargers,,,,
Simi Fehoko,26.0,WR,6,0.0,225.0,76,Stanford,11/5/1997,2,0.0,Los Angeles Chargers,Dallas Cowboys,5.0,179.0,2021.0
AJ Finley,22.0,S,12,0.0,188.0,72,Mississippi,9/14/2001,0,1.0,Los Angeles Chargers,,,,
Morgan Fox,29.0,DL,17,4.0,275.0,75,Colorado State-Pueblo,9/12/1994,7,3.0,Los Angeles Chargers,,,,
Alohi Gilman,26.0,S,14,14.0,201.0,70,"Navy,Notre Dame",9/17/1997,3,5.0,Los Angeles Chargers,Los Angeles Chargers,6.0,186.0,2020.0
Jalen Guyton,26.0,WR,8,3.0,212.0,73,North Texas,6/7/1997,4,1.0,Los Angeles Chargers,,,,
Josh Harris,34.0,LS,17,0.0,224.0,73,Auburn,4/27/1989,11,1.0,Los Angeles Chargers,,,,
Jaylinn Hawkins,26.0,S,10,3.0,208.0,73,California,8/25/1997,3,1.0,Los Angeles Chargers,Atlanta Falcons,4.0,134.0,2020.0
Daiyan Henley,24.0,LB,15,0.0,225.0,72,"Nevada,Washington St.",11/18/1999,0,1.0,Los Angeles Chargers,Los Angeles Chargers,3.0,85.0,2023.0
Justin Herbert,25.0,QB,13,13.0,236.0,78,Oregon,3/10/1998,3,11.0,Los Angeles Chargers,Los Angeles Chargers,1.0,6.0,2020.0
Christopher Hinton,23.0,DL,3,0.0,310.0,76,Michigan,9/14/2000,1,0.0,Los Angeles Chargers,,,,
Justin Hollins,27.0,OLB,7,0.0,248.0,77,Oregon,1/15/1996,4,1.0,Los Angeles Chargers,Denver Broncos,5.0,156.0,2019.0
J.C. Jackson,28.0,CB,2,2.0,198.0,73,"Florida,Riverside CC,Maryland",11/17/1995,5,1.0,Los Angeles Chargers,,,,
Brenden Jaimes,24.0,OL,14,3.0,300.0,77,Nebraska,5/28/1999,2,2.0,Los Angeles Chargers,Los Angeles Chargers,5.0,159.0,2021.0
Derwin James,27.0,S,16,16.0,215.0,74,Florida St.,8/3/1996,5,6.0,Los Angeles Chargers,Los Angeles Chargers,1.0,17.0,2018.0
Austin Johnson,29.0,DL,17,17.0,314.0,76,Penn St.,5/8/1994,7,7.0,Los Angeles Chargers,Tennessee Titans,2.0,43.0,2016.0
Zion Johnson,24.0,G,15,15.0,316.0,75,"Davidson,Boston Col.",11/18/1999,1,6.0,Los Angeles Chargers,Los Angeles Chargers,1.0,17.0,2022.0
Quentin Johnston,22.0,WR,17,10.0,208.0,74,TCU,9/6/2001,0,4.0,Los Angeles Chargers,Los Angeles Chargers,1.0,21.0,2023.0
