Player,Tm,Inside 20 Cmp,Inside 20 Att,Inside 20 Cmp%,Inside 20 Yds,Inside 20 TD,Inside 20 Int,Inside 10 Cmp,Inside 10 Att,Inside 10 Cmp%,Inside 10 Yds,Inside 10 TD,Inside 10 Int,Link
Lamar Jackson,BAL,45,64,70.31,389,32,1,19,31,61.29,103,18,0,All Lamar Jackson red zone passing plays
Joe Burrow,CIN,71,122,58.2,446,30,0,35,71,49.3,141,23,0,All Joe Burrow red zone passing plays
Baker Mayfield,TAM,57,78,73.08,370,29,1,33,48,68.75,122,19,1,All Baker Mayfield red zone passing plays
Sam Darnold,MIN,59,93,63.44,371,26,3,31,48,64.58,150,20,1,All Sam Darnold red zone passing plays
Jared Goff,DET,61,93,65.59,373,23,0,28,44,63.64,144,21,0,All Jared Goff red zone passing plays
Bo Nix,DEN,44,68,64.71,325,22,1,21,30,70.0,108,15,1,All Bo Nix red zone passing plays
Patrick Mahomes,KAN,65,99,65.66,350,22,2,29,49,59.18,110,17,1,All Patrick Mahomes red zone passing plays
Josh Allen,BUF,32,61,52.46,244,20,1,13,30,43.33,55,11,0,All Josh Allen red zone passing plays
Jayden Daniels,WAS,41,66,62.12,280,19,1,20,32,62.5,101,16,1,All Jayden Daniels red zone passing plays
Aaron Rodgers,NYJ,42,83,50.6,256,19,2,19,40,47.5,74,14,1,All Aaron Rodgers red zone passing plays
Jordan Love,GNB,48,72,66.67,340,19,2,17,26,65.38,61,10,0,All Jordan Love red zone passing plays
Brock Purdy,SFO,46,75,61.33,319,17,1,18,36,50.0,92,12,1,All Brock Purdy red zone passing plays
Matthew Stafford,LAR,33,71,46.48,224,16,1,16,39,41.03,61,10,1,All Matthew Stafford red zone passing plays
C.J. Stroud,HOU,33,59,55.93,183,16,0,19,30,63.33,99,14,0,All C.J. Stroud red zone passing plays
Kyler Murray,ARI,41,66,62.12,262,16,1,17,35,48.57,74,12,1,All Kyler Murray red zone passing plays
Tua Tagovailoa,MIA,41,57,71.93,255,16,0,18,28,64.29,83,11,0,All Tua Tagovailoa red zone passing plays
Geno Smith,SEA,29,54,53.7,241,13,4,7,26,26.92,38,7,2,All Geno Smith red zone passing plays
Caleb Williams,CHI,36,72,50.0,232,13,0,17,25,68.0,83,11,0,All Caleb Williams red zone passing plays
Justin Herbert,LAC,29,57,50.88,184,12,0,12,28,42.86,75,9,0,All Justin Herbert red zone passing plays
Jalen Hurts,PHI,29,48,60.42,180,11,3,13,23,56.52,47,8,0,All Jalen Hurts red zone passing plays
Bryce Young,CAR,29,56,51.79,194,11,1,9,18,50.0,40,7,0,All Bryce Young red zone passing plays
Cooper Rush,DAL,17,32,53.13,110,10,2,7,17,41.18,30,6,1,All Cooper Rush red zone passing plays
Russell Wilson,PIT,23,45,51.11,174,10,2,6,18,33.33,27,5,1,All Russell Wilson red zone passing plays
Kirk Cousins,ATL,24,46,52.17,178,10,1,5,16,31.25,30,5,0,All Kirk Cousins red zone passing plays
Trevor Lawrence,JAX,16,36,44.44,129,9,1,8,20,40.0,39,6,0,All Trevor Lawrence red zone passing plays
Joe Flacco,IND,22,41,53.66,149,9,0,8,13,61.54,43,6,0,All Joe Flacco red zone passing plays
Drake Maye,NWE,20,39,51.28,126,9,2,9,19,47.37,41,7,1,All Drake Maye red zone passing plays
Mason Rudolph,TEN,16,28,57.14,110,8,1,6,12,50.0,38,6,1,All Mason Rudolph red zone passing plays
