Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Player_URL
Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,
Atlanta Falcons,1,27,42,289,1,2.3,0,0,0,1,2.2%,3,7.3,
Buffalo Bills,1,33,46,389,1,2.2,6,2,2,5,9.6%,5,5.4,
Carolina Panthers,1,18,35,142,1,2.2,4,0,3,4,10.0%,4,10.3,
Chicago Bears,1,21,35,198,2,2.4,11,7,2,11,25.6%,6,9.7,
Cincinnati Bengals,1,14,23,95,3,2.2,0,0,0,3,10.7%,2,1.5,
Cleveland Browns,1,31,45,278,2,2.2,0,0,0,2,4.2%,1,4.0,
Indianapolis Colts,1,22,29,262,1,2.2,16,4,1,6,18.2%,3,6.7,
Arizona Cardinals,1,21,29,130,5,2.1,4,3,0,8,21.6%,3,9.3,
Dallas Cowboys,1,21,34,188,0,2.3,2,0,0,0,0.0%,1,3.0,
Denver Broncos,1,25,40,166,1,2.4,0,0,0,1,2.4%,1,11.0,
Detroit Lions,1,31,39,200,4,2.8,0,0,0,4,9.3%,0,,
Green Bay Packers,1,16,22,188,0,2.6,2,0,0,0,0.0%,1,3.0,
Houston Texans,1,19,27,151,3,2.3,1,0,0,3,8.8%,4,7.5,
Jacksonville Jaguars,1,19,31,178,0,2.3,4,0,1,1,3.0%,2,7.0,
Kansas City Chiefs,1,24,39,249,2,1.8,7,1,6,9,19.1%,6,9.5,
Miami Dolphins,1,19,31,133,3,2.2,9,3,1,7,19.4%,2,5.0,
Minnesota Vikings,1,13,20,134,3,2.4,3,2,2,7,29.2%,1,11.0,
New Orleans Saints,1,27,46,208,1,1.9,2,2,1,4,8.2%,2,10.5,
New England Patriots,1,30,46,276,4,2.3,0,0,0,4,7.5%,3,2.3,
New York Giants,1,17,37,157,2,2.3,1,0,0,2,4.4%,6,6.7,
New York Jets,1,16,22,212,1,3.1,9,0,5,6,23.1%,3,5.7,
Tennessee Titans,1,12,28,62,6,2.4,0,0,0,6,17.6%,0,,
Philadelphia Eagles,1,19,23,144,1,2.4,0,0,0,1,3.0%,9,7.0,
Pittsburgh Steelers,1,22,30,218,4,2.2,12,0,3,7,20.6%,0,,
Las Vegas Raiders,1,24,34,333,4,2.3,1,0,0,4,10.3%,1,11.0,
Los Angeles Rams,1,21,29,224,3,2.3,3,0,1,4,12.5%,0,,
Baltimore Ravens,1,14,19,194,2,2.2,9,1,1,4,18.2%,1,19.0,
Los Angeles Chargers,1,25,34,304,3,2.3,15,0,1,4,9.8%,4,9.0,
Seattle Seahawks,1,16,23,146,1,2.2,1,0,1,2,8.0%,1,5.0,
San Francisco 49ers,1,26,35,265,1,2.6,0,0,0,1,2.6%,3,6.3,
Tampa Bay Buccaneers,1,17,32,159,1,2.6,0,0,0,1,2.7%,4,10.0,
Washington Commanders,1,19,30,212,3,2.2,0,0,0,3,7.9%,5,9.2,
