Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 22_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Ja'Marr Chase,24.0,CIN,WR,17.0,16.0,175.0,127.0,1708.0,75.0,921.0,7.3,787.0,6.2,8.7,11.0,11.5,9.0,5.1,7.0,118.9,"PB,AP-1,AP MVP-8,AP OPoY-3"
2.0,Amon-Ra St. Brown,25.0,DET,WR,17.0,17.0,141.0,115.0,1263.0,73.0,851.0,7.4,412.0,3.6,7.7,3.0,38.3,4.0,2.8,1.0,129.4,"PB,AP-1,AP OPoY-11"
3.0,Brock Bowers,22.0,LVR,TE,17.0,16.0,153.0,112.0,1194.0,61.0,598.0,5.3,596.0,5.3,6.1,6.0,18.7,6.0,3.9,5.0,92.9,"PB,AP-1,AP ORoY-2"
4.0,Trey McBride,25.0,ARI,TE,16.0,16.0,147.0,111.0,1146.0,63.0,633.0,5.7,513.0,4.6,6.1,5.0,22.2,3.0,2.0,1.0,99.2,PB
5.0,Malik Nabers,21.0,NYG,WR,15.0,13.0,170.0,109.0,1204.0,55.0,742.0,6.8,462.0,4.2,9.1,8.0,13.6,9.0,5.3,2.0,93.8,"PB,AP ORoY-5"
6.0,Justin Jefferson,25.0,MIN,WR,17.0,17.0,154.0,103.0,1533.0,62.0,1046.0,10.2,487.0,4.7,10.9,5.0,20.6,5.0,3.2,5.0,107.4,"PB,AP-1,AP OPoY-7"
7.0,CeeDee Lamb,25.0,DAL,WR,15.0,15.0,152.0,101.0,1194.0,54.0,657.0,6.5,537.0,5.3,7.6,11.0,9.2,7.0,4.6,6.0,86.9,"PB,AP-2"
8.0,Garrett Wilson,24.0,NYJ,WR,17.0,17.0,154.0,101.0,1104.0,60.0,662.0,6.6,442.0,4.4,9.1,7.0,14.4,7.0,4.5,5.0,88.2,
9.0,Drake London,23.0,ATL,WR,17.0,17.0,158.0,100.0,1271.0,67.0,944.0,9.4,327.0,3.3,10.9,6.0,16.7,5.0,3.2,8.0,86.2,
10.0,Jaxon Smith-Njigba,22.0,SEA,WR,17.0,16.0,137.0,100.0,1130.0,57.0,653.0,6.5,477.0,4.8,8.7,4.0,25.0,5.0,3.6,4.0,99.7,PB
11.0,D.J. Moore,27.0,CHI,WR,17.0,17.0,140.0,98.0,966.0,43.0,378.0,3.9,588.0,6.0,7.5,5.0,19.6,3.0,2.1,3.0,94.5,
12.0,Travis Kelce,35.0,KAN,TE,16.0,16.0,133.0,97.0,823.0,47.0,482.0,5.0,341.0,3.5,6.4,3.0,32.3,6.0,4.5,4.0,83.6,PB
