Quarter,Time,Tm,Detail,CLE,PIT,week,year,game_id
1.0,14:51,Steelers,Alex Highsmith 30 yard interception return (Chris Boswell kick),0,7,2.0,2023,32
,8:46,Browns,Dustin Hopkins 43 yard field goal,3,7,2.0,2023,32
2.0,14:02,Browns,Jerome Ford 3 yard pass from Deshaun Watson (Jerome Ford run),11,7,2.0,2023,32
,9:11,Steelers,Chris Boswell 52 yard field goal,11,10,2.0,2023,32
,6:05,Steelers,George Pickens 71 yard pass from Kenny Pickett (run failed),11,16,2.0,2023,32
,0:22,Browns,Dustin Hopkins 55 yard field goal,14,16,2.0,2023,32
3.0,11:47,Steelers,Chris Boswell 50 yard field goal,14,19,2.0,2023,32
,10:01,Browns,Pierre Strong 1 yard rush (Deshaun Watson run),22,19,2.0,2023,32
4.0,6:58,Steelers,T.J. Watt 16 yard fumble return (Chris Boswell kick),22,26,2.0,2023,32
