Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,2.0,2023,23
1,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,23
1,15:00,1.0,10.0,SEA 25,0.0,0.0,Kenneth Walker left tackle for 14 yards (tackle by Kerby Joseph),0.61,1.53,2.0,2023,23
1,14:34,1.0,10.0,SEA 39,0.0,0.0,Kenneth Walker up the middle for 1 yard (tackle by Cameron Sutton),1.53,1.12,2.0,2023,23
1,14:06,2.0,9.0,SEA 40,0.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 7 yards,1.12,1.36,2.0,2023,23
1,13:34,3.0,2.0,SEA 47,0.0,0.0,"Penalty on DET: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",1.36,2.39,2.0,2023,23
1,13:11,1.0,10.0,DET 48,0.0,0.0,Kenneth Walker left tackle for no gain (tackle by Derrick Barnes),2.39,1.85,2.0,2023,23
1,12:28,2.0,10.0,DET 48,0.0,0.0,Geno Smith pass complete short left to Kenneth Walker for 11 yards (tackle by Jerry Jacobs),1.85,3.12,2.0,2023,23
1,11:51,1.0,10.0,DET 37,0.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 18 yards (tackle by C.J. Gardner-Johnson),3.12,4.31,2.0,2023,23
1,11:13,1.0,10.0,DET 19,0.0,0.0,Kenneth Walker left end for 1 yard (tackle by Derrick Barnes),4.31,3.88,2.0,2023,23
1,10:33,2.0,9.0,DET 18,0.0,0.0,"Penalty on Will Dissly: False Start, 5 yards (accepted) (no play)",3.88,3.22,2.0,2023,23
1,10:12,2.0,14.0,DET 23,0.0,0.0,Geno Smith pass complete short left to Will Dissly for 6 yards (tackle by Alex Anzalone and Jerry Jacobs),3.22,3.26,2.0,2023,23
1,9:32,3.0,8.0,DET 17,0.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 16 yards (tackle by Jerry Jacobs and Kerby Joseph),3.26,6.97,2.0,2023,23
1,8:55,1.0,1.0,DET 1,0.0,0.0,"Penalty on Phil Haynes: False Start, 4 yards (accepted) (no play)",6.97,6.06,2.0,2023,23
1,8:33,1.0,5.0,DET 5,0.0,0.0,"Kenneth Walker left tackle for -5 yards (tackle by C.J. Gardner-Johnson). Penalty on C.J. Gardner-Johnson: Unnecessary Roughness / Defense, 5 yards (accepted)",6.06,6.06,2.0,2023,23
1,7:57,1.0,5.0,DET 5,0.0,0.0,"Geno Smith pass incomplete intended for Tyler Lockett. Penalty on Jerry Jacobs: Defensive Pass Interference, 4 yards (accepted) (no play)",6.06,6.97,2.0,2023,23
1,7:49,1.0,1.0,DET 1,0.0,0.0,Kenneth Walker left tackle for no gain (tackle by Alex Anzalone),6.97,5.91,2.0,2023,23
1,7:07,2.0,1.0,DET 1,6.0,0.0,"Kenneth Walker up the middle for 1 yard, touchdown",5.91,7.0,2.0,2023,23
1,7:04,,,DET 15,7.0,0.0,Jason Myers kicks extra point good,0.0,0.0,2.0,2023,23
1,7:04,,,SEA 35,7.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,23
1,7:04,1.0,10.0,DET 25,7.0,0.0,David Montgomery right tackle for 8 yards (tackle by Jordyn Brooks and Julian Love),0.61,1.14,2.0,2023,23
