Unnamed: 0,SEA,DET,week,year,game_id
First Downs,28,25,2.0,2023,23
Rush-Yds-TDs,25-82-2,27-102-1,2.0,2023,23
Cmp-Att-Yd-TD-INT,32-41-328-2-0,28-35-323-3-1,2.0,2023,23
Sacked-Yards,1-17,2-7,2.0,2023,23
Net Pass Yards,311,316,2.0,2023,23
Total Yards,393,418,2.0,2023,23
Fumbles-Lost,0-0,2-2,2.0,2023,23
Turnovers,0,3,2.0,2023,23
Penalties-Yards,9-80,4-24,2.0,2023,23
Third Down Conv.,5-11,6-11,2.0,2023,23
Fourth Down Conv.,1-1,1-3,2.0,2023,23
Time of Possession,33:31,30:48,2.0,2023,23
