Unnamed: 0,MIA,NWE,week,year,game_id
First Downs,22,23,2.0,2023,30
Rush-Yds-TDs,30-145-2,25-88-1,2.0,2023,30
Cmp-Att-Yd-TD-INT,21-30-249-1-1,31-42-231-1-1,2.0,2023,30
Sacked-Yards,1-5,4-31,2.0,2023,30
Net Pass Yards,244,200,2.0,2023,30
Total Yards,389,288,2.0,2023,30
Fumbles-Lost,2-0,1-1,2.0,2023,30
Turnovers,1,2,2.0,2023,30
Penalties-Yards,6-46,5-45,2.0,2023,30
Third Down Conv.,4-10,7-15,2.0,2023,30
Fourth Down Conv.,0-0,1-2,2.0,2023,30
Time of Possession,30:19,29:41,2.0,2023,30
