Quarter,Time,Down,ToGo,Location,LVR,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Raiders to receive the opening kickoff.",,,2.0,2023,19
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs up the middle for -4 yards (tackle by Ed Oliver),0.61,-0.48,2.0,2023,19
1.0,14:24,2.0,14.0,LVR 21,0.0,0.0,Jimmy Garoppolo pass complete short left to Josh Jacobs for 12 yards (tackle by Micah Hyde and Taron Johnson),-0.48,0.43,2.0,2023,19
1.0,13:37,3.0,2.0,LVR 33,0.0,0.0,Jimmy Garoppolo pass complete short right to Davante Adams for 17 yards (tackle by Taron Johnson),0.43,2.26,2.0,2023,19
1.0,13:03,1.0,10.0,BUF 50,0.0,0.0,Tre Tucker left end for 34 yards (tackle by Tre'Davious White and Micah Hyde),2.26,4.51,2.0,2023,19
1.0,12:22,1.0,10.0,BUF 16,6.0,0.0,"Jimmy Garoppolo pass complete short left to Davante Adams for 16 yards, touchdown",4.51,7.0,2.0,2023,19
1.0,12:16,,,BUF 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,2.0,2023,19
1.0,12:16,,,LVR 35,7.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
1.0,12:16,1.0,10.0,BUF 25,7.0,0.0,James Cook up the middle for 2 yards (tackle by Divine Deablo and Robert Spillane),0.61,0.33,2.0,2023,19
1.0,11:44,2.0,8.0,BUF 27,7.0,0.0,James Cook right guard for 3 yards (tackle by Maxx Crosby and John Jenkins),0.33,0.04,2.0,2023,19
1.0,11:05,3.0,5.0,BUF 30,7.0,0.0,Josh Allen sacked by Robert Spillane for no gain,0.04,-1.37,2.0,2023,19
1.0,10:30,4.0,5.0,BUF 30,7.0,0.0,Sam Martin punts 54 yards out of bounds,-1.37,0.14,2.0,2023,19
1.0,10:22,1.0,10.0,LVR 16,7.0,0.0,Josh Jacobs left guard for no gain (tackle by Terrel Bernard and Leonard Floyd),-0.14,-0.66,2.0,2023,19
1.0,9:40,2.0,10.0,LVR 16,7.0,0.0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 12 yards (tackle by Taron Johnson and Terrel Bernard),-0.66,0.81,2.0,2023,19
1.0,9:03,1.0,10.0,LVR 28,7.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Ed Oliver and Matt Milano),0.81,0.53,2.0,2023,19
1.0,8:22,2.0,8.0,LVR 30,7.0,0.0,Jimmy Garoppolo pass short middle (defended by Gregory Rousseau) intended for Ameer Abdullah is intercepted by Terrel Bernard at LV-28 and returned for no gain (tackle by Ameer Abdullah),0.53,-3.71,2.0,2023,19
1.0,8:17,1.0,10.0,LVR 28,7.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Jakorian Bennett),3.71,3.84,2.0,2023,19
1.0,7:40,2.0,5.0,LVR 23,7.0,0.0,Latavius Murray left end for 8 yards (tackle by Robert Spillane and Jakorian Bennett),3.84,4.58,2.0,2023,19
1.0,7:00,1.0,10.0,LVR 15,7.0,0.0,Josh Allen pass complete short right to Deonte Harty for -4 yards (tackle by Marcus Epps),4.58,3.45,2.0,2023,19
1.0,6:20,2.0,14.0,LVR 19,7.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Divine Deablo),3.45,4.45,2.0,2023,19
1.0,5:53,3.0,3.0,LVR 8,7.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 2 yards (tackle by Marcus Epps),4.45,3.02,2.0,2023,19
1.0,5:09,4.0,1.0,LVR 6,7.0,0.0,Josh Allen up the middle for 2 yards (tackle by Maxx Crosby),3.02,6.28,2.0,2023,19
1.0,4:23,1.0,4.0,LVR 4,7.0,6.0,"Latavius Murray up the middle for 4 yards, touchdown",6.28,7.0,2.0,2023,19
1.0,4:19,,,LVR 15,7.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2023,19
1.0,4:19,,,BUF 35,7.0,7.0,"Tyler Bass kicks off 57 yards, returned by DeAndre Carter for 23 yards (tackle by Dane Jackson)",0.0,1.0,2.0,2023,19
1.0,4:13,1.0,10.0,LVR 31,7.0,7.0,Jimmy Garoppolo pass complete short right to Ameer Abdullah for 5 yards (tackle by Leonard Floyd and Micah Hyde),1.0,1.14,2.0,2023,19
1.0,3:34,2.0,5.0,LVR 36,7.0,7.0,Jimmy Garoppolo pass incomplete short right intended for Davante Adams,1.14,0.43,2.0,2023,19
1.0,3:29,3.0,5.0,LVR 36,7.0,7.0,Jimmy Garoppolo pass incomplete short left intended for Ameer Abdullah (defended by A.J. Epenesa),0.43,-0.98,2.0,2023,19
1.0,3:23,4.0,5.0,LVR 36,7.0,7.0,"AJ Cole punts 48 yards, fair catch by Deonte Harty at BUF-16",-0.98,0.14,2.0,2023,19
1.0,3:16,1.0,10.0,BUF 16,7.0,7.0,Latavius Murray right guard for 3 yards (tackle by Tre'von Moehrig and Adam Butler),-0.14,-0.18,2.0,2023,19
1.0,2:40,2.0,7.0,BUF 19,7.0,7.0,Josh Allen pass complete short right to Dawson Knox for 1 yard (tackle by Nate Hobbs and Marcus Peters),-0.18,-0.82,2.0,2023,19
1.0,1:58,3.0,6.0,BUF 20,7.0,7.0,Josh Allen pass complete short middle to Dawson Knox for 7 yards (tackle by David Long),-0.82,0.74,2.0,2023,19
1.0,1:22,1.0,10.0,BUF 27,7.0,7.0,Josh Allen pass complete short right to Reggie Gilliam for 3 yards (tackle by Marcus Peters),0.74,0.6,2.0,2023,19
1.0,0:40,2.0,7.0,BUF 30,7.0,7.0,Josh Allen pass complete short right to Gabriel Davis for 7 yards (tackle by Nate Hobbs and Jakorian Bennett),0.6,1.4,2.0,2023,19
1.0,0:05,1.0,10.0,BUF 37,7.0,7.0,"Josh Allen pass complete deep left to Gabriel Davis for 19 yards (tackle by Robert Spillane). Penalty on Bilal Nichols: Defensive Offside, 5 yards (declined)",1.4,2.65,2.0,2023,19
2.0,15:00,1.0,10.0,LVR 44,7.0,7.0,James Cook left guard for 2 yards (tackle by Robert Spillane),2.65,2.38,2.0,2023,19
2.0,14:22,2.0,8.0,LVR 42,7.0,7.0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Marcus Epps),2.38,2.35,2.0,2023,19
2.0,13:43,3.0,3.0,LVR 37,7.0,7.0,Damien Harris right end for 11 yards (tackle by Nate Hobbs),2.35,3.84,2.0,2023,19
2.0,13:01,1.0,10.0,LVR 26,7.0,7.0,"Josh Allen pass incomplete deep left intended for Stefon Diggs. Penalty on Nate Hobbs: Defensive Pass Interference, 25 yards (accepted) (no play)",3.84,6.97,2.0,2023,19
2.0,12:54,1.0,1.0,LVR 1,7.0,7.0,Damien Harris up the middle for -1 yards (tackle by Isaac Rochell and Robert Spillane),6.97,5.72,2.0,2023,19
2.0,12:16,2.0,2.0,LVR 2,7.0,13.0,"Josh Allen pass complete short left to Dawson Knox for 2 yards, touchdown",5.72,7.0,2.0,2023,19
2.0,12:10,,,LVR 15,7.0,14.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2023,19
2.0,12:10,,,BUF 35,7.0,14.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,19
2.0,12:10,1.0,10.0,LVR 25,7.0,14.0,Jimmy Garoppolo pass incomplete deep right intended for Tre Tucker (defended by Christian Benford),0.61,0.06,2.0,2023,19
