Quarter,Time,Tm,Detail,KAN,JAX,week,year,game_id
2.0,12:59,Jaguars,Brandon McManus 32 yard field goal,0,3,2.0,2023,24
,0:27,Chiefs,Skyy Moore 9 yard pass from Patrick Mahomes (Harrison Butker kick),7,3,2.0,2023,24
,0:00,Jaguars,Brandon McManus 49 yard field goal,7,6,2.0,2023,24
3.0,11:30,Chiefs,Travis Kelce 9 yard pass from Patrick Mahomes (Harrison Butker kick),14,6,2.0,2023,24
4.0,13:43,Jaguars,Brandon McManus 22 yard field goal,14,9,2.0,2023,24
,8:10,Chiefs,Harrison Butker 38 yard field goal,17,9,2.0,2023,24
