Unnamed: 0,MIN,PHI,week,year,game_id
First Downs,19,24,2.0,2023,17
Rush-Yds-TDs,9-28-0,48-259-3,2.0,2023,17
Cmp-Att-Yd-TD-INT,31-44-364-4-0,18-23-193-1-1,2.0,2023,17
Sacked-Yards,2-18,4-22,2.0,2023,17
Net Pass Yards,346,171,2.0,2023,17
Total Yards,374,430,2.0,2023,17
Fumbles-Lost,4-4,1-0,2.0,2023,17
Turnovers,4,1,2.0,2023,17
Penalties-Yards,2-15,7-45,2.0,2023,17
Third Down Conv.,6-10,6-14,2.0,2023,17
Fourth Down Conv.,1-1,1-1,2.0,2023,17
Time of Possession,20:32,39:28,2.0,2023,17
