Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA,week,year,game_id
1.0,3:03,1.0,10.0,CHI 37,7.0,3.0,Sean Tucker for 2 yards (tackle by T.J. Edwards and Tremaine Edmunds),3.12,2.84,2.0,2023,20
1.0,2:24,2.0,8.0,CHI 35,7.0,3.0,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Tremaine Edmunds),2.84,3.84,2.0,2023,20
1.0,1:42,1.0,10.0,CHI 26,7.0,3.0,Baker Mayfield scrambles right end for 8 yards (tackle by Quindell Johnson),3.84,4.45,2.0,2023,20
1.0,1:03,2.0,2.0,CHI 18,7.0,3.0,Baker Mayfield scrambles up the middle for 1 yard (tackle by Gervon Dexter),4.45,3.95,2.0,2023,20
1.0,0:19,3.0,1.0,CHI 17,7.0,3.0,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",3.95,3.14,2.0,2023,20
2.0,15:00,3.0,6.0,CHI 22,7.0,3.0,Baker Mayfield pass incomplete deep right intended for Trey Palmer,3.14,2.02,2.0,2023,20
2.0,14:56,4.0,6.0,CHI 22,7.0,3.0,Chase McLaughlin 40 yard field goal no good blocked by Rasheem Green,2.02,-2.26,2.0,2023,20
2.0,14:49,1.0,10.0,CHI 50,7.0,3.0,Justin Fields sacked by Shaquil Barrett for no gain,2.26,1.71,2.0,2023,20
2.0,14:10,2.0,10.0,CHI 50,7.0,3.0,Velus Jones left end for -3 yards (tackle by Ryan Neal),1.71,0.63,2.0,2023,20
2.0,13:36,3.0,13.0,CHI 47,7.0,3.0,"Justin Fields sacked by Joe Tryon-Shoyinka for -11 yards. Penalty on Braxton Jones: Offensive Holding, 10 yards (declined)",0.63,-0.98,2.0,2023,20
2.0,13:30,4.0,24.0,CHI 36,7.0,3.0,"Trenton Gill punts 47 yards, returned by Deven Thompkins for 6 yards. Deven Thompkins fumbles, ball out of bounds at TB-23 (forced by Noah Sewell). Deven Thompkins fumbles out of bounds. Penalty on K.J. Britt: Defensive Offside, 5 yards (declined)",-0.98,-0.48,2.0,2023,20
2.0,13:15,1.0,10.0,TAM 23,7.0,3.0,Baker Mayfield pass complete deep left to Mike Evans for 70 yards (tackle by Jaylon Johnson),0.48,5.6,2.0,2023,20
2.0,12:22,1.0,7.0,CHI 7,7.0,3.0,Rachaad White left tackle for 1 yard (tackle by Yannick Ngakoue),5.6,4.95,2.0,2023,20
2.0,11:44,2.0,6.0,CHI 6,7.0,3.0,Baker Mayfield pass complete short left to Rachaad White for 2 yards (tackle by Tyrique Stevenson and T.J. Edwards),4.95,4.49,2.0,2023,20
2.0,10:58,3.0,4.0,CHI 4,7.0,9.0,"Rachaad White left guard for 4 yards, touchdown",4.49,7.0,2.0,2023,20
2.0,10:53,,,CHI 15,7.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,2.0,2023,20
2.0,10:53,,,TAM 35,7.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,20
2.0,10:53,1.0,10.0,CHI 25,7.0,10.0,Justin Fields pass incomplete short right intended for Chase Claypool,0.61,0.06,2.0,2023,20
2.0,10:49,2.0,10.0,CHI 25,7.0,10.0,Roschon Johnson left tackle for 1 yard (tackle by Ryan Neal and Mike Greene),0.06,-0.49,2.0,2023,20
2.0,10:03,3.0,9.0,CHI 26,7.0,10.0,Justin Fields pass complete short left to D.J. Moore for 1 yard (tackle by Lavonte David),-0.49,-1.57,2.0,2023,20
2.0,9:29,4.0,8.0,CHI 27,7.0,10.0,"Trenton Gill punts 55 yards, returned by Deven Thompkins for 1 yard (tackle by Jaylon Jones)",-1.57,-0.15,2.0,2023,20
