Quarter,Time,Down,ToGo,Location,LAC,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Chargers to receive the opening kickoff.",,,2.0,2023,25
1,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,25
1,15:00,1.0,10.0,LAC 25,0.0,0.0,Justin Herbert pass incomplete short left intended for Joshua Kelley,0.61,0.06,2.0,2023,25
1,14:54,2.0,10.0,LAC 25,0.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Roger McCreary),0.06,0.3,2.0,2023,25
1,14:12,3.0,3.0,LAC 32,0.0,0.0,Justin Herbert sacked by Denico Autry for -7 yards,0.3,-1.7,2.0,2023,25
1,13:30,4.0,10.0,LAC 25,0.0,0.0,"JK Scott punts 40 yards, returned by Kearis Jackson for no gain (tackle by Nick Niemann). Penalty on Tre Avery: Offensive Holding, 10 yards (accepted)",-1.7,-0.61,2.0,2023,25
1,13:20,1.0,10.0,TEN 25,0.0,0.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by J.C. Jackson),0.61,1.01,2.0,2023,25
1,12:49,2.0,3.0,TEN 32,0.0,0.0,Derrick Henry right guard for 5 yards (tackle by Derwin James and Kenneth Murray),1.01,1.4,2.0,2023,25
1,12:08,1.0,10.0,TEN 37,0.0,0.0,Derrick Henry right guard for 4 yards (tackle by Kenneth Murray and Austin Johnson),1.4,1.4,2.0,2023,25
1,11:28,2.0,6.0,TEN 41,0.0,0.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 4 yards (tackle by Derwin James and Nick Williams),1.4,1.22,2.0,2023,25
1,11:00,3.0,2.0,TEN 45,0.0,0.0,Tyjae Spears right tackle for 3 yards (tackle by Alohi Gilman and Ja'Sir Taylor),1.22,2.13,2.0,2023,25
1,10:25,1.0,10.0,TEN 48,0.0,0.0,Tyjae Spears right end for 4 yards (tackle by Khalil Mack),2.13,2.12,2.0,2023,25
1,9:39,2.0,6.0,LAC 48,0.0,0.0,Derrick Henry left end for 1 yard (tackle by Kenneth Murray and Tuli Tuipulotu),2.12,1.55,2.0,2023,25
1,8:58,3.0,5.0,LAC 47,0.0,0.0,Tyjae Spears up the middle for 1 yard (tackle by Tuli Tuipulotu and Nick Niemann),1.55,0.2,2.0,2023,25
1,8:15,4.0,4.0,LAC 46,0.0,0.0,Ryan Tannehill sacked by Kenneth Murray for -6 yards,0.2,-2.39,2.0,2023,25
1,8:11,1.0,10.0,TEN 48,0.0,0.0,Joshua Kelley left guard for 1 yard (tackle by Roger McCreary),2.39,1.98,2.0,2023,25
1,7:40,2.0,9.0,TEN 47,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Denico Autry),1.98,2.21,2.0,2023,25
1,7:07,3.0,2.0,TEN 40,0.0,0.0,Joshua Kelley for 5 yards (tackle by Azeez Al-Shaair),2.21,3.25,2.0,2023,25
1,6:29,1.0,10.0,TEN 35,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Tre Avery),3.25,3.78,2.0,2023,25
1,5:51,2.0,2.0,TEN 27,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for -1 yards (tackle by Tre Avery),3.78,2.94,2.0,2023,25
1,5:30,3.0,3.0,TEN 28,0.0,0.0,Elijah Dotson left guard for 1 yard (tackle by Jeffery Simmons and Roger McCreary),2.94,1.8,2.0,2023,25
1,4:52,4.0,2.0,TEN 27,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for 20 yards (tackle by Elijah Molden),1.8,5.6,2.0,2023,25
1,4:35,1.0,7.0,TEN 7,0.0,0.0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Sean Murphy-Bunting),5.6,4.76,2.0,2023,25
1,4:29,2.0,7.0,TEN 7,0.0,0.0,Joshua Kelley right tackle for -2 yards (tackle by Roger McCreary and Azeez Al-Shaair),4.76,3.36,2.0,2023,25
1,3:56,3.0,9.0,TEN 9,0.0,0.0,"Justin Herbert pass incomplete short right intended for Mike Williams. Penalty on Trey Pipkins: Offensive Holding, 10 yards (declined)",3.36,2.83,2.0,2023,25
1,3:49,4.0,9.0,TEN 9,3.0,0.0,Cameron Dicker 27 yard field goal good,2.83,3.0,2.0,2023,25
1,3:46,,,LAC 35,3.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,25
1,3:46,1.0,10.0,TEN 25,3.0,0.0,Tyjae Spears left guard for 5 yards (tackle by Tuli Tuipulotu and Austin Johnson),0.61,0.74,2.0,2023,25
1,3:02,2.0,5.0,TEN 30,3.0,0.0,"Penalty on Trevon Wesco: False Start, 5 yards (accepted) (no play)",0.74,0.06,2.0,2023,25
1,2:38,2.0,10.0,TEN 25,3.0,0.0,Ryan Tannehill pass incomplete short middle intended for DeAndre Hopkins,0.06,-0.62,2.0,2023,25
1,2:34,3.0,10.0,TEN 25,3.0,0.0,Ryan Tannehill sacked by Joey Bosa for -8 yards,-0.62,-2.32,2.0,2023,25
1,1:54,4.0,18.0,TEN 17,3.0,0.0,"Ryan Stonehouse punts 60 yards, returned by Derius Davis for 13 yards (tackle by Julius Chestnut)",-2.32,-1.33,2.0,2023,25
1,1:42,1.0,10.0,LAC 36,3.0,0.0,Justin Herbert pass complete short left to Mike Williams for 7 yards (tackle by Roger McCreary),1.33,1.74,2.0,2023,25
1,1:03,2.0,3.0,LAC 43,3.0,0.0,Joshua Kelley right end for 4 yards (tackle by Rashad Weaver and Sean Murphy-Bunting),1.74,2.06,2.0,2023,25
1,0:27,1.0,10.0,LAC 47,3.0,0.0,Mike Williams left end for 3 yards (tackle by Kevin Byard),2.06,1.92,2.0,2023,25
2,15:00,2.0,7.0,LAC 50,3.0,0.0,Justin Herbert pass incomplete deep left intended for Mike Williams,1.92,1.22,2.0,2023,25
2,14:53,3.0,7.0,LAC 50,3.0,0.0,Justin Herbert pass complete short left to Josh Palmer for 6 yards (tackle by Tre Avery),1.22,0.33,2.0,2023,25
2,14:05,4.0,1.0,TEN 44,3.0,0.0,JK Scott punts 29 yards downed by Deane Leonard,0.33,0.22,2.0,2023,25
2,14:05,1.0,10.0,TEN 15,3.0,0.0,Derrick Henry right guard for 1 yard (tackle by Derwin James and Nick Niemann),-0.22,-0.58,2.0,2023,25
2,13:29,2.0,9.0,TEN 16,3.0,0.0,Ryan Tannehill pass complete short right to Derrick Henry for no gain (tackle by Derwin James),-0.58,-1.25,2.0,2023,25
2,12:49,3.0,9.0,TEN 16,3.0,0.0,Ryan Tannehill sacked by Morgan Fox for -13 yards,-1.25,-2.49,2.0,2023,25
2,12:02,4.0,22.0,TEN 3,3.0,0.0,"Ryan Stonehouse punts 63 yards, returned by Derius Davis for 19 yards (tackle by Rashad Weaver)",-2.49,-2.46,2.0,2023,25
2,11:50,1.0,10.0,TEN 47,3.0,0.0,Justin Herbert pass complete short right to Elijah Dotson for 7 yards (tackle by Sean Murphy-Bunting and Azeez Al-Shaair),2.46,2.86,2.0,2023,25
2,11:23,2.0,3.0,TEN 40,3.0,0.0,Elijah Dotson up the middle for 2 yards (tackle by Naquan Jones and Kyle Peko),2.86,2.41,2.0,2023,25
2,10:46,3.0,1.0,TEN 38,3.0,0.0,Justin Herbert up the middle for no gain (tackle by Jeffery Simmons),2.41,0.72,2.0,2023,25
2,10:10,4.0,1.0,TEN 38,3.0,0.0,"Derius Davis left end for 10 yards (tackle by Azeez Al-Shaair). Penalty on Azeez Al-Shaair: Horse Collar Tackle, 14 yards (accepted)",0.72,4.65,2.0,2023,25
2,9:51,1.0,10.0,TEN 14,3.0,0.0,Elijah Dotson left guard for 1 yard (tackle by Azeez Al-Shaair and Jeffery Simmons),4.65,4.16,2.0,2023,25
2,9:15,2.0,9.0,TEN 13,3.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Sean Murphy-Bunting and Kevin Byard),4.16,4.28,2.0,2023,25
2,8:30,3.0,4.0,TEN 8,3.0,0.0,"Justin Herbert pass incomplete short left intended for Josh Palmer LAC challenged the pass completion ruling, and the play was upheld.",4.28,2.98,2.0,2023,25
2,8:24,4.0,4.0,TEN 8,9.0,0.0,"Justin Herbert pass complete short left to Keenan Allen for 8 yards, touchdown. Penalty on Tre Avery: Defensive Pass Interference, 15 yards (declined)",2.98,7.0,2.0,2023,25
2,8:16,,,TEN 15,9.0,0.0,"Penalty on Jeffery Simmons: Roughing the Passer, 1 yard (accepted) (no play)",0.0,1.0,2.0,2023,25
2,8:16,1.0,10.0,TEN 2,11.0,0.0,Two Point Attempt: Justin Herbert pass complete to to Trey Pipkins for no gain,1.0,1.0,2.0,2023,25
2,8:16,,,LAC 35,11.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,25
2,8:16,1.0,10.0,TEN 25,11.0,0.0,Ryan Tannehill pass complete deep left to Treylon Burks for 70 yards (tackle by Asante Samuel),0.61,6.06,2.0,2023,25
2,7:31,1.0,5.0,LAC 5,11.0,0.0,Derrick Henry up the middle for 4 yards (tackle by Amen Ogbongbemiga and Kenneth Murray),6.06,5.91,2.0,2023,25
2,7:12,2.0,1.0,LAC 1,11.0,6.0,"Derrick Henry up the middle for 1 yard, touchdown",5.91,7.0,2.0,2023,25
2,7:09,,,LAC 15,11.0,7.0,Nick Folk kicks extra point good,0.0,0.0,2.0,2023,25
2,7:09,,,TEN 35,11.0,7.0,"Nick Folk kicks off 64 yards, returned by Derius Davis for 24 yards (tackle by Elijah Molden)",0.0,0.61,2.0,2023,25
2,7:03,1.0,10.0,LAC 25,11.0,7.0,Joshua Kelley left guard for 15 yards (tackle by Kevin Byard and Elijah Molden),0.61,1.6,2.0,2023,25
2,6:31,1.0,10.0,LAC 40,11.0,7.0,Joshua Kelley up the middle for 3 yards (tackle by Azeez Al-Shaair),1.6,1.46,2.0,2023,25
2,5:55,2.0,7.0,LAC 43,11.0,7.0,Justin Herbert pass complete deep right to Keenan Allen for 42 yards (tackle by Kevin Byard),1.46,4.58,2.0,2023,25
2,5:18,1.0,10.0,TEN 15,11.0,7.0,Justin Herbert pass incomplete short right,4.58,3.95,2.0,2023,25
2,5:12,2.0,10.0,TEN 15,11.0,7.0,Isaiah Spiller up the middle for 3 yards (tackle by Jack Gibbens and Harold Landry),3.95,3.58,2.0,2023,25
2,4:32,3.0,7.0,TEN 12,11.0,7.0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Tre Avery),3.58,2.63,2.0,2023,25
2,4:27,4.0,7.0,TEN 12,14.0,7.0,Cameron Dicker 30 yard field goal good,2.63,3.0,2.0,2023,25
2,4:23,,,LAC 35,14.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,25
2,4:23,1.0,10.0,TEN 25,14.0,7.0,Derrick Henry left end for 23 yards (tackle by Alohi Gilman and Nick Niemann),0.61,2.13,2.0,2023,25
2,3:42,1.0,10.0,TEN 48,14.0,7.0,Ryan Tannehill pass complete short right to Treylon Burks for 5 yards (tackle by Asante Samuel),2.13,2.26,2.0,2023,25
2,3:04,2.0,5.0,LAC 47,14.0,7.0,Tyjae Spears left end for 3 yards (tackle by Michael Davis),2.26,1.95,2.0,2023,25
2,2:18,3.0,2.0,LAC 44,14.0,7.0,Tyjae Spears right guard for 8 yards (tackle by Kenneth Murray),1.95,3.18,2.0,2023,25
2,2:00,1.0,10.0,LAC 36,14.0,7.0,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 14 yards (tackle by Asante Samuel),3.18,4.11,2.0,2023,25
2,1:32,,,,,,Timeout #2 by Los Angeles Chargers,,,2.0,2023,25
2,1:32,1.0,10.0,LAC 22,14.0,7.0,Derrick Henry right guard for 3 yards (tackle by Joey Bosa),4.11,3.97,2.0,2023,25
2,0:57,2.0,7.0,LAC 19,14.0,7.0,Derrick Henry right guard for 3 yards (tackle by Joey Bosa and Khalil Mack),3.97,3.74,2.0,2023,25
2,0:50,,,,,,Timeout #1 by Tennessee Titans,,,2.0,2023,25
2,0:50,3.0,4.0,LAC 16,14.0,7.0,Ryan Tannehill pass complete short left to Treylon Burks for 1 yard (tackle by Kenneth Murray),3.74,2.54,2.0,2023,25
2,0:03,,,,,,Timeout #2 by Tennessee Titans,,,2.0,2023,25
2,0:03,4.0,3.0,LAC 15,14.0,10.0,Nick Folk 33 yard field goal good,2.54,3.0,2.0,2023,25
3,15:00,,,LAC 35,14.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,25
3,15:00,1.0,10.0,TEN 25,14.0,10.0,Derrick Henry right guard for 4 yards (tackle by Nick Niemann),0.61,0.6,2.0,2023,25
3,14:22,2.0,6.0,TEN 29,14.0,10.0,Ryan Tannehill pass complete short left to Tyjae Spears for 2 yards (tackle by Ja'Sir Taylor),0.6,0.17,2.0,2023,25
3,13:41,3.0,4.0,TEN 31,14.0,10.0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 9 yards (tackle by J.C. Jackson),0.17,1.6,2.0,2023,25
