Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Derek Carr,NOR,0,0,0,0,0,2.0,2023,31
Taysom Hill,NOR,2,1,-1,0,-1,2.0,2023,31
Tony Jones,NOR,2,0,0,0,0,2.0,2023,31
Jamaal Williams,NOR,0,0,0,0,0,2.0,2023,31
Chris Olave,NOR,11,6,86,0,42,2.0,2023,31
Rashid Shaheed,NOR,4,4,63,0,45,2.0,2023,31
Michael Thomas,NOR,9,7,55,0,19,2.0,2023,31
Foster Moreau,NOR,2,2,20,0,14,2.0,2023,31
Juwan Johnson,NOR,3,2,13,0,8,2.0,2023,31
Keith Kirkwood,NOR,1,0,0,0,0,2.0,2023,31
Bryce Young,CAR,0,0,0,0,0,2.0,2023,31
Miles Sanders,CAR,5,3,4,0,7,2.0,2023,31
Chuba Hubbard,CAR,5,5,34,0,11,2.0,2023,31
Laviska Shenault Jr.,CAR,0,0,0,0,0,2.0,2023,31
Adam Thielen,CAR,9,7,54,1,15,2.0,2023,31
Jonathan Mingo,CAR,8,3,26,0,22,2.0,2023,31
Hayden Hurst,CAR,3,3,20,0,9,2.0,2023,31
DJ Chark,CAR,1,1,15,0,15,2.0,2023,31
