Quarter,Time,Tm,Detail,NYJ,DAL,week,year,game_id
1.0,9:19,Cowboys,Jake Ferguson 4 yard pass from Dak Prescott (Brandon Aubrey kick),0,7,2.0,2023,28
2.0,9:10,Cowboys,Brandon Aubrey 35 yard field goal,0,10,2.0,2023,28
,7:12,Jets,Garrett Wilson 68 yard pass from Zach Wilson (Austin Seibert kick),7,10,2.0,2023,28
,1:52,Cowboys,Luke Schoonmaker 1 yard pass from Dak Prescott (Tony Pollard run),7,18,2.0,2023,28
,0:04,Jets,Austin Seibert 34 yard field goal,10,18,2.0,2023,28
3.0,7:24,Cowboys,Brandon Aubrey 21 yard field goal,10,21,2.0,2023,28
,5:19,Cowboys,Brandon Aubrey 55 yard field goal,10,24,2.0,2023,28
4.0,12:23,Cowboys,Brandon Aubrey 26 yard field goal,10,27,2.0,2023,28
,8:18,Cowboys,Brandon Aubrey 30 yard field goal,10,30,2.0,2023,28
