Quarter,Time,Down,ToGo,Location,NYG,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,2.0,2023,26
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,26
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,James Conner up the middle for 17 yards (tackle by Jason Pinnock),0.61,1.73,2.0,2023,26
1.0,14:25,1.0,10.0,ARI 42,0.0,0.0,Joshua Dobbs pass complete short right to Zach Ertz for 5 yards (tackle by Xavier McKinney),1.73,1.86,2.0,2023,26
1.0,13:44,2.0,5.0,ARI 47,0.0,0.0,Joshua Dobbs pass complete short right to Marquise Brown for 12 yards (tackle by Adoree' Jackson),1.86,2.85,2.0,2023,26
1.0,13:06,1.0,10.0,NYG 41,0.0,0.0,James Conner left tackle for 4 yards (tackle by Jason Pinnock),2.85,2.85,2.0,2023,26
1.0,12:28,2.0,6.0,NYG 37,0.0,0.0,Joshua Dobbs pass incomplete deep left intended for Zach Ertz,2.85,2.15,2.0,2023,26
1.0,12:21,3.0,6.0,NYG 37,0.0,0.0,Joshua Dobbs pass incomplete short left intended for Marquise Brown,2.15,0.79,2.0,2023,26
1.0,12:17,4.0,6.0,NYG 37,0.0,0.0,Matt Prater 55 yard field goal no good,0.79,-1.93,2.0,2023,26
1.0,12:12,1.0,10.0,NYG 45,0.0,0.0,"Penalty on Joshua Ezeudu: False Start, 5 yards (accepted)",1.93,1.6,2.0,2023,26
1.0,12:12,1.0,15.0,NYG 40,0.0,0.0,Daniel Jones pass complete short left to Isaiah Hodgins for 7 yards (tackle by Kei'Trel Clark),1.6,1.65,2.0,2023,26
1.0,11:37,2.0,8.0,NYG 47,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 6 yards (tackle by Kyzir White),1.65,1.75,2.0,2023,26
