Unnamed: 0,KAN,JAX,week,year,game_id
First Downs,19,18,2.0,2023,24
Rush-Yds-TDs,22-101-0,18-74-0,2.0,2023,24
Cmp-Att-Yd-TD-INT,29-41-305-2-1,23-42-215-0-0,2.0,2023,24
Sacked-Yards,1-7,4-18,2.0,2023,24
Net Pass Yards,298,197,2.0,2023,24
Total Yards,399,271,2.0,2023,24
Fumbles-Lost,4-2,3-1,2.0,2023,24
Turnovers,3,1,2.0,2023,24
Penalties-Yards,12-94,2-10,2.0,2023,24
Third Down Conv.,4-13,3-12,2.0,2023,24
Fourth Down Conv.,2-2,0-2,2.0,2023,24
Time of Possession,31:49,28:11,2.0,2023,24
